synergy,class
-5.996618,0
-9.660732,0
-13.44504,0
-20.818834,0
11.204533,0
-11.278795,0
-5.488464,0
-11.176376,0
-29.782995,0
-2.6782987,0
5.702788,0
-31.929407,0
-32.07191,0
-0.9075352,0
-33.342087,0
21.407185,0
6.7525964,0
-12.757116,0
8.490284,0
5.110223,0
6.039517,0
12.3791065,0
8.243757,0
-6.8032866,0
-21.301313,0
11.878174,0
12.62411,0
8.650187,0
2.558596,0
2.1536667,0
0.600901,0
-15.499926,0
18.825733,0
-7.444696,0
4.3749022,0
8.597019,0
7.3840394,0
2.1942503,0
-1.1871878,0
18.69534,0
-8.266525,0
-19.83773,0
-2.2738798,0
-114.25982,0
1.7400306,0
-6.214723,0
7.5498276,0
-4.153127,0
16.77366,0
-8.921394,0
-28.953257,0
6.5389123,0
-1.4791237,0
-22.09703,0
-17.019499,0
-131.53836,0
44.979954,1
-72.65058,0
14.606129,0
-0.7022263,0
11.1532545,0
-0.20396963,0
0.37407908,0
-7.241486,0
-3.0702722,0
8.017677,0
3.244696,0
-3.5195215,0
6.5409856,0
-13.59988,0
-6.5575614,0
-7.720218,0
-4.57686,0
3.1477587,0
-8.605578,0
-31.507421,0
7.2940545,0
0.62923324,0
-6.4963164,0
-4.664922,0
-9.827181,0
14.506449,0
-6.712194,0
0.6511444,0
-30.530931,0
7.2395387,0
-7.2647595,0
22.736814,0
-1.626804,0
2.4944022,0
13.489935,0
-15.399828,0
5.5965295,0
-1.0108238,0
30.800463,1
-210.23714,0
2.9597647,0
12.965158,0
-21.545315,0
-151.5399,0
-6.5390563,0
18.55416,0
10.846895,0
0.39478144,0
-7.40638,0
-46.075436,0
0.7860683,0
1.0231246,0
47.287197,1
7.142548,0
32.740444,1
14.447916,0
-4.1460013,0
12.6441555,0
-23.357645,0
6.969288,0
10.097406,0
4.5498033,0
46.614834,1
-1.1012818,0
9.500065,0
5.2330694,0
6.9001184,0
7.865912,0
-3.4814203,0
-11.023391,0
-11.137359,0
8.833017,0
17.514402,0
3.6780188,0
5.039534,0
17.725273,0
14.72566,0
-7.580692,0
-14.11054,0
-14.8231945,0
-18.762564,0
-3.079481,0
11.734854,0
9.8539295,0
6.223389,0
17.705103,0
16.748068,0
22.594137,0
-19.970594,0
24.264597,0
-7.7206016,0
-21.171427,0
-9.295198,0
-27.610584,0
7.1435127,0
22.041132,0
-18.979315,0
-4.9845977,0
-4.587363,0
-86.496284,0
-30.454102,0
7.0575166,0
-164.25569,0
16.326712,0
-19.712837,0
8.073458,0
4.6920495,0
-17.975643,0
8.561808,0
-0.21757284,0
-14.998289,0
8.025475,0
-8.542986,0
6.0624967,0
-4.0214095,0
-17.254848,0
11.232927,0
-12.830538,0
7.8830323,0
-8.519024,0
3.9007895,0
58.184566,1
-15.062292,0
-118.50993,0
1.2644047,0
-19.021427,0
-23.332823,0
-69.882904,0
-26.946497,0
9.620032,0
-1.4058777,0
-11.129774,0
-17.657324,0
31.176548,1
-146.22359,0
-27.545511,0
-42.766502,0
-18.145536,0
-180.6837,0
7.367907,0
2.818186,0
2.8205445,0
3.019211,0
-15.213586,0
12.190889,0
-19.465685,0
14.559111,0
-19.8967,0
6.9744725,0
-20.626549,0
-4.557218,0
-11.365242,0
-11.493532,0
28.039179,0
-8.26145,0
-9.961464,0
-4.0315833,0
1.872249,0
-7.701883,0
-6.83295,0
4.2973046,0
5.865029,0
-2.7845342,0
-9.336979,0
-33.5868,0
6.668308,0
15.117138,0
-9.528669,0
-13.539843,0
-19.764448,0
8.722436,0
3.6098845,0
9.280146,0
7.755526,0
15.1332035,0
8.595079,0
0.2819427,0
-12.931181,0
-2.1991327,0
-10.606947,0
24.33992,0
0.14101252,0
21.110533,0
-16.504229,0
-6.7446485,0
-14.277178,0
3.9042532,0
-13.014343,0
13.13262,0
-18.946577,0
-13.456003,0
-1.9476143,0
7.535174,0
0.9745773,0
-16.525887,0
-12.24946,0
-9.7555065,0
5.678675,0
-3.5077493,0
-5.338449,0
-1.6010796,0
-8.610586,0
-44.37367,0
-4.3787193,0
1.8866733,0
-17.02982,0
1.2299904,0
4.3238053,0
-14.839598,0
-17.367907,0
7.4337354,0
-1.5865494,0
-17.92375,0
14.764307,0
-8.091802,0
-16.94135,0
1.8919319,0
-10.627802,0
3.8636382,0
-7.1313424,0
0.41921648,0
-6.374476,0
-19.754732,0
-10.431257,0
28.26023,0
-6.194366,0
-13.236979,0
20.68257,0
15.773998,0
-4.5120215,0
-11.491133,0
6.691859,0
18.892656,0
3.3600333,0
-12.845074,0
-12.789877,0
-147.27536,0
-13.367182,0
0.0047052875,0
22.192995,0
7.8329186,0
16.135603,0
18.83497,0
-75.83001,0
14.975491,0
-4.875116,0
18.180468,0
-0.46108404,0
4.2743897,0
-149.55591,0
60.95634,1
-0.015021943,0
-1.6364762,0
-16.56367,0
-9.504382,0
-25.805445,0
11.242062,0
-22.751953,0
-135.29816,0
-2.088968,0
4.202687,0
-11.245459,0
-6.7526746,0
31.316523,1
2.921038,0
-8.648506,0
16.879087,0
-17.432257,0
0.25761065,0
13.312536,0
3.296221,0
4.56959,0
-150.4487,0
5.2432637,0
-7.654512,0
-23.028309,0
-9.920292,0
-18.478376,0
-3.8697755,0
-1.4836861,0
