synergy,class
9.1432,0
13.786811,0
22.026731,0
27.868807,0
6.4872665,0
23.840752,0
-16.701777,0
-7.618496,0
-8.243803,0
-1.6784394,0
48.46323,1
21.32564,0
25.040224,0
3.2113597,0
20.874605,0
31.94808,1
29.95294,0
-0.70022506,0
-13.734792,0
2.6905897,0
2.1666176,0
5.6171293,0
23.650665,0
54.032406,1
-1.2747643,0
37.290333,1
-1.8216097,0
-10.090978,0
28.321388,0
-0.5516922,0
-110.61935,0
17.067196,0
-26.145939,0
35.513405,1
1.217015,0
-7.3417635,0
-0.67978495,0
5.038542,0
-2.6875603,0
5.303274,0
4.4794188,0
23.50613,0
22.226673,0
67.49482,1
-11.476948,0
38.819584,1
22.551817,0
10.139412,0
0.24423721,0
11.268365,0
-0.772608,0
21.438059,0
40.545315,1
10.63019,0
17.924788,0
-8.70441,0
-0.003298007,0
13.083277,0
26.316195,0
8.065293,0
41.91438,1
-2.585684,0
-6.684843,0
19.021938,0
17.91609,0
3.59568,0
36.2494,1
19.541248,0
22.34749,0
6.430725,0
-15.506441,0
-5.6376934,0
-6.967613,0
8.832342,0
60.56657,1
-3.6573184,0
-27.441263,0
7.3837147,0
5.2808256,0
-1.0205405,0
32.44756,1
20.559868,0
4.967428,0
37.3736,1
21.057981,0
34.239243,1
-1.7189753,0
-23.956007,0
-0.015735827,0
14.559864,0
-2.909176,0
-6.5363464,0
0.9376829,0
24.66633,0
7.359949,0
23.453588,0
-10.445638,0
3.4605558,0
20.24844,0
50.24069,1
39.290634,1
1.4234273,0
10.568504,0
58.94007,1
22.847372,0
23.189047,0
29.353157,0
7.393215,0
5.966667,0
-1.4763634,0
7.349865,0
3.5636146,0
37.152584,1
28.313303,0
27.780598,0
0.26356104,0
30.564941,1
8.313392,0
21.733973,0
-0.08310386,0
16.770487,0
22.950062,0
21.494154,0
-3.9049237,0
7.083008,0
-0.4709899,0
3.3035657,0
-6.261387,0
-9.936133,0
3.2870176,0
-13.764214,0
6.8230267,0
1.1870196,0
9.859768,0
19.862455,0
1.5796783,0
2.3904932,0
1.6475046,0
-14.849783,0
5.086087,0
0.47982195,0
18.021864,0
14.714453,0
21.707859,0
27.48332,0
-3.4189923,0
-1.3104765,0
-4.0198536,0
5.254568,0
42.157825,1
8.404104,0
-4.205206,0
12.949514,0
6.291295,0
-4.891487,0
33.4006,1
16.758455,0
-2.1857474,0
5.7518005,0
21.566734,0
8.228462,0
17.613077,0
-4.8657207,0
3.1536005,0
7.295703,0
-0.34260675,0
28.013742,0
3.0063703,0
16.8134,0
23.17504,0
-6.7918663,0
3.287605,0
3.0403259,0
-6.8086286,0
-3.3696616,0
39.20181,1
9.9362545,0
-44.592304,0
-14.520716,0
64.21208,1
8.513645,0
3.7614515,0
27.760462,0
20.959347,0
-3.7292254,0
18.13709,0
12.950762,0
17.943012,0
22.131926,0
-10.059755,0
-10.75511,0
-9.275521,0
3.8588054,0
1.4492671,0
-13.682695,0
35.041836,1
60.423897,1
-0.31971523,0
15.759951,0
33.414284,1
59.922733,1
9.387762,0
28.964804,0
10.139174,0
4.452508,0
1.7054193,0
-2.7473538,0
24.007902,0
11.220234,0
16.652182,0
-13.915613,0
8.22352,0
21.985489,0
18.828909,0
-0.95631045,0
6.939842,0
4.076577,0
43.01971,1
8.389708,0
5.3120604,0
28.351446,0
38.286865,1
68.81404,1
-24.947533,0
14.44524,0
27.380205,0
26.32435,0
0.7029026,0
0.07293872,0
-71.76525,0
-16.598051,0
17.332254,0
14.906944,0
27.992598,0
-4.79817,0
3.6119335,0
12.432166,0
12.682316,0
-14.538477,0
5.578676,0
6.2786674,0
3.0611937,0
-7.4346294,0
19.90714,0
0.8810747,0
-0.85906714,0
15.235086,0
28.072897,0
21.628021,0
39.33038,1
-26.398838,0
-2.3194287,0
3.4518836,0
9.175481,0
-7.4947925,0
8.301464,0
-1.6500876,0
-31.947977,0
8.847466,0
8.857354,0
16.26512,0
17.987848,0
-5.3519526,0
3.2193162,0
13.639629,0
-17.58189,0
-5.6109934,0
-43.622265,0
28.54028,0
2.4868667,0
-24.244389,0
3.2032974,0
23.770533,0
21.791742,0
-19.02342,0
22.648066,0
-51.254112,0
-5.049552,0
9.259314,0
-7.2942348,0
9.257114,0
-1.89658,0
56.21075,1
-0.99625987,0
10.092304,0
-11.834612,0
-3.2687914,0
-2.419243,0
-2.7269537,0
-7.879221,0
11.806135,0
5.2265363,0
4.233776,0
16.411871,0
1.1529901,0
29.937178,0
12.8127365,0
2.5969636,0
2.4365308,0
1.2005498,0
18.825811,0
4.2837667,0
13.300363,0
23.366919,0
-0.98039263,0
14.878302,0
6.4651566,0
-9.515093,0
-1.0186327,0
-15.1991005,0
25.797207,0
13.964273,0
7.2864017,0
-5.7507305,0
8.534807,0
4.431609,0
29.230927,0
15.87155,0
9.854618,0
33.55849,1
-0.035549365,0
1.6875284,0
23.890177,0
17.708971,0
-6.341381,0
-13.091768,0
5.2783184,0
-8.335025,0
19.310575,0
12.735067,0
-22.135344,0
12.148009,0
33.321583,1
-17.058643,0
0.53547174,0
17.839695,0
12.596537,0
2.204994,0
40.604168,1
