synergy,class
-21.441454,0
-15.026967,0
-8.4980545,0
2.0270252,0
-8.411308,0
-36.30267,0
0.97465336,0
7.4799995,0
8.1417675,0
-0.802493,0
2.2639294,0
-25.02796,0
-14.886625,0
15.785903,0
15.855507,0
8.440499,0
15.936917,0
4.611622,0
-1.6786841,0
-1.097514,0
-56.116848,0
-12.983852,0
-15.801214,0
1.5702564,0
23.040306,0
3.5577717,0
-2.2694588,0
15.781324,0
-2.1834135,0
-41.778076,0
3.598795,0
0.9641229,0
-7.7151794,0
-6.832288,0
11.422129,0
-14.224607,0
2.147657,0
10.234745,0
13.1161375,0
-3.175314,0
17.459246,0
-21.733232,0
-15.256859,0
19.54125,0
-5.5185666,0
3.2441502,0
1.6808511,0
1.4624692,0
4.2597914,0
13.30336,0
-9.113666,0
6.8463907,0
35.6041,1
5.15359,0
13.223749,0
20.07089,0
-3.942236,0
7.716961,0
19.976725,0
41.413956,1
4.2038927,0
7.026842,0
-3.1376276,0
19.530207,0
-8.138594,0
34.017952,1
-4.575983,0
10.418367,0
3.3097086,0
21.725706,0
0.17999373,0
-1.4116057,0
-23.96903,0
28.665699,0
8.269039,0
36.595097,1
-12.650629,0
-5.4896817,0
26.009943,0
-11.249091,0
-25.064783,0
5.4070272,0
-1.3145827,0
1.5358583,0
-4.656659,0
-33.251705,0
6.609724,0
-5.0115747,0
15.971693,0
-16.10439,0
29.108725,0
-12.037609,0
35.87273,1
-19.656973,0
-0.17518033,0
-20.139091,0
-18.11318,0
-18.11482,0
21.315268,0
2.515769,0
26.54693,0
5.8433065,0
1.3557473,0
-24.89783,0
-10.950108,0
9.340584,0
-16.186413,0
28.526405,0
-7.7049093,0
22.962143,0
27.335218,0
5.903162,0
32.813168,1
11.386174,0
6.3354354,0
64.94777,1
-3.4424124,0
-5.244215,0
-40.66555,0
-15.3432045,0
1.8585068,0
25.100456,0
-1.5102385,0
-16.676409,0
7.0123844,0
5.715884,0
-14.171057,0
-6.0137644,0
5.265649,0
0.20715724,0
-3.609148,0
-45.709568,0
12.442581,0
-82.778305,0
28.985975,0
2.355299,0
-2.0503283,0
-7.831151,0
17.147099,0
25.558424,0
-39.449512,0
2.2560244,0
7.436495,0
-26.791574,0
8.899563,0
-11.844559,0
-14.147863,0
30.862883,1
-19.697716,0
-44.792027,0
7.105795,0
40.278774,1
7.0469494,0
-7.071514,0
15.55624,0
37.015972,1
-7.9808855,0
8.119194,0
14.066484,0
18.61963,0
-0.7831429,0
23.136114,0
-11.613832,0
-10.885543,0
24.728207,0
-76.69135,0
-15.059174,0
-14.286554,0
-12.512735,0
11.636273,0
2.7700462,0
-39.754932,0
-8.803783,0
13.589926,0
7.53189,0
6.194641,0
-8.273293,0
-1.2440852,0
85.33444,1
22.546677,0
9.499856,0
-4.287801,0
19.61196,0
42.898663,1
-18.649284,0
5.948087,0
51.03823,1
15.4194565,0
-9.458128,0
-13.761196,0
-0.75632656,0
19.311113,0
13.76082,0
7.057225,0
34.770306,1
-68.91511,0
9.779966,0
1.6701452,0
6.3986044,0
16.502996,0
16.591387,0
-25.677942,0
-20.764986,0
-21.765614,0
18.952017,0
9.01883,0
6.06614,0
-9.799118,0
-1.7517947,0
11.685786,0
-4.8451805,0
6.9669094,0
-9.934828,0
7.860567,0
-2.6027012,0
29.306814,0
57.89369,1
6.438943,0
14.133211,0
19.615665,0
-10.54933,0
-19.01062,0
12.995961,0
-8.048132,0
-7.025403,0
22.608723,0
4.4131594,0
12.662441,0
25.07041,0
37.684692,1
12.504064,0
14.130854,0
-15.84087,0
7.4518223,0
6.04694,0
-3.4858952,0
-16.992268,0
31.500875,1
3.0877924,0
-9.86419,0
27.407566,0
25.854181,0
-23.783468,0
-6.1350365,0
8.484671,0
12.417941,0
47.058315,1
6.8001175,0
63.279774,1
14.436342,0
-10.268473,0
-22.60528,0
-6.573779,0
41.415916,1
-15.179644,0
11.791342,0
19.165138,0
-6.9384727,0
6.7573366,0
5.90724,0
2.1653223,0
-5.558852,0
0.039838895,0
-19.950434,0
-28.891886,0
-1.2578963,0
2.8308144,0
-10.371351,0
-7.12098,0
0.95571434,0
15.298414,0
7.4186134,0
10.355728,0
15.677012,0
33.469284,1
-15.490477,0
-28.203552,0
-20.27168,0
3.2446194,0
0.57291234,0
-22.923159,0
8.18211,0
15.7861805,0
3.3823981,0
-7.178011,0
9.054808,0
-9.523773,0
2.255333,0
0.71454155,0
-17.100641,0
27.33309,0
8.806099,0
10.320984,0
-6.8885975,0
-5.9475574,0
5.065626,0
4.867037,0
7.2224207,0
-32.21984,0
6.326693,0
-19.776913,0
-16.573269,0
3.413937,0
47.101997,1
20.024591,0
17.943518,0
-9.17368,0
9.611635,0
6.415104,0
14.916248,0
-5.264765,0
-11.483569,0
-3.7028491,0
11.67289,0
-23.151644,0
7.8192406,0
35.254147,1
6.3303394,0
7.839833,0
-35.834385,0
7.02324,0
-18.561647,0
-10.388275,0
-15.591333,0
-9.796793,0
-9.92168,0
-19.529152,0
8.3332615,0
-17.132355,0
-73.02895,0
0.11563741,0
15.922361,0
13.76907,0
17.035652,0
5.8698845,0
32.676136,1
-67.94585,0
1.1462203,0
-4.8732967,0
5.8317204,0
10.03035,0
-5.082428,0
-29.045141,0
-14.829767,0
38.203335,1
-0.49050367,0
-12.734978,0
9.058565,0
-24.899847,0
-18.299173,0
18.492247,0
20.799536,0
-5.237955,0
5.719406,0
22.569073,0
5.6830826,0
-3.4320116,0
0.6146833,0
-22.940454,0
2.7685757,0
0.1647955,0
-8.079774,0
2.6083498,0
-24.779205,0
-14.091732,0
2.8102598,0
12.127565,0
3.074397,0
28.721292,0
-4.336049,0
-18.157572,0
-18.938797,0
-10.759754,0
1.2260553,0
9.906918,0
30.976517,1
11.337081,0
8.784981,0
-10.360136,0
-7.023157,0
16.591177,0
-19.664349,0
-49.005077,0
20.79807,0
-20.362257,0
-6.6511693,0
19.30449,0
16.9265,0
