synergy,class
0.9457238,0
-0.9428115,0
16.076452,0
-13.067694,0
1.2702622,0
-40.963844,0
-3.8128047,0
38.341064,1
73.894005,1
37.164833,1
0.54027605,0
-0.49569082,0
-7.545876,0
15.752241,0
19.165586,0
69.85009,1
13.946704,0
4.183024,0
-21.530836,0
0.3258462,0
15.083584,0
-36.23981,0
-12.259014,0
11.329924,0
-11.513897,0
12.990717,0
40.105965,1
-30.062876,0
35.878044,1
10.0782,0
52.309288,1
10.691095,0
-195.45958,0
20.909819,0
10.076605,0
18.419106,0
-22.727337,0
-22.065706,0
11.543798,0
0.021650776,0
29.379625,0
12.969704,0
7.528113,0
65.180534,1
-35.479027,0
-181.26645,0
-30.762754,0
11.76148,0
12.709894,0
11.699329,0
-44.967785,0
-55.495728,0
-40.753967,0
11.466955,0
-12.401583,0
-51.55831,0
-9.463625,0
-51.83558,0
-10.140627,0
-26.410751,0
-13.468943,0
-104.15744,0
5.434748,0
-20.238787,0
7.220946,0
7.557709,0
22.801653,0
-0.68113184,0
66.55143,1
-2.8992362,0
-31.985025,0
-15.444849,0
17.064783,0
-39.03087,0
-0.5434089,0
55.552006,1
12.623816,0
-0.8971858,0
-15.890631,0
-1.6555591,0
6.0096927,0
1.7003579,0
39.80365,1
-21.516085,0
6.257357,0
23.027126,0
13.940029,0
-1.0824142,0
-116.08388,0
40.90422,1
32.661285,1
13.335188,0
9.865118,0
2.122601,0
3.0226083,0
24.541697,0
-7.5945573,0
19.781927,0
-13.249163,0
19.759615,0
-33.17959,0
-37.566036,0
14.681753,0
20.989058,0
-0.34019613,0
26.918455,0
-144.03954,0
28.402878,0
1.9868264,0
-4.803888,0
13.151707,0
15.203321,0
-8.990428,0
-33.261414,0
2.335837,0
-11.787241,0
5.7482724,0
14.352499,0
51.55945,1
-0.3416114,0
3.449286,0
7.3676667,0
21.056786,0
37.302376,1
44.043938,1
5.266829,0
51.45016,1
-37.83078,0
7.2635064,0
22.755024,0
32.23493,1
86.1577,1
13.2554455,0
29.127821,0
-138.3382,0
-22.515009,0
-2.966308,0
23.248552,0
-2.0366492,0
-57.546986,0
13.689457,0
77.39069,1
-129.24467,0
-29.86632,0
-93.05273,0
13.58113,0
-34.946465,0
16.361654,0
1.2035851,0
23.910555,0
-70.97024,0
10.168207,0
-3.423511,0
9.362181,0
7.950207,0
52.628815,1
3.3027787,0
-12.158579,0
-171.7151,0
33.31186,1
-9.09207,0
2.276114,0
42.490757,1
31.315754,1
-12.2792015,0
32.962482,1
-21.352339,0
-6.117164,0
-46.124466,0
7.167913,0
28.476625,0
-9.098151,0
-19.710886,0
16.976469,0
-35.22077,0
44.27659,1
43.171715,1
-16.41834,0
-92.04928,0
47.75617,1
18.455175,0
60.24261,1
19.641802,0
10.030893,0
68.73263,1
8.814535,0
-67.99108,0
18.217588,0
-5.2339263,0
-11.763006,0
-16.139326,0
-7.40649,0
28.643211,0
1.5069928,0
-14.04394,0
-5.9729133,0
41.62378,1
14.990297,0
28.394579,0
-12.081034,0
-26.43265,0
-13.128773,0
16.961546,0
18.325315,0
-14.8899555,0
-2.3459792,0
-5.032663,0
30.512918,1
4.7861,0
-12.141394,0
-7.867765,0
34.781414,1
-1.4703231,0
-6.3562903,0
31.447762,1
-6.0494323,0
-26.965532,0
27.979116,0
-41.502945,0
-0.6383598,0
12.575048,0
26.048845,0
38.31063,1
-9.993055,0
-28.264772,0
19.061079,0
26.332838,0
-135.37549,0
-6.5981803,0
22.336645,0
6.1653924,0
-56.779495,0
-30.072828,0
15.693235,0
-63.99185,0
-4.48093,0
-5.0429893,0
4.5000825,0
32.45147,1
-29.091848,0
-31.976168,0
-33.806625,0
-121.398,0
0.36414194,0
-5.453756,0
-10.273181,0
-7.8860507,0
45.703606,1
7.174708,0
18.91168,0
34.12997,1
13.639473,0
30.218521,1
38.132385,1
4.1666474,0
18.841671,0
38.04748,1
-21.161177,0
-5.3156486,0
43.75885,1
0.6803727,0
-5.127359,0
-0.04490997,0
-11.731775,0
-4.976896,0
-18.192907,0
47.404835,1
-5.3150744,0
9.701803,0
4.5832276,0
13.409819,0
43.94647,1
-18.232988,0
-0.86347914,0
28.306234,0
1.8648057,0
-45.39702,0
-21.561827,0
-5.7282662,0
-9.843988,0
6.2278657,0
31.933466,1
0.48558474,0
40.062912,1
-62.700703,0
20.610811,0
-25.468645,0
-8.460505,0
5.047957,0
6.141392,0
-9.902645,0
4.7211566,0
-9.516924,0
1.4045053,0
-29.576483,0
2.9158578,0
-26.929785,0
3.361796,0
43.182396,1
15.966913,0
10.936516,0
55.04563,1
-37.7042,0
7.189984,0
-34.309,0
21.844261,0
-7.9866214,0
-14.867655,0
22.162024,0
-43.26931,0
2.6049943,0
34.781166,1
4.9790616,0
-13.734186,0
45.443466,1
-17.016829,0
-3.6243682,0
-26.905764,0
-16.22827,0
5.9624543,0
39.657303,1
13.657072,0
-46.800903,0
20.58763,0
-58.027603,0
-0.18318321,0
18.672344,0
4.9465394,0
-6.371179,0
2.5407777,0
41.236145,1
40.844334,1
-0.6009536,0
-18.027998,0
46.7517,1
-123.35168,0
-9.209866,0
35.14464,1
49.588936,1
-20.475676,0
-15.55149,0
32.7901,1
-107.83314,0
-4.844587,0
-34.613792,0
60.516064,1
32.84282,1
17.225634,0
25.881798,0
14.723883,0
-16.183928,0
12.443911,0
-2.1736617,0
19.999832,0
-108.54147,0
4.7839494,0
3.16886,0
-39.426296,0
5.4360642,0
23.439455,0
17.311277,0
27.844522,0
-5.0357566,0
-9.295349,0
-103.82137,0
-4.798919,0
-5.263826,0
-6.603832,0
18.44235,0
16.070738,0
-70.7548,0
-34.84716,0
-6.4774756,0
45.90368,1
-6.6142774,0
-5.166281,0
0.18469666,0
13.114298,0
