synergy,class
12.763417,0
-5.699905,0
1.3194069,0
1.6062311,0
20.35925,0
0.64912355,0
-37.152782,0
24.760725,0
-20.459929,0
-0.04726994,0
-1.1631066,0
-21.777334,0
0.61355007,0
-0.08448374,0
-2.5300364,0
50.196354,1
5.5362506,0
-3.0554652,0
-2.3001237,0
5.8347783,0
-27.783236,0
-9.108979,0
-18.466072,0
-2.8693066,0
21.5659,0
1.3546575,0
24.744318,0
1.6413974,0
17.160885,0
17.85991,0
44.65291,1
7.8812604,0
-32.433163,0
-3.2955112,0
-10.278337,0
6.7043796,0
-5.0703197,0
-12.031374,0
18.532843,0
19.031862,0
14.648394,0
36.61164,1
14.503674,0
33.178566,1
35.596947,1
12.084983,0
1.1740502,0
11.965967,0
4.1115766,0
32.80897,1
3.0822034,0
-43.70466,0
1.2464966,0
-17.325138,0
3.3054614,0
18.802301,0
-39.27366,0
-8.663006,0
-9.842447,0
-14.126005,0
33.282436,1
9.355131,0
5.674802,0
54.89976,1
-35.26286,0
7.987017,0
-2.9611082,0
32.5607,1
-3.2305627,0
-33.630733,0
-24.568636,0
8.208452,0
-9.726406,0
30.639412,1
13.907289,0
12.668005,0
-22.723326,0
13.103825,0
-3.9883533,0
-4.872893,0
9.088312,0
12.103952,0
1.8080696,0
27.41005,0
2.3751168,0
38.241596,1
31.701796,1
2.3460164,0
-6.7963815,0
-20.637445,0
2.3999715,0
-2.9582787,0
-3.9659305,0
6.3176646,0
-1.1005665,0
-7.9768977,0
23.918497,0
0.0010493994,0
3.7893949,0
-18.914467,0
-16.111216,0
-4.511926,0
-3.4795852,0
34.98823,1
4.2845006,0
3.013455,0
5.5751452,0
19.099047,0
61.529194,1
-23.014496,0
11.317932,0
1.7861189,0
-23.759571,0
-33.963688,0
-4.997008,0
6.7574105,0
4.119576,0
-10.407308,0
-16.969587,0
1.6389569,0
-9.250132,0
1.259643,0
31.631355,1
25.019852,0
-15.953463,0
-4.7134085,0
5.515452,0
5.9871097,0
-8.028309,0
-18.773504,0
3.0130534,0
25.997183,0
13.766293,0
34.15279,1
-13.213318,0
40.861706,1
5.9744573,0
23.501295,0
-13.643039,0
15.697067,0
43.731457,1
-36.328693,0
4.587174,0
14.854467,0
0.2867273,0
11.442106,0
0.27591312,0
-0.28760493,0
4.444781,0
6.934876,0
-24.89192,0
-16.9547,0
-32.734997,0
-1.7944428,0
-1.2151142,0
-29.890915,0
10.700104,0
-5.081025,0
-1.0337974,0
10.435364,0
36.904972,1
23.240492,0
-1.0270811,0
3.466618,0
2.952354,0
9.062605,0
47.091015,1
-16.557646,0
-25.823473,0
30.046665,1
12.437176,0
-21.875635,0
12.84997,0
4.122149,0
5.0613813,0
20.752878,0
12.195395,0
13.145289,0
-6.606679,0
10.758728,0
32.52694,1
21.562063,0
-9.673449,0
1.2453445,0
18.490417,0
0.7605156,0
17.110785,0
3.433392,0
8.463142,0
-16.454714,0
2.0729566,0
2.2770352,0
26.630566,0
12.001699,0
-6.1511893,0
6.697127,0
-0.21237528,0
10.493952,0
-16.207064,0
-17.036577,0
35.70357,1
33.574642,1
4.088572,0
9.589771,0
-26.505909,0
48.580414,1
25.410192,0
13.046333,0
-8.451876,0
-6.4100986,0
-18.275621,0
16.74825,0
-5.076856,0
-0.6528622,0
-31.299547,0
50.299606,1
2.04604,0
27.891634,0
-8.570267,0
-12.407615,0
-0.76838076,0
55.174854,1
8.174042,0
9.632253,0
6.841578,0
5.6431804,0
4.0864887,0
20.872982,0
1.34563,0
-5.4988427,0
-25.975174,0
13.039414,0
8.915885,0
-16.074419,0
-4.6720533,0
11.925269,0
11.320322,0
-0.87396777,0
-7.0631785,0
13.38447,0
0.65917385,0
-5.124631,0
-1.2132994,0
-0.14165843,0
9.47653,0
14.644807,0
-28.75251,0
18.365263,0
38.672302,1
6.345382,0
-32.1975,0
-5.732561,0
12.73855,0
