synergy,class
7.8837185,0
7.251435,0
1.8014519,0
0.5392849,0
8.957148,0
35.326244,1
-5.105749,0
-13.997866,0
13.547821,0
19.787342,0
19.56796,0
-19.410645,0
8.146144,0
-8.271189,0
-1.7685516,0
1.4704068,0
-12.374174,0
2.8149455,0
12.279389,0
3.2572086,0
2.1649344,0
-12.927914,0
0.42571467,0
-0.57012826,0
10.870693,0
19.304504,0
-2.8476145,0
3.2039015,0
8.955133,0
22.173096,0
-10.925738,0
22.970367,0
18.470505,0
8.366675,0
9.689187,0
8.1288,0
6.104074,0
-14.859764,0
3.7695754,0
-5.12381,0
-1.4997709,0
45.08327,1
4.0420895,0
1.0873635,0
31.601332,1
3.9526923,0
5.495254,0
36.15506,1
47.396744,1
-0.85555536,0
17.933632,0
11.945621,0
36.01689,1
-1.3754871,0
-11.792844,0
3.7884314,0
26.913185,0
-10.675348,0
-11.678297,0
-11.743866,0
19.885563,0
16.102524,0
15.170849,0
16.885117,0
10.721138,0
-2.3694174,0
5.45566,0
2.7585776,0
3.3680751,0
-11.9415245,0
-5.591939,0
-16.955011,0
7.905999,0
-4.449848,0
13.067561,0
44.6659,1
6.1371,0
-0.15424138,0
-7.6350136,0
-2.3006094,0
2.0173666,0
6.7704487,0
-15.946087,0
23.933279,0
20.46122,0
2.2647994,0
-23.210083,0
-0.7031439,0
12.301995,0
24.059795,0
0.42315882,0
-11.826551,0
-2.896652,0
0.21633309,0
7.800029,0
-5.788021,0
-8.143391,0
22.03241,0
28.039528,0
26.3601,0
-2.275399,0
7.6768436,0
9.69273,0
12.128029,0
-2.0711324,0
8.869459,0
-0.8752306,0
-7.421545,0
8.424825,0
10.941333,0
2.082641,0
0.82683295,0
34.990532,1
-11.598162,0
24.615467,0
62.307926,1
4.2015524,0
-7.5825973,0
18.796919,0
-2.4615877,0
0.47292966,0
12.325798,0
1.66556,0
-3.7066014,0
-5.3834763,0
2.2529843,0
-9.140646,0
-0.8941019,0
19.974174,0
-8.340106,0
-0.69288236,0
-9.600494,0
6.8363676,0
-11.565427,0
-7.3891754,0
6.332491,0
15.470249,0
8.001328,0
52.832447,1
-9.047714,0
17.999788,0
-3.1107557,0
39.184837,1
-27.164343,0
29.422518,0
-10.507471,0
13.179022,0
11.564791,0
4.5934815,0
-10.094683,0
-13.028187,0
33.381466,1
-5.391837,0
-1.3780391,0
-6.09223,0
-6.44347,0
-4.7156296,0
-3.2252467,0
6.701167,0
0.94048136,0
12.563372,0
-4.9071045,0
-5.670873,0
-16.197538,0
20.224213,0
-13.251299,0
-0.5017584,0
6.6946344,0
-4.956378,0
-26.352652,0
38.26917,1
16.49596,0
-17.367802,0
-29.252617,0
24.698376,0
-8.130878,0
