synergy,class
-13.274677,0
-3.3213222,0
2.9959528,0
11.263227,0
9.457454,0
-4.262231,0
-3.6093004,0
-7.3602448,0
6.003971,0
-0.75825244,0
12.921095,0
-0.9500931,0
9.350655,0
-13.46741,0
8.797981,0
1.5259459,0
5.1022816,0
5.400259,0
9.552664,0
2.1480243,0
-24.30387,0
15.449884,0
16.79283,0
23.045897,0
28.53741,0
21.676422,0
-1.381347,0
13.2628145,0
19.21962,0
10.872438,0
3.8912323,0
9.89352,0
11.597648,0
-28.823784,0
20.476076,0
-22.78935,0
-1.7195404,0
34.29343,1
38.03567,1
-17.059343,0
8.643455,0
2.688041,0
-6.7492914,0
3.8950346,0
8.748361,0
2.439718,0
-4.9504814,0
-5.7063046,0
6.0654316,0
-24.337988,0
1.2032235,0
8.5032425,0
-0.29682237,0
10.484485,0
9.842184,0
-7.852789,0
23.536066,0
5.250348,0
14.752448,0
-13.670322,0
-7.2104464,0
15.208287,0
-27.309015,0
8.034759,0
1.3210766,0
21.25313,0
5.6394186,0
-4.639078,0
-9.690188,0
-9.8866625,0
-1.8964143,0
-12.597399,0
10.456635,0
9.023689,0
-10.803658,0
-4.1263485,0
-17.287298,0
0.18217869,0
7.0009956,0
-4.286565,0
16.199432,0
3.3323843,0
8.362735,0
17.98315,0
15.745402,0
-38.960773,0
-17.070175,0
-8.984568,0
-8.594087,0
13.604479,0
11.62356,0
-1.7640727,0
-14.297276,0
21.552168,0
-13.149448,0
10.989348,0
0.2872259,0
4.766431,0
-8.333562,0
8.306719,0
-13.2421255,0
13.895481,0
5.5033607,0
0.017999843,0
13.153197,0
1.6960747,0
14.769485,0
-10.6122,0
-22.009195,0
21.01626,0
14.409029,0
7.0285263,0
-5.988656,0
-13.347317,0
-2.1661708,0
-14.109552,0
3.4040854,0
3.8047068,0
18.38212,0
35.661842,1
-1.400233,0
0.52811354,0
-0.6569908,0
-5.319536,0
15.113034,0
-26.218737,0
9.289988,0
7.4493456,0
-9.051868,0
5.1557055,0
-6.802787,0
11.162039,0
-4.0696135,0
-1.1691644,0
31.238747,1
-1.1528285,0
0.77411526,0
57.899666,1
-14.726782,0
16.525331,0
10.861605,0
5.439627,0
-8.610259,0
-1.6205051,0
-8.912426,0
12.183414,0
5.8619003,0
-28.33245,0
3.1549542,0
1.1275408,0
6.2637978,0
10.080833,0
14.419315,0
-5.369328,0
10.530467,0
-13.950157,0
29.096651,0
-5.888363,0
21.860657,0
13.554309,0
16.007526,0
0.8837978,0
-12.783815,0
-21.935257,0
5.3894377,0
18.392221,0
1.0580714,0
-5.1393757,0
-11.300727,0
87.83506,1
-17.089418,0
-3.522168,0
18.717627,0
7.9364147,0
16.072716,0
10.0419855,0
-12.90877,0
-18.376905,0
5.1165276,0
-4.1469297,0
-13.122512,0
-20.677431,0
4.9908237,0
14.451788,0
-1.4814336,0
-2.9009888,0
-4.5012884,0
4.8652515,0
6.8683825,0
4.391508,0
-8.680159,0
7.633457,0
-6.754466,0
22.008308,0
23.445204,0
-0.98180276,0
3.438144,0
-8.072181,0
6.592845,0
-2.4562237,0
-5.0193334,0
-0.710079,0
-13.628518,0
5.9660225,0
6.263093,0
-1.9712331,0
-37.61799,0
-14.085484,0
5.1744123,0
-24.238749,0
-20.023516,0
13.947644,0
-4.80918,0
1.8888295,0
-20.696177,0
-4.118442,0
-7.816141,0
1.5085022,0
-19.625471,0
-8.947344,0
1.2883971,0
26.69116,0
-32.05431,0
8.641755,0
5.7198105,0
10.540478,0
17.739733,0
18.938223,0
17.00294,0
31.75109,1
-21.159092,0
1.0519631,0
-3.5380418,0
16.649324,0
-2.7257392,0
6.3629084,0
17.397448,0
11.81684,0
5.3448515,0
21.29378,0
-9.99317,0
24.33128,0
8.457817,0
-6.260396,0
-20.031122,0
-9.736344,0
-23.515993,0
-1.2378829,0
-1.065974,0
-0.9664095,0
4.816468,0
14.855358,0
-0.42430478,0
26.601145,0
13.006239,0
-2.2421901,0
-3.2769148,0
21.470747,0
-19.25178,0
-1.2987125,0
9.817516,0
12.099783,0
-1.9489486,0
24.576693,0
21.176935,0
-27.612509,0
5.485441,0
24.31764,0
-8.42136,0
-24.399519,0
15.536446,0
3.3921719,0
5.871566,0
-14.661234,0
4.5013533,0
-19.17116,0
-4.5026226,0
-14.708547,0
17.780334,0
-2.9879863,0
11.430186,0
-6.704608,0
20.501833,0
7.8271875,0
-3.8122394,0
5.798359,0
12.714565,0
-15.98126,0
13.455927,0
13.604028,0
-6.3881207,0
-4.132457,0
-6.913912,0
-22.056734,0
-5.1140833,0
4.2801104,0
5.8132725,0
10.957463,0
20.390577,0
10.853111,0
5.403565,0
13.43406,0
7.5586596,0
-23.036243,0
-5.300643,0
11.392233,0
8.668328,0
9.302297,0
25.938107,0
-11.364437,0
21.006868,0
24.771547,0
-32.647224,0
-26.747904,0
-2.2731254,0
9.320103,0
0.70828885,0
-10.18693,0
8.842009,0
15.923809,0
14.4023285,0
-31.247683,0
15.967713,0
9.593612,0
8.704205,0
9.865259,0
-10.523563,0
-14.8417015,0
-11.099834,0
-2.6695077,0
13.960377,0
25.728975,0
18.708975,0
25.33123,0
25.656145,0
-5.252778,0
19.023046,0
5.154705,0
18.684187,0
-9.23951,0
31.676641,1
16.54112,0
-0.7864278,0
-8.221088,0
27.974358,0
7.948096,0
-7.0662756,0
5.881586,0
9.389971,0
5.156465,0
4.0561275,0
21.884422,0
-8.287825,0
2.4805033,0
-0.14827947,0
0.011127666,0
3.1157649,0
6.218367,0
7.428836,0
6.991041,0
-2.4323585,0
14.996323,0
10.112598,0
-1.6099207,0
2.960667,0
13.400357,0
12.610395,0
0.74472326,0
13.68494,0
2.2525609,0
-13.967413,0
-10.893207,0
8.663203,0
-2.154054,0
-4.587886,0
-19.225464,0
53.25848,1
5.714299,0
8.673405,0
-2.5763824,0
1.6170828,0
-2.0606415,0
22.237827,0
1.4075892,0
-16.701975,0
-4.8272924,0
15.353603,0
7.189234,0
11.3062525,0
-8.88034,0
-27.285603,0
-0.21746044,0
5.8009033,0
38.664467,1
13.2478285,0
9.75564,0
10.177368,0
10.70965,0
-0.072388455,0
-21.622972,0
-4.062668,0
19.622408,0
3.4656622,0
-18.765738,0
-2.6181688,0
8.13772,0
27.836657,0
13.271478,0
-21.988512,0
2.676617,0
19.111145,0
4.1036468,0
6.9819365,0
-14.6377945,0
2.9103744,0
10.053009,0
-0.35945064,0
9.139477,0
-8.043004,0
-3.600869,0
22.055534,0
28.329126,0
9.873086,0
13.426141,0
-11.930331,0
-18.507147,0
10.19618,0
-8.037705,0
-49.027813,0
-5.9209423,0
26.049826,0
-2.9700515,0
-16.16479,0
-2.5521266,0
20.494871,0
2.96752,0
31.169703,1
5.759721,0
17.398537,0
24.59136,0
15.352923,0
-0.17031364,0
16.417175,0
-1.6205108,0
19.209612,0
-9.7491455,0
-7.3818903,0
5.4901967,0
-17.064566,0
8.304121,0
23.52442,0
-42.24504,0
2.1078355,0
-9.578301,0
20.658468,0
4.376499,0
-0.0010631531,0
23.606844,0
0.8961341,0
7.4689674,0
-0.612583,0
12.821217,0
3.1002867,0
-0.70907575,0
11.217759,0
8.023975,0
6.3733854,0
-29.373713,0
7.638277,0
15.348627,0
26.247606,0
-3.821667,0
16.71939,0
13.819771,0
1.4857233,0
18.0578,0
-4.3740225,0
17.059378,0
-3.0604064,0
-0.751129,0
14.565202,0
30.298914,1
-18.929522,0
19.944662,0
8.270675,0
15.07177,0
-3.7315633,0
6.9116273,0
14.394472,0
10.028215,0
-0.59424573,0
16.103249,0
5.443781,0
36.99076,1
6.409279,0
22.38811,0
-4.1297026,0
-11.8011875,0
-1.058233,0
-9.273879,0
14.892858,0
1.2998946,0
0.8504726,0
13.196384,0
-2.4398315,0
98.90167,1
-24.474813,0
-12.057636,0
12.522939,0
8.465153,0
-26.578812,0
12.288344,0
2.5214732,0
35.37505,1
0.65551347,0
-6.7399855,0
6.7030134,0
2.2541735,0
8.284709,0
-13.469799,0
7.0528946,0
-11.682829,0
1.0976317,0
1.4818861,0
94.24827,1
-26.160612,0
12.994212,0
2.6792328,0
10.780468,0
-10.78126,0
-3.909891,0
-8.188332,0
-29.09959,0
20.838335,0
2.893143,0
1.4671805,0
-45.309715,0
12.113537,0
21.333183,0
5.3862963,0
0.52505225,0
5.7155585,0
-4.0257854,0
-18.057745,0
-13.369197,0
6.4393497,0
1.4974091,0
-17.354784,0
-2.3553102,0
-3.8571908,0
-24.432682,0
-24.794283,0
-2.8804777,0
8.584797,0
17.45384,0
2.4050658,0
-2.021904,0
9.564575,0
4.864256,0
-5.4579954,0
31.4739,1
-25.506384,0
31.332157,1
1.5527976,0
-1.628897,0
3.380359,0
15.711062,0
8.94629,0
-4.524392,0
30.01792,1
-4.3630066,0
-26.889128,0
-24.275023,0
-4.3020105,0
-4.633368,0
30.354898,1
-9.969347,0
1.549597,0
14.403117,0
-2.4265497,0
42.471985,1
11.842955,0
8.459158,0
5.6838965,0
11.991427,0
-26.773262,0
12.314643,0
7.0119576,0
7.9402213,0
7.509503,0
1.3737986,0
-7.4566965,0
-21.882036,0
-3.629995,0
15.861528,0
3.7297118,0
11.191986,0
8.359853,0
21.61116,0
7.0721903,0
20.490343,0
2.834678,0
16.819004,0
-10.735832,0
-2.380677,0
-19.373264,0
1.3542035,0
7.6286592,0
8.211803,0
-3.2287624,0
10.660168,0
16.03644,0
-31.201435,0
8.88315,0
-23.794989,0
26.310225,0
12.95347,0
-2.0950634,0
12.961037,0
14.575923,0
-1.5900743,0
3.509905,0
1.1261418,0
0.957246,0
1.3212006,0
2.881141,0
15.68447,0
2.1056979,0
-1.9283454,0
1.3200638,0
-2.7553213,0
-10.262868,0
7.0321875,0
10.9075985,0
-4.1021404,0
15.765902,0
31.16971,1
-21.150572,0
-21.567474,0
9.040506,0
-15.258896,0
5.6019955,0
14.349524,0
7.587332,0
-33.588787,0
-29.267553,0
-21.024143,0
1.4551423,0
8.057751,0
-13.095137,0
13.9620285,0
-7.6968565,0
55.000298,1
-1.4334795,0
-24.485495,0
-40.280167,0
-23.919,0
10.793882,0
24.689486,0
10.293105,0
-6.943594,0
4.440816,0
-10.81493,0
0.8400385,0
-1.2749078,0
31.58988,1
7.764204,0
9.067292,0
16.621395,0
-4.157075,0
16.096478,0
-8.104984,0
1.7046053,0
11.635238,0
-6.6147604,0
-0.1414979,0
12.289015,0
11.780554,0
13.821003,0
8.190185,0
12.841102,0
24.083406,0
-5.5479054,0
24.269733,0
1.6189902,0
15.686731,0
-11.097292,0
12.370966,0
0.54232615,0
-14.773196,0
9.825253,0
4.795685,0
2.176286,0
-1.5740955,0
-8.171295,0
-9.902385,0
-1.5323856,0
-13.970214,0
-11.103976,0
3.4996111,0
8.078055,0
4.8661966,0
9.306778,0
6.0702896,0
-2.4491937,0
33.32984,1
5.011763,0
-11.492941,0
-11.365787,0
-5.9981537,0
14.181793,0
0.5967924,0
-1.3986337,0
8.162754,0
-0.7979701,0
-6.2071495,0
6.9229,0
7.608627,0
-1.882077,0
22.560335,0
12.76832,0
0.14456864,0
-8.604562,0
1.5039675,0
-1.8789232,0
-24.464828,0
-17.715517,0
-3.6900203,0
22.40877,0
1.5089614,0
-18.825914,0
3.2142441,0
16.018412,0
6.8381824,0
-22.0193,0
20.852243,0
0.87207526,0
-17.880798,0
-14.877943,0
14.2966585,0
14.338795,0
5.411718,0
-13.540803,0
18.601574,0
15.770963,0
-1.8311632,0
5.0884547,0
21.883074,0
-4.195605,0
14.846155,0
13.664217,0
-7.0458736,0
-23.322412,0
11.191384,0
-4.8952847,0
14.475679,0
4.059039,0
17.46884,0
19.707067,0
24.996761,0
-8.580191,0
9.670005,0
-2.018171,0
16.12622,0
10.559852,0
15.707175,0
-10.945497,0
17.797667,0
4.0385604,0
11.42188,0
-0.11012249,0
16.853344,0
20.326658,0
15.595839,0
4.236138,0
42.198902,1
5.8034887,0
24.002035,0
22.985596,0
-28.727436,0
5.5522614,0
5.412901,0
1.5078852,0
-7.969103,0
-14.869919,0
-14.417398,0
3.922088,0
5.637908,0
5.6813498,0
-1.0838754,0
0.71308345,0
-5.6413,0
25.18434,0
-7.303946,0
-6.4906454,0
18.038506,0
7.632651,0
3.485656,0
5.782478,0
21.496305,0
3.3412669,0
1.0695307,0
-3.9130685,0
-0.4038356,0
11.170233,0
-24.14389,0
4.2312202,0
20.18165,0
-28.267698,0
1.0492451,0
3.4075935,0
9.485346,0
13.601624,0
8.516172,0
-20.54476,0
14.551238,0
0.12962838,0
14.817097,0
-8.906076,0
5.9332924,0
18.945953,0
12.1326065,0
8.661403,0
6.5369225,0
1.972502,0
-16.44676,0
-4.248252,0
14.628591,0
2.706658,0
-28.601126,0
12.764179,0
-7.98036,0
9.525701,0
-9.694728,0
-14.515447,0
14.766764,0
-10.254262,0
18.455917,0
6.5128765,0
-0.7742174,0
-20.086115,0
-15.149836,0
16.053986,0
3.9919317,0
2.4897044,0
-5.1033792,0
6.7707605,0
16.493628,0
18.360518,0
13.234064,0
-11.108429,0
8.107738,0
2.8175213,0
20.128332,0
1.7671559,0
13.122213,0
30.309713,1
-10.05345,0
5.426137,0
1.8202374,0
8.413433,0
-16.810389,0
-8.607025,0
-4.877539,0
-4.131714,0
-2.0859516,0
-1.511812,0
9.066439,0
-8.462438,0
-8.833927,0
3.581125,0
15.997669,0
-28.388994,0
34.56608,1
16.149183,0
-25.631699,0
-6.99183,0
12.446891,0
-5.93956,0
30.129906,1
-4.577576,0
-14.276529,0
8.134091,0
-2.451144,0
-3.3151615,0
-2.4805048,0
-24.129543,0
0.9091427,0
-2.6252296,0
12.575441,0
-0.7702978,0
-22.641663,0
-16.035265,0
-24.005754,0
11.530597,0
-8.137411,0
11.09132,0
-7.045761,0
-20.145449,0
-14.051982,0
22.206404,0
-5.8340425,0
9.571261,0
8.366077,0
-8.875921,0
-19.478403,0
6.3792524,0
-6.613513,0
-2.4051578,0
-2.7837217,0
32.23763,1
-10.442251,0
-31.110596,0
6.4540567,0
-22.492373,0
1.0351155,0
7.59509,0
1.2614076,0
-45.777557,0
-12.024464,0
5.110087,0
-21.597692,0
4.5854454,0
2.6456616,0
-8.063443,0
25.530203,0
-10.179014,0
-29.17204,0
1.2893984,0
-18.740345,0
2.7956545,0
-1.6427429,0
27.179792,0
-1.284682,0
14.045733,0
-19.671022,0
27.705221,0
-0.6873844,0
-7.6085625,0
10.625082,0
10.195941,0
-26.027626,0
-0.21820049,0
18.441452,0
-16.512625,0
1.0014403,0
-2.7359998,0
2.778209,0
-4.019989,0
-30.183798,0
16.251081,0
15.808915,0
-20.446947,0
-1.4328249,0
-7.1663456,0
0.5444748,0
0.87225336,0
5.840605,0
-24.75506,0
26.666983,0
26.826708,0
13.799622,0
4.2231445,0
3.3779328,0
9.598306,0
54.32975,1
-7.655019,0
-7.84122,0
6.829067,0
8.955823,0
-24.817888,0
-15.137392,0
24.091528,0
10.168211,0
-6.61479,0
10.643049,0
6.601054,0
7.2273903,0
-12.113152,0
1.3578446,0
-6.327226,0
-2.3689106,0
9.9255295,0
-4.797957,0
6.764142,0
-27.381952,0
9.600612,0
26.777563,0
-2.2799003,0
2.8522913,0
1.9636786,0
-10.299941,0
5.6981153,0
8.47109,0
-6.249606,0
-9.788588,0
7.136012,0
-11.94272,0
-5.366911,0
17.52165,0
18.938534,0
-22.727499,0
-26.357473,0
0.58778495,0
-6.663563,0
9.672244,0
-16.006535,0
8.932809,0
-15.713406,0
-1.0014694,0
-2.3171365,0
22.774055,0
-1.2597635,0
5.591156,0
17.347364,0
-13.761384,0
24.167,0
-9.569168,0
16.657953,0
9.602549,0
-16.815594,0
4.8973913,0
-23.066393,0
-2.9950264,0
-2.4607127,0
2.7857535,0
-3.40042,0
25.987202,0
7.4339056,0
1.8720849,0
-29.861258,0
12.630875,0
14.403899,0
3.3823645,0
8.097207,0
0.33647746,0
-17.490389,0
14.551225,0
13.04373,0
-1.9487598,0
23.086632,0
8.163237,0
-0.5498665,0
11.029296,0
9.225485,0
-17.064447,0
-11.192152,0
-10.068866,0
-5.0120673,0
26.494612,0
-2.7111661,0
0.1897871,0
-2.6427286,0
-23.668232,0
-1.5707116,0
-3.2964594,0
7.7068267,0
2.5845196,0
5.392395,0
-4.1534047,0
6.9613705,0
-5.3617487,0
19.2413,0
24.541891,0
8.722214,0
-10.084423,0
0.24150296,0
11.446324,0
4.637642,0
-8.161729,0
-6.197733,0
1.5935862,0
-18.785265,0
-0.1658266,0
10.784752,0
16.239857,0
-29.620796,0
6.303923,0
-7.3299713,0
3.127556,0
-8.954424,0
-28.158257,0
-3.559903,0
-2.3659573,0
8.003059,0
12.806872,0
3.0030653,0
16.279736,0
-1.9649608,0
-6.1950035,0
4.856741,0
21.229082,0
10.259842,0
13.761791,0
5.959137,0
0.60010976,0
10.100213,0
-1.7972076,0
2.1099188,0
-4.527051,0
9.357714,0
-25.275301,0
18.410955,0
9.648596,0
9.194569,0
6.5244703,0
14.688303,0
8.551542,0
0.77616805,0
-13.938068,0
9.92895,0
16.578506,0
5.9795475,0
-6.0301723,0
22.679071,0
11.521846,0
-10.633926,0
0.18429108,0
17.309088,0
12.621257,0
-2.0387142,0
12.6544075,0
-13.416609,0
3.9528053,0
-3.5022256,0
-5.265052,0
25.829802,0
-11.138123,0
0.10273047,0
-17.244802,0
-23.125172,0
10.219851,0
24.91287,0
-8.220555,0
2.6414669,0
10.399475,0
-12.990562,0
-17.856943,0
-11.746248,0
-16.462915,0
14.485762,0
-13.772125,0
23.28235,0
12.800095,0
5.5744467,0
-17.270712,0
8.6013775,0
3.2617705,0
19.00841,0
4.925679,0
-0.8312538,0
-6.3393803,0
45.94896,1
2.2158048,0
-2.1177213,0
-2.0748098,0
2.6083887,0
-18.75524,0
7.68752,0
-7.9221163,0
0.0013205558,0
-18.728416,0
-8.783035,0
5.932047,0
-11.974453,0
-30.240486,0
-6.580923,0
-1.4329021,0
-6.26791,0
11.372856,0
-7.551384,0
13.99077,0
12.993297,0
-4.238837,0
3.277631,0
14.531606,0
24.176414,0
7.401393,0
2.4902995,0
-7.7890463,0
3.5172923,0
-15.124298,0
13.094956,0
14.949377,0
6.95613,0
-13.235251,0
-0.5104063,0
16.902885,0
27.875307,0
6.8499045,0
-10.997652,0
-17.885149,0
16.201456,0
-2.0135467,0
8.906551,0
13.577137,0
43.46026,1
-13.819272,0
20.760427,0
21.000557,0
-6.641589,0
41.31597,1
2.288233,0
6.804242,0
-7.329317,0
-7.9598417,0
3.813492,0
-25.878214,0
-1.8355262,0
-14.089272,0
1.6344893,0
-8.077585,0
2.5425317,0
10.062492,0
5.805872,0
-18.067823,0
13.795677,0
12.468434,0
12.973335,0
4.10863,0
19.274141,0
11.564691,0
23.309284,0
4.7187023,0
-8.865059,0
-10.880487,0
-5.7286882,0
-9.479211,0
-10.864333,0
16.433702,0
15.906853,0
-10.644735,0
25.719862,0
2.0655968,0
14.644169,0
-23.214762,0
22.35076,0
-0.35138303,0
-1.5227659,0
9.655532,0
-9.47344,0
-3.9705236,0
-13.936848,0
18.709435,0
-14.105312,0
1.2589629,0
4.9673605,0
-8.773405,0
-29.693914,0
21.227072,0
1.4699583,0
-7.0739183,0
-31.142872,0
-27.365198,0
-30.59032,0
-3.0368822,0
13.11137,0
1.5008976,0
