synergy,class
9.279737,0
29.875603,0
11.49149,0
-16.281511,0
-15.314519,0
3.7174761,0
28.008633,0
18.016054,0
4.3163466,0
27.677967,0
13.793818,0
19.336712,0
41.04014,1
-6.3051324,0
-11.706067,0
10.730683,0
10.021453,0
-12.169066,0
-21.621168,0
28.811844,0
50.492783,1
-4.591643,0
18.79028,0
46.41962,1
28.365316,0
28.18477,0
-21.456387,0
-4.1995254,0
-0.20991296,0
8.589709,0
8.180808,0
9.010115,0
36.4335,1
9.103171,0
33.092613,1
-3.6867359,0
-15.863744,0
-6.7639375,0
7.7870593,0
25.467411,0
2.6515353,0
14.657813,0
19.300661,0
-27.768398,0
9.215721,0
19.642702,0
0.44697887,0
8.589656,0
-7.2578225,0
11.301789,0
1.1586279,0
17.133963,0
-25.549564,0
-5.8042607,0
1.8326944,0
7.6619124,0
1.8741735,0
-38.66924,0
-5.2430367,0
0.70276767,0
19.141489,0
18.04335,0
1.2152275,0
4.5180964,0
-0.15695828,0
11.233169,0
10.805564,0
-17.013725,0
-9.6776285,0
-34.24861,0
-1.0707003,0
17.232344,0
28.50924,0
13.771853,0
17.413967,0
3.6632912,0
9.442736,0
55.33802,1
11.685935,0
-6.118571,0
3.342545,0
26.066847,0
21.654125,0
6.577232,0
24.915056,0
10.131507,0
76.23535,1
10.759795,0
21.381767,0
45.069138,1
-7.3022313,0
-23.5502,0
-0.15803784,0
-4.284035,0
9.530715,0
2.684088,0
27.370132,0
35.92727,1
6.595987,0
3.4429886,0
-28.0527,0
-11.882594,0
3.4804833,0
-12.271619,0
-6.3737645,0
13.708632,0
-3.3044136,0
-6.518739,0
30.514088,1
12.772225,0
0.06923229,0
33.738266,1
-44.964813,0
-8.825025,0
0.27099735,0
7.5337176,0
16.388634,0
27.96745,0
-0.87896985,0
4.1612697,0
22.914091,0
9.378044,0
2.5813172,0
-4.732754,0
1.0554475,0
7.9664416,0
-1.6878754,0
-46.055862,0
-3.2258146,0
27.888212,0
11.617885,0
17.439598,0
21.523594,0
-1.9916197,0
-16.741865,0
11.6523905,0
24.964743,0
-1.4066759,0
0.026490517,0
35.221245,1
1.7314657,0
-15.750938,0
27.214613,0
-15.235258,0
0.97186595,0
46.209717,1
42.380123,1
-33.143276,0
9.602561,0
-2.0552108,0
23.273684,0
31.536564,1
-20.864609,0
29.983196,0
-4.93661,0
-2.3131645,0
53.271812,1
17.52063,0
3.3644001,0
-11.752715,0
-0.646218,0
-6.6288085,0
-7.0482917,0
9.650449,0
40.222046,1
12.504574,0
11.348573,0
-16.746717,0
1.9006838,0
-16.614758,0
26.925568,0
-25.520359,0
-7.71025,0
11.150783,0
-34.702187,0
-6.2300735,0
2.3934224,0
34.83766,1
3.1949465,0
22.81622,0
2.2749188,0
12.155818,0
7.8024516,0
11.367358,0
-5.4023137,0
2.247432,0
29.097141,0
-3.4485939,0
15.814506,0
-21.449974,0
12.278689,0
-34.57098,0
-9.605025,0
25.19215,0
2.1546423,0
-10.705005,0
-10.350343,0
37.627045,1
9.447071,0
12.406196,0
35.829292,1
30.6943,1
-14.646233,0
-6.371923,0
-36.898113,0
-18.945274,0
11.049919,0
10.474796,0
24.202456,0
27.090626,0
12.937034,0
-9.673184,0
3.3722298,0
-28.287786,0
-6.208506,0
24.482841,0
5.750854,0
-17.032413,0
-8.831943,0
-48.656654,0
-17.282099,0
-11.015872,0
-20.750744,0
6.5460143,0
13.625592,0
29.899128,0
53.78855,1
-4.307244,0
12.93276,0
28.40989,0
1.0573629,0
73.59243,1
12.255257,0
33.237038,1
21.237558,0
3.9409554,0
31.492167,1
13.589516,0
3.6089847,0
9.996314,0
14.911845,0
15.628421,0
-9.808589,0
-0.5937516,0
23.017685,0
2.6171834,0
8.611297,0
23.416763,0
-0.13397855,0
20.966236,0
-27.952248,0
14.930619,0
16.879818,0
-6.5791173,0
-1.5268112,0
14.492661,0
16.48569,0
29.60242,0
3.9123433,0
-4.535564,0
11.057502,0
8.190602,0
-0.2146079,0
-41.937653,0
-2.9379127,0
-4.870728,0
18.995634,0
11.947453,0
1.3244222,0
-1.1026255,0
-11.634911,0
-7.658755,0
43.13151,1
14.726638,0
17.968824,0
-3.8238065,0
9.45139,0
1.3059362,0
19.25459,0
-9.268155,0
8.440774,0
2.2126267,0
-35.736862,0
3.516118,0
5.63996,0
8.908807,0
-0.5686175,0
13.115442,0
30.705872,1
20.244007,0
4.929841,0
12.6346655,0
28.20909,0
5.2731004,0
10.331197,0
-35.860416,0
0.33498698,0
29.743263,0
10.520232,0
20.695581,0
3.9266102,0
8.971252,0
-4.745236,0
17.4348,0
13.770431,0
-11.259299,0
-1.5992953,0
11.83957,0
14.259143,0
9.499274,0
-33.166332,0
49.583572,1
22.728098,0
-42.559032,0
26.10257,0
13.797099,0
34.450336,1
-7.978809,0
17.85463,0
-4.3904614,0
31.418118,1
-10.050283,0
75.520294,1
-13.911429,0
23.404224,0
5.804401,0
19.605165,0
29.097076,0
-4.8752465,0
48.12958,1
-22.079693,0
36.017223,1
9.234042,0
10.190015,0
-25.842503,0
-2.6542447,0
12.511359,0
-28.852829,0
-35.234085,0
-23.589903,0
91.33587,1
74.044556,1
7.8656898,0
-22.950468,0
23.919214,0
-16.990305,0
1.076383,0
22.163786,0
-18.36525,0
27.72683,0
1.0465158,0
-1.7565714,0
33.887543,1
34.45044,1
-5.6812444,0
-3.3814838,0
3.6068604,0
28.929117,0
34.71872,1
-7.2772946,0
-7.9402356,0
8.190603,0
-11.570843,0
2.4564936,0
-18.697218,0
36.815147,1
4.169762,0
-34.900642,0
-11.228528,0
46.949406,1
1.722112,0
12.2559595,0
-3.7259376,0
73.564835,1
22.054996,0
12.360133,0
20.229073,0
21.77454,0
1.9606174,0
6.1626697,0
20.89118,0
-11.493146,0
6.6284957,0
7.462255,0
3.9506896,0
2.8949368,0
14.226779,0
50.537888,1
0.8151472,0
6.0362515,0
-29.939152,0
17.816376,0
0.5207103,0
0.6938327,0
1.3290905,0
10.938405,0
32.98986,1
7.594498,0
22.8008,0
-8.306075,0
-1.509873,0
11.4751425,0
-16.485394,0
20.100662,0
26.969051,0
-2.996703,0
26.654308,0
18.55188,0
13.28383,0
33.179253,1
2.1236756,0
16.466692,0
5.9640307,0
-38.37005,0
29.714314,0
16.208208,0
10.494763,0
19.396883,0
21.914276,0
48.39282,1
10.09137,0
28.950172,0
0.24812824,0
4.5191054,0
22.697079,0
28.703297,0
-14.127278,0
24.319143,0
12.746766,0
-12.579942,0
-2.440109,0
-38.08266,0
-0.680062,0
13.510642,0
10.111543,0
-11.700742,0
23.19926,0
-2.246268,0
31.48566,1
8.155256,0
10.962684,0
-24.505898,0
18.328087,0
17.40513,0
20.425346,0
6.718738,0
1.6452631,0
9.522325,0
16.27006,0
47.991135,1
18.44289,0
4.3395457,0
-3.802324,0
-1.097015,0
10.605201,0
17.519508,0
-9.750538,0
-11.310864,0
6.4600596,0
-0.9393837,0
-6.4846864,0
2.6528065,0
27.087234,0
20.34446,0
-4.686589,0
24.179562,0
3.012355,0
-8.007697,0
-6.975097,0
-25.933195,0
8.744845,0
57.251614,1
44.68473,1
3.580047,0
9.573518,0
21.479078,0
-7.0849643,0
6.533521,0
-1.637817,0
10.311595,0
3.2710478,0
1.3278381,0
3.8639262,0
13.3458185,0
17.802666,0
28.635777,0
-17.372633,0
4.4062924,0
-21.449125,0
24.88485,0
10.465553,0
-9.445588,0
8.636496,0
-2.360421,0
17.117369,0
11.479485,0
1.3694795,0
-15.54411,0
46.536354,1
8.4192915,0
-34.801117,0
32.915867,1
39.078102,1
10.268464,0
-1.9459978,0
24.69303,0
24.078568,0
29.551546,0
9.682079,0
4.901653,0
29.716097,0
52.76945,1
9.358317,0
27.828423,0
10.797024,0
19.889473,0
17.199379,0
18.231873,0
-2.6458366,0
47.40542,1
6.901771,0
11.629277,0
-4.7048354,0
-6.4689527,0
1.8101305,0
-5.246386,0
-4.5056405,0
28.391886,0
-17.605263,0
16.821997,0
-3.2653158,0
2.5189955,0
-2.257819,0
9.743579,0
3.7524903,0
-9.987843,0
-22.878765,0
22.822998,0
0.8603819,0
9.559741,0
-2.3956506,0
-3.2625244,0
39.084053,1
-4.993523,0
23.465778,0
37.218384,1
12.97686,0
34.729893,1
15.350392,0
39.183586,1
-5.443197,0
6.21613,0
5.7429004,0
5.832346,0
3.347418,0
13.974469,0
4.451863,0
31.584808,1
33.69797,1
-31.474075,0
15.694055,0
26.965399,0
10.509265,0
-12.770608,0
0.27585346,0
0.88065463,0
12.07513,0
39.151398,1
-8.550931,0
6.8626,0
12.854438,0
3.8637507,0
-9.756628,0
1.2505745,0
3.6834595,0
21.792646,0
-3.0231397,0
4.0030646,0
2.334201,0
-22.720177,0
2.4607995,0
1.2132791,0
21.520735,0
7.4622493,0
15.290477,0
2.400203,0
2.9007685,0
15.580213,0
-1.3106266,0
17.598602,0
25.89812,0
-2.9227178,0
-33.74263,0
-9.320855,0
8.5163,0
10.799912,0
51.949512,1
0.8473237,0
-12.51205,0
-4.2557797,0
-3.9437034,0
-8.1923895,0
14.780888,0
5.629329,0
-30.88705,0
-15.684598,0
50.916214,1
-4.2182508,0
3.3267424,0
-0.23171109,0
-17.384989,0
38.21958,1
9.954253,0
10.88839,0
6.965026,0
16.063038,0
14.610497,0
-3.916169,0
16.7845,0
8.152207,0
42.458195,1
-23.090393,0
23.591482,0
20.284662,0
-5.0602612,0
-0.831073,0
4.9486046,0
-15.910188,0
15.175031,0
1.7411283,0
-10.868173,0
-38.19038,0
77.56649,1
7.8513665,0
9.343954,0
16.17852,0
19.252031,0
-11.715516,0
7.6519847,0
18.355057,0
5.747583,0
43.884148,1
-7.2772098,0
-22.9505,0
9.339223,0
3.148101,0
21.2314,0
-3.5082529,0
4.6168666,0
-11.426631,0
48.72438,1
10.493385,0
7.902923,0
28.656782,0
7.2427278,0
37.148468,1
26.620247,0
-8.1928835,0
10.885003,0
-3.637677,0
-2.2475843,0
7.7686677,0
19.605213,0
26.688034,0
16.90913,0
15.881329,0
-2.4074938,0
-13.487142,0
15.517167,0
5.8366237,0
-1.0214154,0
5.0915875,0
-17.876226,0
0.48125392,0
28.989037,0
9.410488,0
-15.277834,0
22.455395,0
-5.8136497,0
13.171432,0
30.95614,1
5.4260073,0
15.834434,0
-26.263138,0
43.780155,1
-20.955996,0
19.925072,0
4.084947,0
-9.919147,0
12.672351,0
-0.20114869,0
-8.608114,0
29.997662,0
-18.204552,0
-1.8023096,0
-12.932656,0
-2.3494399,0
-25.638992,0
7.9208164,0
9.944554,0
10.680291,0
34.23571,1
-5.1678033,0
27.44665,0
27.918753,0
-29.485756,0
21.83249,0
16.458584,0
22.68606,0
22.383003,0
20.06927,0
34.373352,1
41.4106,1
-4.8094106,0
9.574574,0
2.6260283,0
26.369162,0
10.729873,0
-19.518034,0
25.679922,0
8.151003,0
8.182857,0
-5.344527,0
50.565536,1
10.35328,0
-4.1463485,0
19.58696,0
-10.665318,0
0.66473323,0
12.677596,0
8.8791,0
-11.71548,0
32.855545,1
29.923233,0
-0.4417035,0
25.639473,0
44.78756,1
18.398756,0
-20.92524,0
4.5833797,0
40.105927,1
26.584465,0
10.801053,0
44.418465,1
14.125342,0
0.3845876,0
19.037876,0
42.337925,1
-11.610616,0
34.610214,1
20.058931,0
-6.819039,0
-17.624275,0
2.8082612,0
27.747055,0
-3.7487695,0
26.046215,0
22.314453,0
19.002325,0
11.981627,0
26.611172,0
-1.1538426,0
15.193604,0
-1.8870693,0
-17.046623,0
-13.629519,0
2.0767434,0
-24.16305,0
-8.274945,0
47.157204,1
-14.716058,0
33.08262,1
27.674263,0
-7.4042974,0
44.047745,1
29.932146,0
32.82883,1
-10.912526,0
-11.006593,0
-1.4763037,0
21.421387,0
-0.5148818,0
-1.8310486,0
-10.167956,0
-5.989248,0
42.160614,1
6.404926,0
-16.333784,0
0.81925327,0
-17.64481,0
-8.458363,0
6.2220798,0
9.18983,0
26.959665,0
-4.146527,0
10.152345,0
12.213878,0
11.936937,0
-15.060939,0
4.243809,0
28.258144,0
9.813722,0
18.884254,0
-24.750364,0
-8.283908,0
-8.057274,0
4.8352027,0
29.551529,0
-1.054957,0
-21.976173,0
9.934639,0
10.126243,0
-12.974294,0
25.291111,0
2.2276108,0
20.200636,0
-9.070526,0
11.416823,0
-47.06244,0
-12.93078,0
-8.15547,0
-8.689731,0
28.25021,0
-24.070202,0
-2.2927048,0
5.136354,0
46.527466,1
54.17741,1
9.138104,0
-1.3707567,0
11.872794,0
21.705406,0
16.41316,0
31.665339,1
1.8884748,0
-2.0499885,0
14.098844,0
14.751905,0
23.223576,0
15.234981,0
-3.184014,0
4.2058706,0
43.382427,1
27.423634,0
11.061641,0
14.60387,0
37.73222,1
-48.74917,0
9.0389185,0
2.2007267,0
4.0715213,0
6.9422255,0
-20.390575,0
13.099866,0
45.50847,1
-26.535425,0
-3.6956184,0
1.2927374,0
49.29212,1
9.98834,0
11.904622,0
22.750277,0
20.157705,0
44.501686,1
1.5244802,0
21.416943,0
13.951064,0
4.5994773,0
12.310855,0
4.7664237,0
-20.807491,0
4.297522,0
26.599384,0
9.867974,0
8.9774685,0
11.694093,0
2.2273076,0
12.570817,0
13.863879,0
30.467064,1
2.69609,0
-5.057036,0
16.539316,0
-10.779929,0
-12.144975,0
7.542211,0
23.414337,0
30.949228,1
10.125302,0
27.957329,0
-15.709997,0
4.8693366,0
-18.969091,0
-11.666892,0
20.400185,0
8.79483,0
8.652419,0
-10.672353,0
-4.061757,0
-8.250975,0
7.4946227,0
23.659647,0
8.941996,0
7.1758137,0
1.8306955,0
13.375878,0
7.7692294,0
-10.57718,0
0.34888774,0
28.022163,0
13.352874,0
9.043374,0
-13.704316,0
16.122185,0
23.971481,0
10.252595,0
3.1595051,0
-10.267821,0
1.4385675,0
12.871886,0
-24.021832,0
11.864064,0
9.690038,0
33.48025,1
26.238499,0
26.644405,0
30.681835,1
27.91254,0
13.469962,0
49.202946,1
12.528397,0
-0.15488404,0
24.776394,0
7.8967814,0
-4.814404,0
-5.5210214,0
27.795681,0
22.411093,0
1.4261488,0
2.217623,0
12.341434,0
36.306713,1
-9.030885,0
16.061108,0
19.319256,0
-10.805291,0
-6.306687,0
-0.3240401,0
23.28487,0
-29.183998,0
24.921316,0
35.075043,1
30.770317,1
18.808092,0
1.7158483,0
-0.6642253,0
6.0712,0
1.0220503,0
-9.210549,0
13.420627,0
28.928339,0
11.818276,0
-0.21465749,0
40.19099,1
-14.2902155,0
-2.7941215,0
9.847171,0
-13.337892,0
27.52166,0
-5.937754,0
-15.420014,0
4.6375422,0
7.974319,0
12.775859,0
-9.679917,0
-28.921127,0
-16.277697,0
11.695065,0
3.4815829,0
13.087155,0
-7.095757,0
13.733182,0
44.084934,1
10.801794,0
18.887999,0
15.62745,0
35.787247,1
1.9788908,0
75.2847,1
30.349472,1
-2.0498912,0
5.1944222,0
23.4462,0
22.96222,0
-8.888843,0
21.252459,0
14.185813,0
36.429657,1
7.457847,0
31.871006,1
-0.09858196,0
-4.705588,0
-11.326848,0
-7.825255,0
-19.51467,0
-9.194116,0
-12.55045,0
0.5024765,0
-3.1555183,0
31.219654,1
-11.627259,0
-34.373158,0
9.50129,0
-5.487839,0
-22.69077,0
-5.0941606,0
30.59251,1
-2.8994424,0
1.2637991,0
-9.905639,0
6.0214486,0
10.157753,0
25.18285,0
33.21054,1
-10.618123,0
10.881862,0
9.876727,0
5.018417,0
4.0140314,0
15.435046,0
33.228992,1
-8.292968,0
8.103427,0
10.696046,0
-1.1199347,0
30.443003,1
-1.1524054,0
-2.9770706,0
13.453363,0
-3.2867649,0
3.3742106,0
27.760908,0
43.12731,1
7.1615653,0
-5.6466765,0
14.275079,0
20.605373,0
16.058716,0
11.71388,0
-1.5185047,0
11.114137,0
-0.686423,0
18.740993,0
40.88224,1
10.659983,0
28.203304,0
7.531156,0
24.15946,0
7.0519137,0
-1.124102,0
22.744461,0
-2.119887,0
28.13338,0
-8.280873,0
2.4939644,0
6.3901935,0
8.988364,0
8.047854,0
27.908611,0
-2.1104457,0
13.637114,0
5.1913047,0
8.881204,0
-1.9775549,0
36.034584,1
5.13574,0
27.298332,0
-6.1048455,0
27.364227,0
-8.618249,0
7.9197307,0
3.1047451,0
19.23774,0
1.7198986,0
13.878089,0
-4.12884,0
18.480225,0
19.772446,0
-7.782515,0
8.66238,0
79.31063,1
22.797539,0
7.344339,0
-2.0015028,0
32.00791,1
0.14767009,0
41.997,1
-10.169771,0
25.236023,0
10.310603,0
13.810563,0
-44.36393,0
37.26487,1
15.950959,0
13.73154,0
27.963158,0
3.3240693,0
-23.2346,0
30.520294,1
3.044183,0
-7.680013,0
2.879184,0
-18.950817,0
1.8474363,0
53.317036,1
49.462402,1
9.241068,0
3.1671631,0
10.850392,0
0.9179786,0
-36.082626,0
44.744072,1
5.156985,0
-6.795783,0
38.73756,1
3.0423863,0
-24.508022,0
-5.311233,0
-1.5668856,0
0.345383,0
7.3464446,0
48.07612,1
50.972218,1
-0.39905232,0
-4.9594502,0
23.228846,0
25.517582,0
24.241096,0
13.068318,0
-42.14306,0
-16.244867,0
-3.0719564,0
4.9468236,0
19.186733,0
22.51175,0
10.214906,0
16.20509,0
-11.000005,0
27.602161,0
21.354214,0
20.424385,0
25.24504,0
13.613928,0
13.728557,0
-3.8902957,0
-12.866513,0
-7.169474,0
12.782977,0
33.85732,1
-19.052063,0
7.9425025,0
3.0848172,0
7.771787,0
-6.215428,0
-0.34764928,0
24.901703,0
5.6368737,0
4.3074574,0
40.467197,1
-14.233525,0
10.902269,0
56.28349,1
1.1408685,0
-23.240078,0
46.750256,1
27.152853,0
11.634603,0
5.143272,0
36.586765,1
19.512493,0
-1.1459938,0
14.314919,0
36.17266,1
12.266563,0
1.9016584,0
2.0041745,0
19.623566,0
52.86901,1
-21.1775,0
33.478897,1
82.13364,1
-10.011149,0
28.97197,0
6.8384366,0
-9.340749,0
-9.645558,0
7.316789,0
15.421828,0
3.2030976,0
4.610908,0
38.785686,1
-1.0731207,0
-13.027295,0
17.312721,0
7.185455,0
-26.083904,0
23.861399,0
4.96975,0
-3.4471138,0
11.720321,0
-14.905578,0
-37.607193,0
54.524895,1
26.37445,0
0.2551244,0
11.853298,0
-6.7661076,0
54.73043,1
-6.6802964,0
-14.478429,0
-17.67345,0
-23.920376,0
11.843331,0
10.5280905,0
3.8985875,0
-3.778054,0
-14.170742,0
1.6583666,0
25.95423,0
-10.738681,0
24.30169,0
36.74201,1
-15.602762,0
59.829376,1
12.590854,0
10.351844,0
4.1839805,0
0.6606286,0
1.1137432,0
-8.834731,0
3.7998765,0
-6.5309024,0
-16.933893,0
15.274866,0
15.738376,0
0.64135486,0
-3.8954694,0
-35.604298,0
-8.20835,0
4.335693,0
-8.237384,0
-2.6228073,0
-2.684161,0
-14.491765,0
-15.997024,0
37.005455,1
-19.013136,0
4.6119037,0
-21.23056,0
20.719728,0
21.900127,0
11.98421,0
-12.333697,0
-0.26891488,0
19.34277,0
37.90937,1
-5.1420503,0
1.6481069,0
2.2979262,0
35.543247,1
9.689944,0
51.882877,1
13.4591875,0
-4.4459567,0
9.125042,0
79.68785,1
2.674413,0
16.316414,0
-0.3789956,0
24.754826,0
11.9947405,0
5.5975337,0
7.2679744,0
37.64909,1
33.627068,1
34.38434,1
4.0848465,0
14.461736,0
4.817144,0
22.114052,0
-5.812138,0
-15.871696,0
-4.186871,0
19.836744,0
8.5003805,0
16.397213,0
3.4572537,0
-10.906041,0
30.07663,1
11.765742,0
12.868163,0
12.005928,0
22.704987,0
23.074772,0
-4.707109,0
18.043015,0
10.869084,0
9.146238,0
-22.49503,0
-0.9590995,0
-27.730623,0
33.76478,1
-11.437634,0
-31.797232,0
-9.936662,0
75.54701,1
-6.894465,0
-3.5281827,0
3.0099251,0
-5.070725,0
14.218102,0
18.618382,0
10.583806,0
2.604934,0
8.829698,0
12.393537,0
3.086982,0
16.895489,0
6.442017,0
-12.010867,0
-25.539362,0
24.95905,0
-7.5025277,0
1.0376581,0
5.9756618,0
-6.8116145,0
6.0586295,0
4.818365,0
-2.9840438,0
41.09394,1
1.5567745,0
4.683458,0
14.452699,0
-38.59431,0
29.714685,0
9.353114,0
-11.733542,0
1.4897426,0
35.170555,1
-4.6877694,0
43.34581,1
15.094127,0
24.213934,0
0.09450466,0
11.249812,0
-0.62595433,0
10.609046,0
13.717389,0
-7.707916,0
16.805851,0
-0.71770924,0
-0.67978734,0
33.33048,1
-8.882824,0
23.69049,0
