synergy,class
-9.076699,0
-2.2650552,0
-6.5456643,0
0.27634868,0
-1.9690841,0
58.56468,1
32.569347,1
-2.425305,0
23.923243,0
16.48325,0
-3.04184,0
7.429113,0
28.921207,0
-0.49920884,0
-6.8287854,0
1.5904309,0
2.649778,0
20.606886,0
0.40696678,0
17.953825,0
-6.9093065,0
-10.977123,0
13.318973,0
4.4881244,0
31.875208,1
-60.4649,0
-8.716892,0
29.162651,0
-24.995314,0
-6.529618,0
0.15369758,0
26.192915,0
0.61485636,0
-0.96736753,0
18.68882,0
-7.4513345,0
9.812435,0
-16.099104,0
-9.177313,0
8.757936,0
-33.145252,0
-30.499743,0
-5.194384,0
23.477177,0
-55.789253,0
-31.50836,0
32.414417,1
-11.337471,0
23.913269,0
22.770975,0
64.42237,1
15.116198,0
9.445208,0
59.682423,1
49.765232,1
-17.473143,0
23.409365,0
-2.7611146,0
8.9418745,0
31.641548,1
16.102987,0
-55.387096,0
4.2961974,0
-18.486841,0
22.892607,0
30.852337,1
54.131752,1
29.974865,0
28.115812,0
-5.2376885,0
9.048418,0
-24.276007,0
32.64043,1
14.675768,0
34.665707,1
11.606401,0
-53.04628,0
-1.3101782,0
32.679123,1
24.18681,0
30.622377,1
70.33534,1
16.138685,0
71.30674,1
-31.379538,0
-8.321455,0
7.0444922,0
24.482605,0
51.534454,1
55.911884,1
51.838417,1
-11.922312,0
34.665565,1
65.91546,1
60.375526,1
49.924557,1
107.02363,1
91.08379,1
-18.343695,0
69.43139,1
0.37466583,0
73.15156,1
-73.53207,0
9.0112095,0
82.32808,1
14.032675,0
56.00931,1
104.47888,1
39.354702,1
11.553926,0
26.68758,0
-10.160811,0
-90.67973,0
12.529873,0
17.493954,0
60.453663,1
53.0696,1
94.24541,1
-27.01166,0
44.34673,1
78.78393,1
53.012405,1
103.1204,1
89.126335,1
37.984646,1
-8.717146,0
110.18619,1
47.22423,1
97.3911,1
-23.36023,0
16.18706,0
93.99522,1
-20.194454,0
-10.1079445,0
