synergy,class
-0.19107449,0
21.481651,0
-11.962786,0
0.8247403,0
-2.038373,0
3.9367356,0
15.4625845,0
-11.109301,0
27.051003,0
-15.789081,0
-7.1441736,0
10.213927,0
18.74641,0
5.8347197,0
5.946624,0
4.6649437,0
20.133137,0
9.799218,0
5.946866,0
-1.5629302,0
7.833869,0
-8.459895,0
-4.3348026,0
14.624028,0
40.125237,1
-11.876668,0
-8.145507,0
8.590032,0
32.29972,1
4.070424,0
7.737218,0
9.208527,0
-11.456689,0
-7.8883114,0
-2.785708,0
9.542119,0
9.516606,0
-8.247041,0
-0.68701375,0
7.7910867,0
19.96059,0
-21.26973,0
16.210587,0
34.06264,1
-28.644693,0
-10.617897,0
18.362724,0
16.951746,0
28.407215,0
20.02781,0
-7.30431,0
15.355097,0
12.378731,0
33.157883,1
15.913287,0
-19.070333,0
35.253414,1
-14.831885,0
25.56971,0
2.8863878,0
29.937473,0
24.869911,0
18.730066,0
1.9496058,0
-1.2326993,0
31.16544,1
2.3832884,0
25.540005,0
14.264035,0
18.29194,0
10.149483,0
8.423606,0
28.920057,0
25.969875,0
29.476028,0
5.7997046,0
-12.560012,0
3.5806704,0
35.61452,1
-7.2509804,0
-20.525295,0
-16.448261,0
-16.806053,0
-38.372223,0
-54.313126,0
-21.976923,0
-59.10414,0
-27.268219,0
-4.3627863,0
-3.3978004,0
-9.605601,0
-19.934599,0
-33.53179,0
-5.8708544,0
-17.994648,0
-10.021402,0
-23.80262,0
-18.274027,0
-57.29003,0
-15.84142,0
-18.280914,0
-20.309122,0
-54.797188,0
-40.183952,0
-13.753254,0
8.112761,0
8.790957,0
-11.720412,0
3.3554692,0
-7.8807535,0
-0.89067185,0
-25.862175,0
55.708565,1
-17.047321,0
-22.706068,0
34.515457,1
57.20674,1
-3.9451933,0
-5.991948,0
-5.394782,0
38.239758,1
1.1499699,0
14.771857,0
11.580749,0
22.78664,0
-20.431887,0
46.9929,1
8.907231,0
2.7269921,0
-7.931304,0
-10.965016,0
-1.6700631,0
5.0922017,0
7.1077976,0
1.3603095,0
22.207373,0
-18.43096,0
-1.6088711,0
7.269101,0
11.891253,0
12.90771,0
-2.6119108,0
31.83104,1
3.741538,0
4.106209,0
-8.453992,0
17.852064,0
23.795029,0
3.8000898,0
2.565494,0
12.063124,0
22.490936,0
6.568019,0
7.8845015,0
3.260169,0
20.061455,0
17.9181,0
0.7944063,0
-14.899999,0
6.715869,0
13.696531,0
6.565898,0
5.7219496,0
13.03829,0
6.945757,0
-15.60621,0
-13.594958,0
5.8740525,0
22.472012,0
21.155323,0
3.515853,0
-1.6783935,0
-9.808613,0
-20.255623,0
3.221589,0
-8.282172,0
27.433575,0
22.773348,0
0.46482933,0
14.569119,0
-20.311241,0
46.69549,1
-2.1528502,0
14.256505,0
-6.0097346,0
-7.0119963,0
-5.284528,0
26.017622,0
15.653379,0
-7.1418924,0
-1.8162214,0
22.434032,0
20.493448,0
6.531888,0
-2.9171228,0
-47.29857,0
23.293182,0
22.713585,0
-2.6976357,0
30.111177,1
-34.1669,0
-2.8756437,0
-15.953858,0
-10.468724,0
-6.4172945,0
1.567118,0
12.117137,0
-22.0119,0
-20.7973,0
33.503452,1
6.752991,0
-6.9392834,0
-8.3770485,0
32.072304,1
-10.460214,0
-24.176159,0
-13.56038,0
-16.729277,0
-3.7333112,0
-30.305721,0
-24.851093,0
-15.733985,0
7.2350197,0
1.7770156,0
-4.363164,0
-18.783543,0
-31.235828,0
4.4486895,0
-5.4574995,0
-37.29819,0
-20.240368,0
-6.9158144,0
-16.47546,0
-8.500646,0
7.2747936,0
17.032608,0
7.8956084,0
-10.992688,0
6.3755126,0
-8.864726,0
-9.573999,0
-5.3361197,0
18.535019,0
5.051796,0
4.1252007,0
0.17036617,0
3.6830673,0
16.815964,0
-3.39435,0
20.49356,0
15.9009285,0
-10.4360075,0
-9.717416,0
7.352146,0
13.979078,0
16.209042,0
-2.7678547,0
-0.8647615,0
26.207436,0
12.73007,0
20.64619,0
21.521103,0
25.9192,0
39.873047,1
1.0722951,0
18.176628,0
41.41349,1
20.749557,0
29.268217,0
23.066456,0
34.290977,1
-2.6378837,0
23.431496,0
36.0076,1
-13.479076,0
10.180266,0
31.140505,1
13.7154875,0
19.291594,0
8.941595,0
-2.3006258,0
19.7559,0
-6.9717464,0
-10.654072,0
13.08674,0
16.649323,0
21.944803,0
4.174777,0
10.898237,0
28.768011,0
18.027597,0
-4.8511505,0
19.254107,0
-24.869808,0
9.244903,0
40.757217,1
-10.59148,0
6.0735664,0
15.62683,0
0.83622444,0
-2.0918303,0
-10.401557,0
-40.659744,0
-29.699059,0
-32.346973,0
-22.676146,0
-29.591137,0
5.359709,0
19.59405,0
-3.4014616,0
-16.222078,0
-23.052874,0
-23.728374,0
-2.557085,0
-17.235416,0
4.010359,0
-6.5073977,0
-13.706839,0
-11.727281,0
-10.999267,0
19.823174,0
11.780538,0
6.5531025,0
-23.902706,0
20.909014,0
23.777992,0
15.786851,0
39.200665,1
1.5545763,0
20.992434,0
11.648925,0
14.488669,0
16.81054,0
10.860443,0
11.096253,0
3.4668555,0
5.810499,0
16.702068,0
32.571617,1
15.299047,0
28.909237,0
28.618958,0
22.301905,0
3.5655708,0
11.065381,0
28.295622,0
8.289416,0
10.351581,0
16.533764,0
24.453926,0
6.633441,0
5.007187,0
11.476497,0
-35.375366,0
-3.9307604,0
-1.2887717,0
11.371762,0
-0.20410454,0
-9.079756,0
-29.263737,0
13.026478,0
-6.564086,0
-12.453826,0
-21.747948,0
-0.74509346,0
1.55488,0
-1.8181564,0
-12.076926,0
0.19525182,0
9.558643,0
-2.0216246,0
7.491493,0
-11.745027,0
0.1462363,0
-5.0261602,0
0.95456445,0
-31.392502,0
-8.786752,0
-3.6184988,0
3.8777514,0
2.4140196,0
21.719707,0
-10.9040575,0
-30.929443,0
-21.00362,0
15.810232,0
10.6888075,0
2.5824728,0
-12.177812,0
-20.834114,0
21.81114,0
-27.726282,0
32.571495,1
-13.567187,0
-9.160755,0
18.020424,0
40.967487,1
-5.747191,0
-1.9566549,0
-9.606957,0
48.754097,1
-3.6588526,0
-2.5431309,0
12.703389,0
-5.3257213,0
-26.873055,0
9.016126,0
-6.543236,0
-26.039185,0
-22.143112,0
-7.6234694,0
-4.0075645,0
1.2931346,0
-6.531586,0
1.5591973,0
-27.490515,0
-9.535245,0
-7.493388,0
-5.409606,0
-39.369217,0
-43.87314,0
-1.2926551,0
-36.729248,0
