synergy,class
7.5723367,0
20.33238,0
-4.953943,0
-6.341102,0
-3.9386048,0
-1.9896817,0
-2.8409076,0
-8.3455305,0
24.729776,0
10.147743,0
8.427831,0
10.928732,0
17.576576,0
4.955111,0
1.9398298,0
2.124949,0
19.14126,0
10.960844,0
12.685591,0
12.20724,0
20.969015,0
5.497952,0
13.053865,0
12.858287,0
9.502876,0
21.397364,0
11.579582,0
22.92218,0
16.947222,0
15.922686,0
2.054305,0
35.942448,1
31.378351,1
50.366207,1
14.622961,0
16.394033,0
14.525072,0
8.528108,0
31.520254,1
37.280373,1
33.17922,1
19.756369,0
18.79487,0
21.136576,0
53.167355,1
46.991665,1
26.527243,0
11.188475,0
23.200216,0
16.766611,0
-4.0783296,0
5.909329,0
13.602044,0
36.982162,1
12.594556,0
11.864286,0
24.659979,0
5.988792,0
6.2999387,0
6.7187696,0
29.654524,0
31.434828,1
8.262653,0
9.24537,0
15.651932,0
35.441143,1
32.88351,1
15.909281,0
18.631727,0
31.717403,1
37.972187,1
19.900936,0
16.952667,0
18.574945,0
8.451478,0
7.9554906,0
42.86453,1
37.909267,1
19.063189,0
-18.470282,0
1.214086,0
-13.577627,0
-5.0709434,0
-5.121309,0
0.8791604,0
-11.6497,0
1.5018945,0
-10.406372,0
-7.16756,0
3.1183913,0
-10.888739,0
-12.409528,0
-6.1576324,0
-0.3919883,0
12.862144,0
3.640862,0
-0.74393415,0
28.203306,0
11.26964,0
3.7695394,0
5.691609,0
-9.524561,0
-1.5689864,0
-10.846283,0
17.799128,0
-1.9628973,0
24.870363,0
-10.00705,0
-7.4613357,0
-14.051665,0
29.719345,0
11.923954,0
31.240028,1
34.63345,1
1.4804704,0
15.730648,0
49.9036,1
-8.6539,0
4.9415975,0
26.9136,0
34.817093,1
23.477224,0
13.7803335,0
19.641706,0
18.98483,0
36.635002,1
-9.858547,0
12.791874,0
-4.6135573,0
52.564137,1
33.916943,1
1.0807014,0
-12.319545,0
-8.575496,0
-6.65906,0
-9.480419,0
-20.724623,0
-20.398397,0
-4.425195,0
-0.85912466,0
-13.042208,0
-12.557963,0
0.8723664,0
5.5558476,0
-35.890415,0
-24.45248,0
-3.5579448,0
2.257587,0
-1.5227103,0
-15.552732,0
-21.227276,0
10.013912,0
5.0428214,0
-8.112949,0
-11.375356,0
17.359804,0
10.910679,0
-18.676615,0
9.2798195,0
-3.7125936,0
-15.124621,0
-14.78405,0
-2.3336563,0
-25.36424,0
-20.53199,0
23.899721,0
24.090067,0
-18.026997,0
11.803061,0
17.446617,0
-10.280167,0
4.7357526,0
5.611363,0
-0.22448972,0
33.73682,1
-7.0746655,0
26.461052,0
23.304052,0
2.2654629,0
10.447753,0
-19.346397,0
53.004524,1
24.953283,0
27.391357,0
17.570536,0
42.953793,1
21.27674,0
14.869722,0
7.3014855,0
42.276985,1
48.067974,1
15.811121,0
-27.683428,0
-12.013336,0
6.596767,0
-18.43957,0
-6.654842,0
12.775518,0
6.206302,0
11.866787,0
1.5959058,0
-3.905151,0
22.330301,0
-21.44777,0
-6.4720664,0
13.820587,0
-13.903324,0
-16.616966,0
6.0266347,0
8.283953,0
-1.9729972,0
2.4051747,0
-4.837093,0
55.65443,1
-2.2521033,0
19.706936,0
-3.160561,0
-23.518728,0
-35.744617,0
14.197721,0
-5.515537,0
-11.4653015,0
8.860984,0
0.014451951,0
1.8793044,0
8.866861,0
-9.859768,0
5.0311627,0
-2.607936,0
-16.69259,0
25.698372,0
36.650333,1
16.709745,0
38.50842,1
8.332016,0
24.475344,0
-3.4038053,0
-5.8848023,0
33.781643,1
11.435142,0
43.2501,1
-0.65912545,0
16.234348,0
0.61401415,0
-1.4399686,0
25.992878,0
48.684074,1
47.58061,1
23.864367,0
29.04495,0
-2.1006112,0
41.67989,1
39.66155,1
9.95223,0
6.894214,0
25.78047,0
-6.1867743,0
11.033375,0
52.976173,1
19.371544,0
40.754402,1
22.752138,0
35.63842,1
44.481968,1
5.579326,0
12.191791,0
39.89414,1
56.251717,1
21.815569,0
26.11751,0
56.453728,1
10.266143,0
27.863161,0
13.246935,0
44.064377,1
44.7643,1
34.587826,1
9.765071,0
20.402811,0
19.846859,0
8.231079,0
29.376993,0
20.916285,0
49.87905,1
29.60102,0
19.042387,0
25.583046,0
11.567841,0
5.7842984,0
34.419456,1
43.51415,1
13.557085,0
52.512875,1
34.447674,1
25.896074,0
29.136072,0
66.73394,1
56.879562,1
38.836098,1
8.225556,0
19.957344,0
3.6094427,0
3.0179186,0
10.503805,0
-2.0093513,0
30.179134,1
15.755098,0
15.610445,0
26.330824,0
7.5783267,0
0.96719885,0
15.0656,0
35.593655,1
37.2779,1
22.117037,0
11.753137,0
12.9497795,0
36.793182,1
18.270252,0
16.302185,0
-16.149403,0
20.796625,0
50.092274,1
13.803628,0
32.58923,1
35.379234,1
58.62003,1
56.36246,1
49.576397,1
32.751785,1
70.6478,1
36.38062,1
47.367077,1
57.884914,1
31.153158,1
29.34921,0
47.435154,1
37.31668,1
35.625652,1
30.306372,1
44.64828,1
39.359455,1
68.11442,1
19.680693,0
20.677065,0
12.4762,0
62.61828,1
52.944958,1
27.108473,0
12.555686,0
17.783354,0
57.59437,1
18.534334,0
-14.686068,0
21.814798,0
17.484734,0
27.966448,0
40.297123,1
-11.485076,0
23.589329,0
17.626749,0
32.553738,1
-9.694746,0
37.871246,1
12.749473,0
20.383348,0
26.021524,0
13.788952,0
43.97142,1
18.286858,0
48.67931,1
22.897772,0
17.621729,0
32.047222,1
39.899265,1
25.694794,0
21.86053,0
13.638884,0
22.058386,0
7.483091,0
17.348799,0
27.478327,0
14.139041,0
42.431904,1
44.958347,1
36.63007,1
-0.26337197,0
12.300791,0
-4.5546584,0
-3.6003838,0
25.137684,0
-3.3487096,0
-0.47305253,0
18.848007,0
10.740383,0
15.410792,0
5.9048276,0
-8.307619,0
19.249613,0
20.188026,0
65.11032,1
38.074627,1
28.876995,0
1.5059228,0
33.192383,1
-4.0081754,0
23.487696,0
-0.7865586,0
10.548183,0
-4.2123866,0
27.566618,0
7.277474,0
9.55378,0
7.611199,0
4.5688014,0
-3.72934,0
-18.421152,0
5.283338,0
11.964674,0
6.965013,0
-12.201786,0
6.8979287,0
23.014626,0
-15.85083,0
3.5018826,0
13.216473,0
19.957842,0
7.6117015,0
10.01728,0
-16.578379,0
18.603128,0
21.11981,0
4.711015,0
11.263621,0
30.530443,1
34.092716,1
10.234837,0
3.6188455,0
27.163857,0
6.4220605,0
5.56658,0
13.095911,0
-0.32313302,0
24.065336,0
26.707575,0
2.5190482,0
20.55535,0
1.8689828,0
7.80631,0
1.3232999,0
-0.8687215,0
21.551218,0
15.232328,0
17.865623,0
16.528784,0
17.185743,0
3.47358,0
11.50271,0
28.328804,0
7.8548846,0
41.521206,1
19.95458,0
17.799063,0
-6.4358773,0
-25.947878,0
-14.08848,0
7.1936927,0
-5.8877587,0
5.9772935,0
-7.467736,0
2.7995596,0
-13.447801,0
-5.770357,0
1.3837504,0
15.447671,0
17.399277,0
3.6397767,0
17.547468,0
15.527379,0
14.463613,0
3.0876565,0
5.334155,0
3.6421638,0
13.427117,0
10.275516,0
8.625355,0
39.436817,1
22.767313,0
14.642582,0
11.164142,0
26.4221,0
34.91538,1
46.34506,1
17.674505,0
36.0115,1
36.183384,1
8.381075,0
22.44978,0
10.656699,0
4.3022237,0
-1.020298,0
4.2930675,0
-0.8064399,0
6.877068,0
7.7968607,0
-2.2081246,0
33.86494,1
28.310759,0
15.72596,0
48.37151,1
39.790157,1
8.464991,0
15.00618,0
-6.1324925,0
20.760202,0
23.054325,0
12.1751795,0
-4.9219165,0
-11.89064,0
12.88363,0
16.680021,0
4.025826,0
14.749712,0
19.385704,0
21.332075,0
40.707363,1
39.777058,1
5.621018,0
41.977764,1
52.656868,1
20.960835,0
18.259039,0
13.64488,0
18.265514,0
23.55741,0
8.756872,0
-1.563024,0
8.8590555,0
25.792084,0
0.039688557,0
19.172228,0
6.487381,0
30.15,1
28.39142,0
36.374603,1
9.077234,0
37.593784,1
57.44048,1
23.30065,0
19.792925,0
10.592002,0
22.935278,0
28.69218,0
18.485514,0
35.16684,1
3.0033097,0
25.92767,0
35.910553,1
0.7146821,0
31.284487,1
22.161253,0
27.331636,0
2.9656878,0
