synergy,class
-2.4266324,0
2.253695,0
7.740935,0
-8.67973,0
-13.213153,0
28.65401,0
-23.01592,0
-11.3683405,0
29.189249,0
36.301003,1
10.934498,0
-7.5755506,0
14.571874,0
-21.292982,0
10.274523,0
-4.276489,0
13.977443,0
-26.575918,0
-21.916203,0
-4.1262965,0
-21.569899,0
10.220062,0
26.95722,0
-4.993542,0
0.21536501,0
25.164726,0
-2.1427746,0
2.2928061,0
-1.6704801,0
6.7497945,0
13.623435,0
10.417816,0
-0.03943579,0
55.03175,1
8.985071,0
-1.9033912,0
2.9919915,0
-14.641857,0
2.4081922,0
13.077047,0
7.404387,0
26.406403,0
6.193337,0
5.542175,0
36.25711,1
13.635564,0
13.1315155,0
7.790055,0
28.207575,0
31.212265,1
42.490715,1
24.87367,0
30.10013,1
66.44504,1
11.0843115,0
27.896093,0
50.152596,1
46.44115,1
51.41506,1
21.737885,0
22.459688,0
49.600662,1
11.647203,0
22.600452,0
22.00606,0
41.558357,1
23.63626,0
26.597765,0
30.422506,1
90.71017,1
18.40231,0
49.31104,1
38.994953,1
6.050099,0
12.362412,0
20.080673,0
49.521023,1
36.604393,1
25.988699,0
7.921432,0
2.0629926,0
9.0522585,0
7.6832147,0
12.58752,0
23.125639,0
22.413893,0
68.6259,1
23.253208,0
12.716695,0
32.34079,1
15.847898,0
14.220875,0
27.721783,0
35.639095,1
25.333666,0
-7.365663,0
21.91739,0
31.44509,1
36.979156,1
25.862913,0
6.4058194,0
5.6191316,0
48.91687,1
25.072071,0
38.27581,1
22.149538,0
40.145393,1
39.044483,1
15.613725,0
18.875917,0
7.5481267,0
18.158884,0
59.018883,1
65.10884,1
31.030027,1
30.061832,1
70.82097,1
15.439468,0
19.873796,0
21.915747,0
70.2865,1
18.24845,0
35.707573,1
21.916887,0
26.15176,0
29.750181,0
73.81532,1
22.420519,0
10.410071,0
59.834267,1
33.40776,1
29.492682,0
-7.260784,0
-10.140492,0
7.733047,0
36.533184,1
14.543433,0
-4.874311,0
-15.724725,0
34.807365,1
-0.21504728,0
-2.4335399,0
42.556408,1
61.287853,1
6.67405,0
-0.5847067,0
14.051261,0
30.716438,1
-10.811951,0
10.924681,0
7.237677,0
16.729895,0
2.4161115,0
-2.0548162,0
13.725869,0
65.879036,1
9.103332,0
-11.587779,0
31.717464,1
5.678922,0
-0.6942038,0
5.8774557,0
8.110358,0
-45.889496,0
8.700458,0
54.84494,1
29.944609,0
-13.666219,0
22.725283,0
25.46947,0
4.9923387,0
16.293436,0
12.840029,0
25.810408,0
101.77183,1
41.851067,1
26.621984,0
33.203156,1
11.046096,0
23.105307,0
8.688836,0
60.769363,1
12.187259,0
41.84076,1
14.491422,0
13.487517,0
33.838867,1
13.366524,0
15.008533,0
81.91569,1
51.358574,1
38.19877,1
-25.348349,0
-5.982447,0
18.83476,0
25.262274,0
-16.339827,0
-6.798597,0
22.123568,0
-8.287906,0
8.50679,0
20.792337,0
43.745243,1
2.2479234,0
13.163417,0
50.807995,1
-9.857805,0
6.8673787,0
-4.026342,0
49.676765,1
-5.5351157,0
5.269114,0
0.8411489,0
27.804691,0
-15.340184,0
22.820343,0
15.90548,0
-12.428901,0
-8.943082,0
28.088526,0
18.029625,0
-1.730306,0
-5.9696593,0
-2.6309533,0
8.347884,0
-12.228385,0
0.3879915,0
2.69551,0
5.346804,0
-15.791768,0
-7.518949,0
-2.9649806,0
28.216759,0
48.75428,1
8.759374,0
28.422064,0
12.4049635,0
21.133814,0
19.242922,0
30.441486,1
77.23482,1
18.335974,0
17.382017,0
15.402745,0
