synergy,class
16.818213,0
0.13026746,0
-1.536872,0
8.6936455,0
17.198328,0
3.3742135,0
8.653708,0
-4.955751,0
26.437452,0
12.369235,0
12.776565,0
4.705174,0
23.45238,0
5.793098,0
-10.374328,0
15.02782,0
26.749842,0
7.8059983,0
5.3019032,0
6.060724,0
-5.8360877,0
-15.547759,0
17.832838,0
1.5092014,0
21.657677,0
-0.16913097,0
-5.286805,0
5.9567666,0
8.566541,0
9.372517,0
32.465862,1
11.937126,0
3.6941297,0
22.060196,0
26.477354,0
11.611733,0
-5.2580733,0
-8.559794,0
0.6984313,0
9.81635,0
-0.31697625,0
-26.965235,0
-16.267735,0
12.697166,0
-2.6738145,0
-8.474903,0
4.1111617,0
20.691088,0
34.342896,1
13.455852,0
20.992472,0
23.713388,0
47.02827,1
39.581757,1
29.795225,0
-8.996028,0
41.489807,1
17.078941,0
-13.952184,0
32.789448,1
35.944317,1
34.138416,1
26.516035,0
0.08125432,0
35.645153,1
60.4233,1
34.204937,1
47.793427,1
26.189089,0
21.089922,0
10.711427,0
-31.421358,0
55.92406,1
13.124822,0
42.429832,1
37.89503,1
10.7672615,0
7.4136214,0
32.022778,1
4.122,0
5.498985,0
4.70501,0
9.095692,0
6.2558885,0
0.5495046,0
22.184431,0
18.803188,0
23.052141,0
20.462889,0
13.29429,0
19.197151,0
0.71819526,0
1.1069568,0
7.7999234,0
7.5840545,0
15.774402,0
17.072613,0
-0.7073466,0
-17.721605,0
13.56684,0
-10.914425,0
2.29797,0
-0.4961211,0
-17.474865,0
0.3670047,0
1.1226095,0
3.4251301,0
18.513117,0
-2.6408231,0
17.66272,0
2.405491,0
-3.8832195,0
43.705086,1
16.326399,0
21.076597,0
13.028521,0
25.731817,0
-1.9908272,0
-10.118648,0
-4.765845,0
-0.5243961,0
5.4634776,0
15.407878,0
20.630869,0
0.9865287,0
-21.400217,0
12.314689,0
-15.494864,0
5.381079,0
-0.42935246,0
-5.917423,0
2.285762,0
8.263598,0
3.1075013,0
7.7221894,0
35.148438,1
8.027278,0
4.1831355,0
7.219933,0
7.5166945,0
-2.1771562,0
-2.8485916,0
13.559477,0
21.671598,0
-38.003098,0
2.9981034,0
21.38,0
19.563665,0
-12.715855,0
-11.178277,0
-5.05936,0
18.883965,0
10.680603,0
6.939936,0
12.864443,0
-9.454736,0
14.765046,0
-3.3395298,0
-15.868743,0
16.414003,0
15.632749,0
10.983448,0
-10.556287,0
4.998385,0
14.887119,0
1.9415191,0
-1.5788189,0
-11.746632,0
23.297775,0
10.420927,0
5.0367227,0
32.65054,1
24.987429,0
1.0999092,0
35.68944,1
19.710167,0
29.211576,0
30.323776,1
9.891299,0
4.759482,0
15.9745,0
47.512398,1
31.802233,1
39.992634,1
22.518238,0
17.113043,0
-36.939583,0
8.660122,0
12.928706,0
5.543921,0
-4.759949,0
27.00667,0
-19.463755,0
-24.257269,0
-28.917131,0
-30.86035,0
-24.081335,0
-4.8069158,0
-38.71027,0
-27.732016,0
-33.689335,0
-34.913803,0
-22.46382,0
-21.706057,0
-30.409674,0
-10.150456,0
-14.6986,0
-41.436756,0
-18.851915,0
-15.1463175,0
-35.99145,0
-22.374733,0
-39.234882,0
-45.340557,0
-46.38236,0
-51.920948,0
-29.27397,0
-44.11704,0
-24.682407,0
-39.777428,0
-48.116833,0
-34.400257,0
12.425221,0
-1.3972117,0
14.53411,0
9.88029,0
-10.300182,0
12.016529,0
1.4964193,0
5.941631,0
6.658672,0
-4.953403,0
-18.718885,0
8.058501,0
23.589695,0
12.588031,0
6.7952065,0
21.189919,0
22.10447,0
10.779404,0
31.05072,1
25.2513,0
21.56737,0
8.000184,0
2.0714934,0
20.902683,0
30.188967,1
20.24938,0
-17.28399,0
7.136663,0
21.65267,0
17.848066,0
3.1634247,0
19.643301,0
28.402277,0
4.6778045,0
11.437204,0
20.987133,0
39.0822,1
27.099398,0
39.04099,1
35.293964,1
44.065113,1
44.217403,1
-4.7422185,0
-0.48416966,0
41.353844,1
41.972713,1
30.42354,1
20.50448,0
20.608229,0
-28.3469,0
17.263884,0
26.17544,0
11.300591,0
17.681435,0
37.893326,1
16.439037,0
7.5557323,0
10.118243,0
19.72169,0
32.68633,1
19.925655,0
31.7808,1
33.299175,1
33.64362,1
28.705698,0
2.393741,0
5.854099,0
31.346008,1
26.642302,0
12.956074,0
-0.92538327,0
-11.918791,0
3.2913973,0
35.629116,1
2.493564,0
1.1681846,0
20.475153,0
16.217234,0
12.323613,0
-5.034382,0
13.887444,0
-3.5740712,0
-13.858465,0
6.9306936,0
14.415321,0
3.6036599,0
21.102507,0
3.703275,0
-0.020468399,0
-4.129001,0
8.771726,0
-1.3612877,0
-25.55379,0
-12.903064,0
7.673262,0
-4.6218925,0
-12.133229,0
8.828362,0
-12.303358,0
-3.8756988,0
7.6640754,0
-21.194891,0
-22.735443,0
-5.020407,0
-11.565776,0
-9.845967,0
-5.6969132,0
13.213811,0
7.6085525,0
-7.621739,0
14.680711,0
17.394896,0
-2.8620784,0
-12.775327,0
-26.781652,0
11.356648,0
-28.934456,0
-3.6761615,0
-20.509768,0
-24.91678,0
-27.812895,0
-10.087597,0
-26.189224,0
-9.928253,0
-18.996408,0
-16.299236,0
-12.586621,0
0.875747,0
-20.066034,0
0.6830686,0
-2.383393,0
-2.2002513,0
1.8041481,0
9.891397,0
-7.1832566,0
22.853989,0
-27.72952,0
9.574111,0
-14.993419,0
14.71086,0
-20.753288,0
7.934652,0
3.7121403,0
2.9114087,0
-13.546486,0
-3.3191793,0
21.33382,0
-12.078483,0
7.959666,0
-13.104623,0
4.6436324,0
-2.94884,0
7.326774,0
9.513607,0
-17.70224,0
19.55138,0
14.517348,0
0.22167905,0
-13.076556,0
3.4600413,0
14.820485,0
2.7023318,0
-3.1378725,0
0.43703586,0
24.5444,0
11.668643,0
5.13934,0
27.608765,0
21.584803,0
2.858352,0
38.207245,1
33.884216,1
25.356562,0
19.933659,0
40.325943,1
1.9939665,0
-0.5652215,0
5.411814,0
70.226814,1
17.756918,0
43.442654,1
24.921429,0
12.500522,0
-19.134308,0
6.5449834,0
27.680294,0
1.9880804,0
-5.3710732,0
27.499807,0
2.440591,0
-1.946941,0
-4.295674,0
6.6009154,0
2.7904274,0
-14.697863,0
13.359286,0
2.3334992,0
-3.2729585,0
-13.094528,0
13.17302,0
2.6902392,0
-40.807377,0
4.1798663,0
-3.7238338,0
20.252447,0
1.7659191,0
-5.863873,0
-9.192525,0
18.87282,0
7.264422,0
5.289165,0
7.7910705,0
-6.133517,0
-4.3319135,0
-2.1115253,0
-29.672794,0
24.19598,0
4.1423516,0
-12.073821,0
8.979142,0
1.0487217,0
-6.8854384,0
-13.633318,0
8.275479,0
11.1731615,0
0.41100818,0
16.091349,0
-2.8292139,0
-8.713942,0
12.931928,0
8.738458,0
4.7045684,0
-9.304315,0
-15.481166,0
1.7451423,0
-3.0844743,0
-6.515036,0
-24.091814,0
-8.983331,0
-13.8600855,0
-1.0288731,0
12.915967,0
0.43595248,0
15.106622,0
22.284956,0
11.554604,0
23.565771,0
11.217918,0
17.521595,0
6.2941937,0
-4.3671727,0
27.838572,0
23.491316,0
-1.6944205,0
-18.744585,0
11.196678,0
1.2945522,0
5.2860723,0
-1.4432851,0
6.644283,0
9.022169,0
9.5288925,0
8.515023,0
8.074955,0
40.937557,1
12.992369,0
-1.3323323,0
-3.4488285,0
22.198257,0
15.220518,0
0.50881034,0
-17.992973,0
3.379205,0
-10.350705,0
17.790812,0
9.678696,0
37.28768,1
10.154046,0
-2.5726335,0
22.692005,0
-26.377737,0
2.698767,0
14.844746,0
20.233257,0
7.3092494,0
19.90524,0
-0.4911129,0
-22.073298,0
-7.545214,0
22.471052,0
4.665111,0
5.03949,0
19.400145,0
18.415468,0
16.54441,0
38.058598,1
9.052483,0
14.163391,0
17.7499,0
-22.48146,0
13.472066,0
34.48559,1
39.382656,1
22.90659,0
42.57874,1
3.8567708,0
9.824109,0
18.133001,0
20.268538,0
8.4095125,0
17.042551,0
32.194584,1
15.012475,0
10.567239,0
4.492311,0
16.619661,0
15.202595,0
-25.68206,0
15.264998,0
24.177774,0
40.625507,1
18.958563,0
34.798405,1
4.7836137,0
-3.5957515,0
21.397896,0
22.179384,0
3.371362,0
22.550972,0
26.671291,0
23.756975,0
28.945753,0
26.010006,0
13.898069,0
21.840973,0
22.23959,0
9.821135,0
3.5007918,0
-5.656621,0
-5.1277895,0
27.037378,0
0.50024444,0
11.839369,0
4.3286805,0
29.01982,0
11.706451,0
1.4700083,0
4.915835,0
8.32587,0
0.512893,0
12.115641,0
-5.438418,0
5.0089297,0
2.2026932,0
14.758466,0
6.2496533,0
7.363008,0
-26.925467,0
-23.231388,0
-5.1178527,0
0.104013994,0
19.530146,0
4.863977,0
6.7700887,0
8.380706,0
18.408112,0
-3.5298765,0
19.035807,0
1.4423937,0
19.184935,0
28.23382,0
11.904207,0
15.795613,0
22.109503,0
3.8075335,0
-6.6793094,0
21.235222,0
27.05733,0
9.452302,0
6.529588,0
5.410051,0
-4.246165,0
-17.075161,0
17.815676,0
1.3960613,0
21.688526,0
0.30494148,0
-5.541157,0
6.9464355,0
7.5876327,0
8.105821,0
32.028255,1
8.900629,0
1.00431,0
20.625483,0
21.70413,0
8.342164,0
-5.266976,0
-11.813495,0
0.839001,0
6.46666,0
-7.4590898,0
-18.12302,0
-13.494384,0
9.705003,0
-3.2693422,0
-10.211787,0
5.1890473,0
22.18122,0
39.997417,1
19.807896,0
23.150599,0
24.33893,0
45.83214,1
34.851086,1
26.45422,0
-5.1484656,0
38.624363,1
12.930679,0
-17.683615,0
23.966242,0
33.0097,1
29.706352,0
23.07959,0
-6.5570207,0
27.911314,0
45.3886,1
28.949133,0
39.175762,1
29.379713,0
20.485933,0
23.636375,0
-28.40351,0
58.188168,1
13.424864,0
41.729908,1
36.136906,1
14.433604,0
13.621568,0
38.752567,1
9.17087,0
13.08004,0
4.505923,0
14.593227,0
12.309037,0
8.049487,0
26.615551,0
21.261715,0
21.978605,0
15.852593,0
19.100487,0
16.976604,0
4.882494,0
-4.766289,0
7.6765866,0
0.9655536,0
11.997709,0
14.100161,0
-4.5788608,0
-24.615171,0
9.263623,0
-6.3530383,0
7.4878373,0
-5.1549115,0
-16.855684,0
4.2795596,0
6.212011,0
11.007353,0
19.65153,0
0.27786475,0
12.397567,0
7.7862544,0
2.3525822,0
27.445993,0
20.168821,0
13.394553,0
9.763221,0
11.483073,0
-2.5775669,0
-7.5365376,0
-4.436623,0
1.5180687,0
6.131002,0
17.361801,0
21.711142,0
1.5909704,0
-20.540047,0
11.097726,0
-18.006138,0
4.5518737,0
-1.676459,0
-5.797259,0
2.5173247,0
7.975262,0
2.9207242,0
3.2935975,0
34.813763,1
4.494797,0
5.11964,0
11.358071,0
