synergy,class
20.070925,0
4.5921216,0
4.9471345,0
17.245993,0
17.377197,0
34.48137,1
31.560034,1
-7.265657,0
8.507555,0
7.247261,0
15.08895,0
4.954993,0
16.322433,0
14.741264,0
4.3021846,0
11.150451,0
15.939531,0
35.223877,1
12.703932,0
5.9857373,0
17.45629,0
-16.617882,0
11.632879,0
7.515264,0
11.78169,0
12.32801,0
-29.743696,0
17.326412,0
-0.020529926,0
0.23716956,0
2.6933897,0
34.285175,1
6.0654054,0
54.58595,1
27.280924,0
5.690786,0
10.903433,0
-28.145485,0
18.66218,0
60.129147,1
34.021454,1
-36.315197,0
-17.687187,0
12.019153,0
11.198511,0
-36.5487,0
0.28723413,0
8.683539,0
39.1653,1
7.786304,0
6.878649,0
35.176662,1
28.993189,0
49.34925,1
51.24406,1
6.534594,0
25.125849,0
26.427942,0
9.050863,0
28.915598,0
25.857206,0
23.17494,0
17.566977,0
-8.0888605,0
36.77255,1
20.089048,0
84.81547,1
32.348255,1
11.879391,0
77.10437,1
67.88931,1
4.1022096,0
33.782288,1
24.003765,0
13.788296,0
26.57865,0
31.007908,1
-12.582346,0
22.73424,0
4.69647,0
-19.554768,0
0.17188865,0
4.3880897,0
-7.1928926,0
-8.950235,0
26.520231,0
-2.0472677,0
-0.7775952,0
9.98534,0
15.361143,0
-1.0089777,0
-6.4988837,0
-6.6441426,0
-6.9068823,0
24.536232,0
4.192763,0
-9.349371,0
27.08345,0
-40.195705,0
10.241599,0
-11.137991,0
-0.35478085,0
-37.82224,0
-58.945072,0
21.311605,0
6.04965,0
18.181639,0
4.8609138,0
19.423054,0
7.2315536,0
26.23714,0
25.006655,0
22.89682,0
29.169624,0
24.963467,0
14.467453,0
20.19512,0
11.732401,0
18.652374,0
29.03101,0
12.256887,0
46.600643,1
27.245905,0
19.41835,0
39.149593,1
13.48945,0
-11.706363,0
21.10609,0
-39.841423,0
45.20737,1
-5.550014,0
11.400963,0
20.385828,0
16.302555,0
-8.931784,0
16.538958,0
-16.376083,0
2.199917,0
30.898846,1
25.325136,0
18.404308,0
9.860064,0
33.80917,1
20.862955,0
-18.823814,0
19.920687,0
4.997908,0
6.9505124,0
-2.758642,0
-12.272192,0
8.61146,0
-14.457592,0
55.84646,1
13.716932,0
9.98815,0
20.509192,0
59.757282,1
8.932631,0
