synergy,class
2.2346613,0
-0.79258513,0
-11.679866,0
14.694228,0
-1.3117044,0
1.6484497,0
-55.389835,0
-6.731975,0
16.75896,0
-10.79096,0
-3.6422632,0
5.9336305,0
20.980345,0
-24.153566,0
-9.337151,0
-9.740043,0
19.37571,0
-46.187443,0
2.1943343,0
-4.460424,0
-25.332388,0
-22.321892,0
1.9228709,0
-9.501013,0
-40.707653,0
-9.133123,0
5.1277423,0
-7.4498434,0
-6.5125885,0
-3.9580534,0
9.62133,0
-12.079054,0
0.99499726,0
-9.910507,0
-15.792261,0
6.48708,0
-18.710703,0
-26.505703,0
-2.0775506,0
-22.38225,0
-21.859573,0
-15.754423,0
-11.744345,0
-54.45375,0
13.555565,0
21.97506,0
-16.154926,0
1.2200272,0
21.475792,0
11.549417,0
12.294825,0
6.603212,0
14.630827,0
21.977192,0
22.384989,0
24.603254,0
35.345657,1
31.324612,1
-9.67944,0
14.483442,0
16.773006,0
27.998772,0
9.72462,0
-8.164522,0
7.6268067,0
31.88602,1
17.546566,0
26.33913,0
17.350044,0
8.155659,0
24.952852,0
12.009221,0
38.372692,1
4.1049557,0
3.8243897,0
22.819296,0
37.942535,1
24.836033,0
-0.25774357,0
-11.583926,0
-27.62275,0
14.9680195,0
7.3240857,0
-36.52444,0
-23.043873,0
5.9794154,0
-17.91547,0
-7.709842,0
0.01132229,0
-17.062574,0
-28.394234,0
-28.622576,0
-12.660612,0
11.57511,0
-19.387812,0
14.672333,0
13.078979,0
-2.467223,0
-45.977913,0
-2.8249347,0
-21.411854,0
-36.19876,0
-31.17849,0
-25.906046,0
6.8753104,0
1.31024,0
-11.635547,0
3.3059657,0
3.2298748,0
-7.015568,0
-40.81883,0
0.58786035,0
-42.531307,0
-44.669582,0
-18.266869,0
2.5397341,0
-28.866732,0
-17.94647,0
-38.672123,0
-9.2525215,0
22.79829,0
-34.06728,0
25.157806,0
-2.0383213,0
-30.80865,0
-22.369614,0
-50.98985,0
1.2102902,0
-86.51443,0
-7.533096,0
3.8058255,0
-4.9652734,0
-28.283125,0
-11.558291,0
-16.390902,0
31.986765,1
-13.784393,0
-2.8947556,0
13.13724,0
-32.04018,0
-65.526665,0
-7.807304,0
19.152891,0
0.6207011,0
-60.498775,0
-31.122944,0
12.50169,0
8.144677,0
-37.42624,0
-48.469048,0
-57.34507,0
22.255753,0
-49.1198,0
0.5386641,0
-30.170845,0
-34.908745,0
-33.932976,0
-23.319927,0
-35.279625,0
-0.9566028,0
-4.4984555,0
-34.924477,0
-16.353277,0
-77.62403,0
-1.8340223,0
-12.246164,0
20.247631,0
-25.761497,0
14.345495,0
-1.8349226,0
21.864586,0
10.601248,0
6.0375495,0
39.01733,1
37.632156,1
5.023975,0
17.310574,0
19.30452,0
6.0466256,0
-16.584757,0
-13.042341,0
46.23379,1
-4.1039505,0
19.558348,0
11.089532,0
-5.9502788,0
3.67363,0
-1.5556872,0
-44.514957,0
34.022255,1
32.14366,1
22.080744,0
-55.953033,0
-50.290268,0
-32.791683,0
-46.716137,0
-54.47393,0
-26.170912,0
-44.323654,0
-90.94354,0
-22.486717,0
-20.949467,0
-55.366665,0
-70.59853,0
-20.10553,0
-20.331192,0
-41.339954,0
-54.484165,0
-42.56801,0
-31.993599,0
-72.4829,0
-24.8685,0
-64.16808,0
-42.96423,0
-62.37962,0
-41.8439,0
-43.184963,0
-46.60268,0
-117.871414,0
-32.453587,0
-22.916466,0
-42.785156,0
8.873066,0
-0.26259968,0
-1.0337055,0
-15.96517,0
22.056164,0
-8.249508,0
-18.52474,0
-5.7816424,0
-15.747399,0
-18.181843,0
24.8507,0
33.855877,1
22.917423,0
-15.097754,0
18.181477,0
27.835634,0
9.5870075,0
39.145695,1
31.659206,1
-8.103249,0
22.250824,0
12.054227,0
-46.551956,0
20.143528,0
11.028902,0
3.8925345,0
15.083791,0
7.7922883,0
-32.561417,0
49.212425,1
51.131847,1
-10.828897,0
14.618414,0
21.343987,0
-12.643185,0
20.131887,0
-5.5974784,0
18.094833,0
10.145739,0
4.760967,0
22.550049,0
26.415422,0
-10.159926,0
-23.855625,0
13.514437,0
-1.2278125,0
22.030369,0
10.918999,0
13.610875,0
3.0711482,0
-1.2816494,0
0.9209101,0
30.866241,1
39.141262,1
-4.203982,0
-2.7106063,0
9.035288,0
3.5298276,0
13.5173645,0
-29.165327,0
14.0932,0
22.520649,0
-6.692368,0
14.337818,0
18.512074,0
-1.4280622,0
-11.8591175,0
-18.397213,0
-25.559105,0
3.9319918,0
-15.3285055,0
-5.790671,0
-10.304677,0
-19.752289,0
14.468425,0
31.330435,1
4.1499944,0
0.913543,0
-13.398877,0
0.17969546,0
-5.1676993,0
-44.99547,0
-17.039885,0
-46.975513,0
-30.481018,0
0.07562879,0
3.6660082,0
-10.107213,0
-37.082073,0
-24.774769,0
-42.96489,0
-36.087692,0
-29.288969,0
-14.65541,0
-82.09884,0
-5.780926,0
-4.0536933,0
-13.115363,0
-43.183807,0
-15.293643,0
-10.36164,0
-29.329147,0
-62.040943,0
-15.88587,0
-20.946564,0
-38.832745,0
-12.127457,0
8.652607,0
-27.603916,0
-32.143677,0
12.838117,0
20.459557,0
-17.132338,0
-21.807732,0
-24.90908,0
-3.6645925,0
-39.132214,0
-18.120588,0
-41.957783,0
-33.74902,0
-16.902077,0
-6.9001565,0
-17.406305,0
-66.462166,0
-17.599047,0
-13.96122,0
-27.021872,0
-2.3557813,0
-12.498981,0
-0.21747085,0
21.345074,0
-31.411104,0
3.6529977,0
-11.047966,0
-31.565943,0
-56.23975,0
0.8965981,0
-11.077917,0
0.35736874,0
-19.552574,0
-65.63689,0
-3.3540723,0
4.3057513,0
-12.593693,0
-54.25501,0
-45.011227,0
-29.74026,0
17.704803,0
-56.06408,0
-3.9143503,0
-26.944973,0
-39.44739,0
-26.56081,0
-22.674454,0
-34.882748,0
-1.2993629,0
-0.15114138,0
-14.412592,0
-8.363685,0
-82.51658,0
-4.951711,0
-10.980837,0
17.023434,0
-27.429592,0
-11.737923,0
-21.859825,0
1.7955916,0
6.4166007,0
-20.271214,0
17.1698,0
23.576027,0
23.28139,0
-17.591991,0
4.6324105,0
32.623287,1
-29.472597,0
-27.6463,0
-15.103779,0
37.908604,1
