synergy,class
12.018642,0
113.732994,1
-3.9632268,0
-11.164006,0
11.393232,0
-2.0187325,0
-9.6512375,0
13.028177,0
-17.776329,0
0.92649424,0
-4.2212205,0
47.25227,1
-36.552258,0
-32.989983,0
2.8274837,0
-1.8185428,0
-23.39279,0
8.527152,0
-6.820414,0
53.01787,1
-7.1495595,0
-22.870625,0
-10.416111,0
-9.5830345,0
-35.365643,0
38.40317,1
8.337406,0
-4.7264524,0
-32.109104,0
23.465631,0
94.732475,1
-67.17078,0
99.25761,1
12.642796,0
-16.448677,0
32.248604,1
-18.48327,0
14.350353,0
32.44862,1
-3.8848577,0
-14.327301,0
9.076054,0
-0.297974,0
-25.478989,0
4.4658866,0
-4.0516686,0
9.897833,0
-2.2347755,0
1.5522267,0
-36.40854,0
-51.452118,0
2.0009341,0
-26.902601,0
37.02794,1
31.914213,1
-13.747475,0
18.34572,0
-32.3466,0
-32.798508,0
2.3056407,0
-41.296875,0
-34.695213,0
-11.151146,0
-8.2348,0
2.0882783,0
34.758705,1
-10.948326,0
13.915118,0
19.94931,0
25.181234,0
-47.39419,0
-36.93001,0
2.8466926,0
0.09772837,0
-5.664454,0
29.500069,0
-23.626966,0
38.8541,1
-42.5602,0
-26.166605,0
16.79206,0
-37.718876,0
49.60487,1
49.78564,1
-19.980728,0
7.0007405,0
-19.252825,0
20.266167,0
-25.84006,0
6.825209,0
42.751163,1
-0.06616247,0
13.2160225,0
-5.9438777,0
-76.98551,0
-42.399036,0
-9.085423,0
-14.260979,0
-34.253956,0
-16.563286,0
7.8422904,0
-17.040783,0
-1.6997875,0
19.077484,0
3.565433,0
150.74718,1
17.151207,0
20.611298,0
-17.697922,0
-29.26286,0
-6.903176,0
-36.983513,0
-2.6682172,0
-3.5313096,0
8.831417,0
21.976696,0
-11.821844,0
15.764631,0
2.2454977,0
-46.93094,0
51.21608,1
-53.643665,0
-19.577442,0
35.367565,1
23.840235,0
-11.109398,0
3.0600123,0
0.9021722,0
-29.364017,0
-14.153467,0
-7.5152993,0
-8.770689,0
-30.198536,0
6.660158,0
-15.74272,0
-11.0592575,0
-18.851803,0
6.834869,0
-26.408827,0
114.37328,1
11.964458,0
-9.113244,0
-28.250334,0
-40.58916,0
-15.234783,0
13.94611,0
-33.973587,0
23.194609,0
11.789707,0
30.762508,1
1.0343081,0
34.34405,1
122.33226,1
113.9925,1
-29.335312,0
18.081741,0
19.379593,0
-29.64713,0
5.4763694,0
7.1180453,0
21.393002,0
2.7033362,0
3.0597534,0
-6.833195,0
-7.1841564,0
9.914737,0
96.55407,1
3.5846577,0
24.524769,0
9.027472,0
-44.312473,0
-15.546164,0
1.6444432,0
33.50289,1
-45.386097,0
23.896292,0
18.956097,0
16.31519,0
-5.0167813,0
8.024773,0
-34.402298,0
7.766664,0
23.591625,0
61.64323,1
12.101311,0
27.433697,0
91.099106,1
-15.250988,0
-77.3384,0
38.50703,1
46.93968,1
12.847424,0
26.379272,0
-34.81823,0
-32.07435,0
6.205631,0
39.264133,1
-11.867115,0
-10.887373,0
-9.582418,0
-8.590069,0
12.510317,0
-3.6854877,0
31.393852,1
-24.031796,0
23.964643,0
-12.681568,0
-43.096035,0
-47.189808,0
-2.4403586,0
23.061853,0
-36.58583,0
-19.123621,0
-29.868694,0
-21.060581,0
5.62657,0
41.34931,1
-22.73056,0
-21.327316,0
-39.79335,0
0.031566262,0
0.90097535,0
15.645287,0
25.671131,0
-18.501595,0
-52.944195,0
28.93342,0
40.770206,1
13.418964,0
-11.800821,0
3.4856286,0
30.634308,1
-80.66506,0
-1.47691,0
12.002001,0
10.613903,0
-4.32832,0
-3.9838958,0
3.6535354,0
5.6271243,0
-30.602654,0
12.743679,0
-18.460878,0
17.048492,0
19.450943,0
13.375492,0
-8.281906,0
-23.681448,0
-9.329117,0
14.108235,0
-28.858719,0
16.642048,0
-0.954327,0
94.07502,1
27.770279,0
47.10652,1
4.6382823,0
-13.229939,0
-26.808529,0
17.456781,0
-6.0193353,0
7.615417,0
25.393581,0
17.880692,0
32.20455,1
-20.683907,0
32.45087,1
13.33423,0
-55.54732,0
110.807106,1
3.634704,0
-9.245502,0
18.617485,0
13.117321,0
-50.610752,0
27.245525,0
5.977081,0
-7.0615916,0
20.49635,0
-6.788914,0
5.502321,0
15.516827,0
-39.852573,0
2.7139354,0
-21.034996,0
-2.970902,0
24.953665,0
1.2959491,0
-11.66884,0
-25.387331,0
-19.47499,0
10.789082,0
1.5591179,0
57.362457,1
