synergy,class
7.3815937,0
-4.457739,0
-0.89053506,0
30.184465,1
76.580505,1
-25.589098,0
11.289906,0
-0.43768162,0
35.5113,1
7.1286707,0
27.624096,0
-17.085016,0
1.2829661,0
-15.5235195,0
-22.331999,0
-25.658941,0
0.67210585,0
-8.784428,0
6.6351333,0
6.5871487,0
2.5547771,0
-23.616192,0
-2.998293,0
-1.9558144,0
-8.193115,0
-1.1468372,0
3.6981392,0
-5.8416634,0
-25.68334,0
3.7180328,0
15.504654,0
11.960836,0
-26.288305,0
-9.701851,0
-0.39929384,0
16.970175,0
52.273594,1
15.943752,0
21.012041,0
5.393859,0
-3.5503836,0
1.2890615,0
9.754506,0
12.934707,0
-7.6856174,0
-4.81555,0
-4.7432814,0
12.737755,0
-16.61957,0
-10.403878,0
-3.0775604,0
-8.759298,0
11.860804,0
11.530214,0
17.949482,0
26.646696,0
2.4063587,0
19.620808,0
-57.443542,0
52.38688,1
5.8816457,0
9.654458,0
-15.836878,0
-0.08749193,0
-1.9563694,0
-20.925077,0
-0.14706415,0
-16.966093,0
17.708277,0
-0.7892398,0
-15.816824,0
5.5436516,0
5.649555,0
7.967098,0
67.86369,1
-3.1319904,0
-3.882977,0
-2.9722362,0
-56.93113,0
-15.637798,0
-54.43876,0
-8.285372,0
6.002305,0
-20.116838,0
-7.3860655,0
-22.656736,0
-0.093060434,0
-0.009539068,0
6.0198407,0
-12.349941,0
15.992992,0
-4.780985,0
-12.433149,0
-21.114769,0
3.9393034,0
2.1877413,0
-8.560407,0
-4.6011524,0
-19.33111,0
13.386006,0
6.7432785,0
14.0575485,0
-10.88784,0
10.203515,0
8.648092,0
3.2760687,0
-29.964878,0
-5.620086,0
-4.044428,0
-18.197405,0
31.00876,1
5.7635756,0
24.248503,0
-7.170539,0
-23.801035,0
-4.32049,0
7.356937,0
-12.750924,0
-3.6584597,0
-5.8652935,0
16.310724,0
-35.36656,0
9.134594,0
-5.110697,0
6.2130737,0
6.971327,0
-29.120487,0
-0.4733619,0
-27.678427,0
19.754091,0
24.276583,0
-11.752453,0
-12.631554,0
14.546603,0
1.3432667,0
-9.0260515,0
-3.580764,0
-16.397406,0
-15.240929,0
17.309944,0
3.916503,0
5.597423,0
-14.863494,0
-12.31752,0
15.709959,0
-7.4384747,0
-38.539642,0
9.430222,0
-6.7948337,0
11.614534,0
-24.626394,0
55.562157,1
-14.419782,0
-4.994734,0
-1.3972912,0
-2.001186,0
-3.34514,0
-6.5503044,0
-10.037995,0
-22.643114,0
7.1585636,0
7.1096745,0
-14.293368,0
-5.6625156,0
-5.2142963,0
18.69486,0
10.408065,0
6.7614636,0
-9.3340225,0
60.322926,1
11.548656,0
25.274672,0
3.4615736,0
8.272808,0
-7.169592,0
7.650837,0
5.9168587,0
-6.9913235,0
-1.6178617,0
11.591885,0
-20.085732,0
11.276706,0
3.9630432,0
16.7084,0
31.61305,1
-9.617139,0
3.9903479,0
-46.102108,0
-5.7071095,0
19.366854,0
16.79181,0
2.942275,0
5.902424,0
18.532598,0
-13.386473,0
-9.187536,0
1.1052895,0
-11.617986,0
-18.965113,0
9.883695,0
1.9209085,0
13.905046,0
-10.411608,0
-0.8145675,0
13.083754,0
3.4335775,0
4.184042,0
1.6038427,0
-10.575531,0
-1.832797,0
9.376416,0
10.70827,0
9.569594,0
0.86716086,0
0.85679346,0
2.189978,0
8.0818815,0
-2.4177227,0
-13.357875,0
-9.726719,0
12.113251,0
28.528673,0
-8.300048,0
-20.906805,0
-4.660225,0
-2.4606962,0
-19.269464,0
20.483015,0
-9.262938,0
5.715393,0
-29.704311,0
76.587204,1
9.988203,0
-3.2203674,0
3.8432941,0
-6.799355,0
-1.7682629,0
47.828266,1
2.4555264,0
78.08121,1
15.932898,0
32.776512,1
-2.2154236,0
-12.391935,0
-10.856097,0
12.184506,0
16.564419,0
10.459164,0
1.1046576,0
-9.802301,0
5.975835,0
-5.379926,0
10.251715,0
-20.00288,0
11.849519,0
15.986264,0
-3.5024757,0
0.5324908,0
-22.127144,0
0.55163294,0
-19.963781,0
10.250934,0
70.6371,1
-25.34453,0
13.817367,0
12.814038,0
-2.2465954,0
6.2767315,0
-17.133272,0
-28.593378,0
-7.07514,0
9.983442,0
1.483984,0
0.3081246,0
1.3221884,0
-3.490602,0
-15.771746,0
-2.948906,0
31.693369,1
-7.7339153,0
14.107459,0
-7.9271336,0
3.3313055,0
8.290487,0
-11.752916,0
-17.471611,0
8.938836,0
9.164685,0
1.4188232,0
-2.1318636,0
-0.16361135,0
16.300184,0
-11.877415,0
8.037758,0
1.2853012,0
93.11064,1
-9.858462,0
21.147808,0
-11.961536,0
-0.42488474,0
2.1573544,0
4.797352,0
2.4440675,0
79.40509,1
11.07922,0
-10.686304,0
8.7065525,0
-3.0837517,0
-16.55826,0
2.2934723,0
-12.258945,0
18.34677,0
18.083834,0
-5.2555065,0
16.671213,0
-7.9423456,0
-27.642092,0
49.638054,1
2.2628593,0
6.7080765,0
16.086435,0
4.0317235,0
7.7585897,0
-8.79722,0
-0.1159758,0
-14.914267,0
-14.426191,0
-14.866692,0
5.012867,0
-3.7659025,0
29.904287,0
-28.997698,0
-19.822603,0
-0.5720534,0
3.0035896,0
2.8418865,0
-12.406813,0
7.57444,0
0.27785498,0
-7.6664257,0
0.05739981,0
27.09407,0
-32.997353,0
-11.778381,0
8.454889,0
-15.453506,0
-5.0563564,0
5.441733,0
-2.0661888,0
-24.38946,0
-13.246974,0
4.626031,0
3.7054348,0
-13.822994,0
0.35185057,0
12.907463,0
20.428175,0
9.011559,0
-1.0433798,0
17.504303,0
25.201874,0
-4.8255086,0
-21.967579,0
13.042959,0
-1.2092724,0
-21.03418,0
4.21389,0
14.9105625,0
-7.804863,0
-18.441183,0
-5.163226,0
-1.2005234,0
-5.8367424,0
-0.9417543,0
8.083989,0
15.7196865,0
-5.56984,0
3.341837,0
16.616755,0
-11.902216,0
-6.224123,0
15.675444,0
6.3290157,0
-2.5108585,0
17.493948,0
-0.31017488,0
4.9708223,0
-25.225538,0
2.5101051,0
8.658692,0
71.92972,1
-3.2904,0
16.886377,0
-10.161131,0
25.932417,0
19.932682,0
13.0594015,0
-3.2560673,0
5.9729795,0
-10.810919,0
7.799287,0
8.14341,0
8.509417,0
-8.417118,0
78.96692,1
3.4824927,0
8.215826,0
2.0602798,0
75.50652,1
-14.962353,0
8.380499,0
2.3953676,0
-17.725298,0
28.669298,0
-3.3802538,0
1.5763016,0
-1.6764679,0
3.8340683,0
-14.168008,0
10.606462,0
-0.19660848,0
5.803755,0
-24.43067,0
8.245088,0
-3.967836,0
70.01384,1
18.00994,0
-11.257744,0
-12.047985,0
10.70726,0
22.251642,0
-7.0620623,0
-5.5609484,0
-12.643924,0
-19.464323,0
-26.378424,0
10.192777,0
-17.019579,0
-19.43688,0
1.1132889,0
-2.868269,0
-20.817015,0
-27.112265,0
-4.6826305,0
-13.497848,0
-12.54392,0
7.1588326,0
-2.7541885,0
44.973022,1
1.2990055,0
-29.527262,0
9.644564,0
4.10429,0
3.7522993,0
11.929845,0
-7.6586623,0
2.0161266,0
-15.807337,0
0.6242648,0
14.807393,0
-4.9752064,0
12.787906,0
-4.147933,0
-4.9730487,0
8.885698,0
5.0066576,0
1.1919861,0
-34.37686,0
-13.687007,0
-0.05534166,0
-3.62469,0
9.465744,0
1.0304852,0
3.1642246,0
-7.7347317,0
15.326052,0
4.5374575,0
0.22393042,0
-14.769034,0
1.7068586,0
-6.9202747,0
17.65864,0
-4.207075,0
-20.146793,0
14.159379,0
8.732693,0
17.434496,0
0.49903303,0
11.379093,0
-17.303816,0
-7.7240524,0
-17.229174,0
-35.860825,0
2.1073208,0
25.879795,0
17.708076,0
11.380932,0
28.916098,0
25.506817,0
-0.115323484,0
37.13446,1
14.062826,0
12.936965,0
57.52704,1
-2.961008,0
-11.9630785,0
1.6477108,0
14.664453,0
7.039647,0
-37.93508,0
-13.4908905,0
14.226386,0
11.356103,0
-27.432735,0
-11.355252,0
20.286554,0
-0.70031923,0
10.530889,0
-10.2913265,0
1.0151467,0
21.275482,0
5.700843,0
-56.72129,0
-4.309828,0
62.10401,1
40.219803,1
-10.7090645,0
-24.144308,0
-10.844444,0
-7.9726887,0
-28.044767,0
7.8692837,0
-3.3929548,0
-9.612644,0
-13.452059,0
7.307266,0
9.397121,0
7.199682,0
-12.662021,0
6.05021,0
10.450015,0
26.512545,0
5.527828,0
-23.607897,0
-1.5031681,0
5.1358767,0
13.035294,0
-8.767651,0
-2.919177,0
11.248647,0
51.923767,1
-43.611702,0
21.37363,0
-9.437582,0
32.6988,1
-17.621773,0
-20.310202,0
-1.2712688,0
9.549278,0
12.209644,0
21.85163,0
-10.491756,0
17.812178,0
-11.016786,0
10.52898,0
-0.38707823,0
2.8959665,0
-10.108588,0
0.5233765,0
-6.011648,0
4.417568,0
-21.594908,0
-29.818745,0
15.867343,0
-2.9499664,0
0.1734963,0
11.130545,0
-19.442423,0
-15.442594,0
-4.1601124,0
-28.320532,0
-17.001268,0
-47.643734,0
-2.9178476,0
-6.702713,0
-2.7708807,0
7.8241777,0
9.179163,0
-20.422264,0
7.749855,0
-0.7288622,0
-8.6954775,0
5.9057612,0
-3.2833848,0
-17.007082,0
8.731753,0
11.586939,0
-43.28687,0
-0.062040746,0
7.054246,0
-21.242521,0
-13.075701,0
-29.82443,0
-0.11607736,0
12.207297,0
-6.345749,0
-3.8562632,0
8.409853,0
4.3058424,0
-13.657675,0
-11.050043,0
-55.37978,0
-6.9698625,0
63.022778,1
15.13716,0
-2.120285,0
-43.67443,0
9.631416,0
-4.08333,0
17.46937,0
-10.679647,0
6.6878633,0
-0.7509751,0
9.90983,0
12.403517,0
16.036959,0
