synergy,class
6.7902327,0
-34.52641,0
38.755157,1
-2.5092752,0
18.372772,0
0.6006257,0
-0.8779338,0
15.915593,0
-7.1545935,0
-6.476095,0
16.837381,0
-17.771038,0
12.1088705,0
-12.145728,0
-6.8021197,0
33.514168,1
-4.2482605,0
0.18079966,0
21.961378,0
38.284035,1
-33.51053,0
-4.1044016,0
23.342932,0
10.624201,0
11.19638,0
-7.6891584,0
10.636014,0
28.098473,0
5.517217,0
5.8485956,0
-1.5644486,0
5.0288887,0
-35.180584,0
10.238259,0
15.707664,0
7.894826,0
71.08334,1
26.425714,0
-0.9351583,0
1.7454438,0
-22.430899,0
-2.5167282,0
-8.078191,0
-9.38454,0
4.0459394,0
9.45007,0
-0.96757966,0
5.100402,0
-17.167578,0
52.97561,1
14.695933,0
-19.600546,0
1.8787043,0
3.0836442,0
11.20465,0
3.7902253,0
9.119527,0
15.774985,0
2.2067397,0
-7.074154,0
2.7176516,0
4.839965,0
-2.5377853,0
11.173494,0
-10.816375,0
-4.337887,0
7.3272815,0
1.15817,0
-4.6228104,0
20.834093,0
6.685349,0
-9.231704,0
36.434933,1
-21.662477,0
2.4243944,0
20.261621,0
-7.3441963,0
-29.556433,0
4.847124,0
-10.951096,0
11.280356,0
-4.857991,0
10.038999,0
-8.160392,0
19.53393,0
15.524699,0
7.055328,0
21.473661,0
13.129737,0
0.08739585,0
-0.63715297,0
4.3415937,0
4.508337,0
-17.561108,0
3.097328,0
-21.109852,0
20.225065,0
9.775516,0
-1.8711562,0
33.16154,1
-23.030535,0
-7.3271627,0
7.652611,0
-18.173422,0
36.516277,1
3.96359,0
1.0326045,0
-4.3195744,0
-8.009497,0
-4.5871773,0
-24.430178,0
10.404273,0
16.796947,0
8.724568,0
-6.723978,0
-9.685822,0
17.001976,0
25.819715,0
3.432855,0
4.4862585,0
-20.593267,0
3.6776993,0
7.2966433,0
-9.715987,0
-11.103032,0
32.92681,1
18.721972,0
-13.694548,0
-0.99994165,0
-30.435427,0
11.605561,0
10.800803,0
-17.023792,0
0.03431624,0
-12.648981,0
7.098791,0
-1.0781257,0
-24.222897,0
34.534454,1
22.582767,0
-2.291724,0
22.062452,0
13.957511,0
-17.173454,0
-12.028634,0
-5.0434556,0
17.936323,0
-0.66054565,0
-1.793309,0
11.606643,0
0.6623966,0
4.8506775,0
11.787175,0
20.297096,0
54.181187,1
-5.9358835,0
3.6688921,0
37.950264,1
3.3604844,0
11.395949,0
28.801247,0
9.121388,0
15.13448,0
12.783378,0
16.152462,0
42.34683,1
-5.75723,0
11.906448,0
28.016722,0
-6.284625,0
2.610778,0
9.5963335,0
26.41173,0
-7.848609,0
-10.086318,0
-31.063145,0
-29.16921,0
62.553665,1
-6.362548,0
-24.998194,0
43.84425,1
17.405348,0
15.441161,0
3.5346959,0
2.7437246,0
10.634372,0
-33.44364,0
18.659325,0
8.102762,0
-4.0734696,0
25.989187,0
-11.387405,0
22.964499,0
-4.0435495,0
9.906765,0
1.7060454,0
-4.5371327,0
25.902193,0
5.7141824,0
-36.7543,0
6.6546435,0
3.2846005,0
3.2680285,0
3.427266,0
3.4029515,0
-3.2849166,0
-19.255354,0
-0.91098386,0
-8.605159,0
23.998014,0
20.18044,0
12.432325,0
2.312935,0
29.097761,0
15.475001,0
19.823404,0
3.6612332,0
-3.6999278,0
-3.124913,0
9.231929,0
8.237874,0
35.10208,1
-6.232293,0
12.921174,0
10.935054,0
12.733999,0
4.3034067,0
-8.487167,0
-2.614144,0
1.0764191,0
7.051137,0
-0.77890855,0
19.966484,0
8.034849,0
-14.57849,0
-8.359092,0
13.00779,0
-9.817224,0
-10.475801,0
6.8020163,0
-3.8255699,0
-9.4077635,0
3.7783687,0
11.892383,0
-4.8952327,0
-5.181239,0
5.25323,0
20.370022,0
-9.743888,0
91.618454,1
-2.662564,0
23.61945,0
2.5807145,0
-14.47178,0
-3.5799758,0
-6.83767,0
15.209189,0
-0.56744653,0
-7.248169,0
13.844144,0
-5.950171,0
-17.225994,0
-7.835081,0
-6.4315248,0
4.213803,0
13.816527,0
5.9758735,0
7.364879,0
17.48977,0
9.371051,0
8.718076,0
22.176924,0
-1.3177269,0
-36.3658,0
-49.267567,0
28.121546,0
17.400751,0
9.002804,0
4.928769,0
25.093653,0
33.100216,1
-5.305956,0
-3.4936955,0
14.332908,0
9.005094,0
24.628363,0
5.639592,0
15.770539,0
16.80919,0
17.449997,0
22.602442,0
6.2753325,0
-9.740094,0
12.565724,0
-7.387634,0
0.113476455,0
4.6869974,0
-1.7745607,0
-3.2067382,0
-11.574527,0
-29.557177,0
10.467769,0
19.16764,0
4.2915916,0
-5.2402983,0
-10.249045,0
13.156472,0
17.357006,0
-0.84671,0
25.799974,0
96.49055,1
27.93927,0
33.578346,1
-35.197018,0
18.790144,0
-4.5976305,0
29.79502,0
7.194913,0
-1.9550116,0
-3.7952507,0
13.010783,0
-36.958466,0
29.77574,0
69.08613,1
11.389619,0
34.854435,1
-4.7763486,0
21.874817,0
-3.3646295,0
13.69685,0
34.868813,1
8.418134,0
-6.4928274,0
-8.9314785,0
-4.983815,0
19.260403,0
32.831234,1
14.511182,0
6.8687024,0
-11.4256525,0
-6.5872145,0
3.0080922,0
7.0943003,0
-16.81706,0
11.163845,0
15.734771,0
4.0019274,0
2.435634,0
13.818925,0
4.249853,0
0.09633225,0
24.614569,0
-0.99842435,0
2.4744408,0
-14.367493,0
10.64025,0
13.6044,0
6.566357,0
-2.5647852,0
6.155979,0
29.054365,0
34.073112,1
6.67829,0
20.445623,0
8.308495,0
7.3384333,0
-2.6945865,0
-6.9706087,0
-17.841251,0
-8.334021,0
-7.232806,0
3.7828102,0
14.112142,0
-8.707219,0
5.1609373,0
-8.948419,0
23.572416,0
40.732864,1
3.0568821,0
-0.5803574,0
20.4155,0
-1.7236488,0
-2.1083229,0
29.166725,0
14.137506,0
-1.5493152,0
-15.318697,0
-25.907911,0
7.8754683,0
-7.1553583,0
42.039406,1
0.26798218,0
81.733315,1
-9.04358,0
-2.422547,0
13.465663,0
-5.6801367,0
-1.6275027,0
-17.865808,0
-7.836116,0
7.1980124,0
32.97062,1
-2.6979215,0
-15.71886,0
-8.116314,0
11.972629,0
4.4798965,0
10.98109,0
-12.903045,0
21.225306,0
7.7565947,0
-12.72137,0
-2.3186243,0
27.697489,0
-2.26628,0
-0.65977556,0
23.898262,0
-3.157006,0
17.175428,0
-4.808174,0
0.8556797,0
7.477061,0
-5.274701,0
5.835641,0
28.581709,0
7.9512625,0
-0.6428612,0
24.674635,0
9.74592,0
-24.060442,0
-33.080223,0
15.015948,0
-6.1190596,0
20.648777,0
28.974962,0
-14.460213,0
4.651408,0
-1.3240504,0
1.1351368,0
3.8161356,0
9.094655,0
-18.913982,0
3.4899886,0
-15.577554,0
-12.402181,0
14.90492,0
-31.120848,0
-13.821947,0
0.29184842,0
-3.1126373,0
16.748693,0
0.8363468,0
37.734276,1
-6.577737,0
0.71381634,0
-0.5961097,0
-30.364246,0
2.8170102,0
-8.595334,0
13.184611,0
