synergy,class
-5.024321,0
18.345114,0
9.737529,0
-3.0528197,0
-3.4954233,0
-8.870898,0
11.525109,0
0.66690207,0
3.4792666,0
5.585258,0
128.28256,1
-5.0946155,0
-39.15883,0
-32.553078,0
27.060343,0
58.66107,1
3.5640588,0
71.26949,1
1.1799083,0
41.050026,1
104.38757,1
1.9838586,0
2.2147708,0
-20.493622,0
10.69505,0
1.0650997,0
31.945951,1
15.717116,0
127.56555,1
-11.219993,0
57.96036,1
33.987724,1
-7.586626,0
15.111173,0
14.7668295,0
-25.088825,0
-3.581819,0
19.267168,0
-23.713188,0
15.511692,0
64.26831,1
-1.3502393,0
20.18772,0
-1.2253156,0
19.978788,0
-49.530453,0
118.34941,1
37.259605,1
-5.7781997,0
4.158991,0
-8.351541,0
0.45114088,0
0.6197972,0
-9.281099,0
-2.287828,0
81.76966,1
-24.162474,0
48.178295,1
-14.619153,0
2.9444919,0
74.927376,1
0.89755106,0
18.529018,0
35.093086,1
-18.040619,0
94.574066,1
22.00812,0
-3.52817,0
6.9923577,0
21.32747,0
4.7838492,0
11.191775,0
-40.91162,0
0.0724244,0
-8.057889,0
-7.1995244,0
21.448097,0
21.924212,0
0.4000039,0
6.3905644,0
-28.52078,0
1.884274,0
7.322741,0
-1.2360711,0
-15.272088,0
107.98189,1
10.024867,0
24.246826,0
-7.093365,0
60.425682,1
0.32297373,0
0.27821302,0
13.394769,0
17.447908,0
1.3914809,0
24.49745,0
-22.510918,0
-7.1073403,0
-6.0343966,0
-15.132749,0
-14.8853445,0
-0.30243158,0
72.346054,1
-26.625486,0
7.720579,0
5.315414,0
-8.571318,0
1.087635,0
-9.559535,0
-30.215046,0
1.2879214,0
-52.243294,0
-33.70977,0
-10.43764,0
-3.5571613,0
-7.6530967,0
12.648715,0
6.7994514,0
41.272984,1
-14.058052,0
-0.924418,0
5.756141,0
33.51159,1
7.223129,0
-2.1000447,0
2.7538142,0
33.309624,1
-5.9224606,0
-20.55365,0
14.951844,0
5.4897485,0
6.587487,0
39.284126,1
-10.598753,0
77.76683,1
-33.537537,0
10.2961035,0
32.67247,1
20.924732,0
-0.6807618,0
18.426252,0
-20.908974,0
-12.649564,0
-13.172734,0
3.94099,0
-4.532892,0
-2.4481807,0
-2.18076,0
7.5833545,0
86.48647,1
21.436214,0
30.926865,1
-4.898895,0
-9.909947,0
30.053413,1
-37.074066,0
-4.7113357,0
-32.888206,0
-21.296959,0
-31.187675,0
1.4284091,0
45.875343,1
3.148666,0
-6.4509263,0
-79.88714,0
25.09217,0
-5.440394,0
16.222351,0
-4.714232,0
126.8978,1
19.387272,0
12.200778,0
11.720418,0
53.998123,1
-5.9840164,0
10.057834,0
-3.7879052,0
29.67773,0
98.53393,1
-33.018906,0
7.8148556,0
4.4887614,0
31.889088,1
-2.2721257,0
12.176602,0
-22.451038,0
50.94146,1
-6.719277,0
-10.56835,0
3.9160438,0
7.329351,0
-0.4464879,0
17.758905,0
2.3686147,0
-19.6982,0
5.490747,0
-44.915554,0
-1.7028813,0
-5.0372663,0
64.01822,1
5.3814216,0
10.387115,0
88.50352,1
7.5744414,0
-3.7198644,0
22.234324,0
-8.002226,0
16.645607,0
0.4337306,0
11.002517,0
50.99823,1
13.726047,0
14.296609,0
-4.1370625,0
-1.5364509,0
-5.426088,0
30.917309,1
10.21945,0
40.321033,1
9.052638,0
6.6281314,0
22.742645,0
20.097918,0
-1.8416533,0
28.356447,0
21.52845,0
41.04312,1
28.386381,0
-15.470937,0
1.1733832,0
19.075737,0
-14.648969,0
-18.14054,0
-8.884345,0
9.277465,0
10.407966,0
