synergy,class
11.703008,0
3.4185858,0
-5.4263296,0
21.94172,0
-4.0089636,0
7.511058,0
39.134876,1
-3.9466186,0
7.6511717,0
7.0163174,0
7.565959,0
24.392673,0
19.062347,0
10.751355,0
5.9230957,0
9.206315,0
-1.8272238,0
6.605804,0
6.4411783,0
4.6631384,0
11.353194,0
8.191042,0
-44.441746,0
19.789383,0
1.4442635,0
-15.949319,0
-6.7546954,0
-6.652089,0
-16.493309,0
0.7362499,0
-3.9588327,0
-4.3221784,0
-18.529646,0
4.115754,0
10.475335,0
-24.56934,0
15.401834,0
9.920238,0
11.321191,0
-10.8948765,0
5.1630497,0
0.34033394,0
-3.5014515,0
1.7634807,0
34.996895,1
-2.5033102,0
19.182377,0
35.745365,1
8.24793,0
15.483247,0
16.95603,0
7.474962,0
2.9938073,0
-38.883526,0
-7.739364,0
34.220615,1
14.460689,0
-12.49862,0
10.606264,0
-7.5019827,0
-9.752487,0
10.334049,0
14.025251,0
26.676842,0
6.306611,0
-7.052364,0
18.739569,0
27.495817,0
-8.5292845,0
-50.02802,0
-6.671462,0
-3.573182,0
-3.988738,0
-30.099077,0
18.889925,0
-20.593796,0
3.868054,0
-7.3264885,0
-2.246028,0
-24.856022,0
-4.3856955,0
14.806943,0
9.947961,0
3.1462374,0
-14.5436735,0
2.8345442,0
-14.267032,0
2.6375647,0
-16.493654,0
8.256203,0
-0.6109805,0
4.6343985,0
3.254508,0
-2.7573962,0
-13.904126,0
-28.147175,0
-27.469969,0
-15.1584425,0
-9.24064,0
-10.440128,0
9.489785,0
12.810472,0
-14.564419,0
-7.249057,0
-0.6300039,0
-15.374867,0
4.714366,0
20.586088,0
-44.043114,0
-14.643164,0
5.2538557,0
9.610541,0
-0.8792434,0
25.453205,0
-1.6246719,0
-3.7758536,0
-2.9812365,0
-27.67077,0
0.48954582,0
9.519338,0
10.932355,0
19.232943,0
30.09775,1
9.79644,0
-2.0157552,0
3.4922876,0
-24.057322,0
-0.5785513,0
19.60875,0
-8.424901,0
4.2046385,0
-14.284441,0
-29.411728,0
24.725471,0
18.373016,0
15.169829,0
-0.93876743,0
5.4916325,0
9.972481,0
-11.2909775,0
1.3369727,0
-21.21551,0
-6.5432568,0
-23.896103,0
-6.901707,0
5.133834,0
9.774142,0
-22.881676,0
0.7244463,0
5.313615,0
18.611158,0
-8.772358,0
21.201902,0
23.432558,0
-13.30659,0
-14.022618,0
-16.228783,0
-7.5122156,0
24.350311,0
2.8851538,0
-1.1883421,0
-12.279258,0
-0.17388152,0
-14.867305,0
12.984975,0
4.6911116,0
-40.71371,0
19.009972,0
19.068132,0
-2.8116837,0
-17.069084,0
-11.7191515,0
11.168782,0
-1.3675184,0
13.913811,0
-1.8426733,0
-12.838733,0
-2.8319902,0
1.1919117,0
1.4247541,0
-8.077072,0
-8.705422,0
-2.5144444,0
-7.4807315,0
20.620813,0
0.85690403,0
-31.512453,0
8.77992,0
-0.32785988,0
5.560501,0
2.9401932,0
13.070988,0
-22.995083,0
12.728477,0
2.7145796,0
5.1939077,0
-3.1276712,0
-5.8279905,0
30.89936,1
-13.923335,0
13.191521,0
-3.1162596,0
-17.398794,0
-11.466724,0
21.989782,0
0.54695797,0
-24.20898,0
-23.095127,0
13.935519,0
-32.039963,0
-32.76663,0
8.333863,0
17.808994,0
11.7359,0
-46.231197,0
-31.552069,0
23.911919,0
9.444499,0
-4.9758444,0
-1.2712641,0
15.748234,0
-12.577161,0
-4.0823584,0
0.46124172,0
16.53877,0
-15.01972,0
-14.154025,0
14.887106,0
5.049449,0
39.10717,1
-9.35184,0
-31.51294,0
-9.155439,0
1.0669932,0
4.737051,0
-0.13543986,0
-14.704244,0
12.702407,0
16.639736,0
-4.841831,0
10.511891,0
5.7930603,0
16.56573,0
-25.976465,0
21.271217,0
5.3827295,0
17.958563,0
-34.598396,0
-8.387073,0
0.8484554,0
-10.078349,0
5.3167086,0
15.548476,0
15.701097,0
0.013108268,0
-2.9828749,0
-5.364627,0
-10.767455,0
-30.954355,0
7.556362,0
23.283016,0
14.646626,0
-19.175621,0
27.29361,0
0.16076757,0
4.341796,0
-13.590184,0
14.297574,0
1.0626559,0
-22.811377,0
3.3216486,0
11.271222,0
10.868276,0
-5.068471,0
39.12333,1
-45.143948,0
-19.354803,0
2.451888,0
-5.682251,0
-8.588666,0
10.845619,0
-20.170565,0
-6.537949,0
16.54096,0
-15.957482,0
-4.3276415,0
14.148754,0
-2.7493963,0
5.013572,0
0.73053455,0
-29.119913,0
-28.881674,0
-3.132862,0
12.015225,0
9.25154,0
18.471388,0
8.749698,0
-10.614049,0
68.72972,1
-1.9869308,0
-21.073393,0
39.18742,1
1.9949942,0
-18.993496,0
-1.0965652,0
-2.176571,0
-4.129484,0
-3.5080004,0
-8.341734,0
-10.004912,0
9.626065,0
-2.1036701,0
4.6536646,0
12.43543,0
-5.749449,0
7.9409285,0
-3.205574,0
9.444507,0
33.824734,1
2.6479826,0
-19.915363,0
-2.491269,0
14.658635,0
-9.43852,0
-0.67899895,0
10.77131,0
-2.02316,0
19.707165,0
28.422272,0
-14.77068,0
10.760306,0
1.2443337,0
3.1938972,0
18.611944,0
12.080118,0
2.5218325,0
23.904802,0
-20.288115,0
-4.507264,0
-28.0594,0
3.602643,0
-12.5511675,0
7.2171555,0
5.1862464,0
1.1729136,0
54.100014,1
23.665894,0
-9.929647,0
14.104838,0
0.03926088,0
5.8976555,0
-18.066723,0
-8.203282,0
-28.040543,0
-35.931965,0
-9.651628,0
3.3275294,0
-19.003632,0
14.03898,0
-20.991827,0
-25.512106,0
14.711964,0
13.62331,0
25.025734,0
0.56896114,0
-1.4827166,0
-33.273937,0
2.9363022,0
-0.700634,0
10.749977,0
26.603443,0
22.691853,0
20.068287,0
16.976837,0
23.117893,0
-5.932988,0
-11.702075,0
-14.843965,0
0.19504072,0
-47.41128,0
-6.2192335,0
14.886392,0
0.37262058,0
12.829495,0
12.048397,0
-3.5142393,0
41.114162,1
8.406516,0
25.986986,0
8.542447,0
1.7639627,0
24.727684,0
22.990076,0
1.3752599,0
5.232336,0
-48.752472,0
14.332415,0
-4.8174715,0
19.015423,0
-5.634118,0
-3.267416,0
8.441461,0
-8.285909,0
41.02822,1
5.553986,0
-18.004038,0
-9.137605,0
-0.48146915,0
15.943137,0
-7.681923,0
6.395052,0
34.26045,1
25.186306,0
4.703479,0
-3.5333738,0
10.91215,0
6.751994,0
-43.13149,0
-16.872202,0
-0.9553633,0
-8.75064,0
-7.552311,0
7.7981777,0
6.283791,0
-7.3112936,0
-7.069336,0
3.4292755,0
17.915157,0
12.891515,0
-14.353317,0
10.696305,0
-7.7690434,0
41.16856,1
-41.755863,0
4.4905357,0
-27.951073,0
1.774085,0
-0.0045289844,0
4.816601,0
