synergy,class
36.56771,1
10.345158,0
17.721869,0
8.4654045,0
-7.297419,0
58.199776,1
42.342445,1
-5.4260783,0
13.505004,0
5.2195,0
56.592186,1
-10.734543,0
30.663408,1
1.2197098,0
6.4941545,0
-6.909534,0
18.686426,0
-1.1991459,0
22.156654,0
27.275457,0
-2.886911,0
16.104115,0
5.825685,0
12.500355,0
2.802424,0
10.993671,0
-2.72936,0
29.748964,0
52.12316,1
45.59435,1
-11.535976,0
-5.322623,0
6.1056323,0
19.681133,0
-12.002838,0
-13.993089,0
1.4699672,0
11.907056,0
13.220549,0
27.123842,0
5.1612277,0
30.10803,1
1.8819965,0
22.956999,0
-9.113155,0
-3.6918294,0
1.4057201,0
2.7531104,0
10.270308,0
-10.8686285,0
-1.1672064,0
-14.972707,0
26.311304,0
-13.420014,0
18.877045,0
0.36565962,0
7.311135,0
4.27739,0
-12.841313,0
22.038857,0
5.9972653,0
31.914587,1
67.437935,1
4.253966,0
27.001791,0
16.059542,0
12.528591,0
2.9654183,0
1.7001003,0
-5.450749,0
32.667553,1
-2.6730924,0
3.2195706,0
18.06882,0
-7.252605,0
11.125282,0
10.808439,0
31.01825,1
5.019192,0
8.422762,0
3.4940152,0
8.356705,0
8.412019,0
51.53314,1
0.71819913,0
39.4973,1
0.5038465,0
-3.391214,0
43.33308,1
25.015583,0
28.697035,0
13.868393,0
43.937695,1
6.200812,0
0.5141548,0
4.4523606,0
29.664047,0
-3.2897735,0
-1.80469,0
-28.321974,0
7.642035,0
1.6205105,0
40.18825,1
-4.094906,0
3.586698,0
3.8650374,0
32.492542,1
25.305634,0
15.468605,0
-4.009806,0
8.717819,0
11.818294,0
-0.59332144,0
21.06109,0
52.06336,1
-25.617052,0
22.739439,0
9.399376,0
15.456063,0
-12.271551,0
3.7352223,0
17.442402,0
45.05413,1
11.79674,0
8.73713,0
66.335785,1
40.998066,1
19.051031,0
-18.110725,0
3.1228795,0
-0.1488348,0
7.284551,0
15.490962,0
23.662542,0
13.409788,0
7.999804,0
5.0176272,0
6.707175,0
15.401125,0
-1.0411674,0
20.614122,0
3.3439956,0
15.835836,0
21.392477,0
-16.721384,0
13.830064,0
-9.461675,0
1.0344023,0
23.17891,0
9.11805,0
30.300982,1
14.143177,0
56.026752,1
-2.557056,0
23.851849,0
14.59495,0
-3.764851,0
15.664341,0
-4.9051967,0
-0.059577562,0
14.757744,0
41.749687,1
10.368755,0
16.479616,0
7.1773114,0
9.306957,0
0.5275787,0
37.47494,1
38.606922,1
5.9913754,0
8.715676,0
13.524649,0
10.05504,0
12.7132015,0
-13.056243,0
-4.011207,0
2.6301312,0
-1.7886511,0
41.694843,1
51.06872,1
-27.261139,0
33.44176,1
-6.3336806,0
9.7888775,0
9.868919,0
-6.3280864,0
-1.7165715,0
17.78549,0
9.168842,0
9.173491,0
1.2891468,0
0.2794203,0
48.562317,1
17.348429,0
-1.3550402,0
28.371508,0
21.83551,0
15.786179,0
3.9283414,0
-4.674319,0
37.17523,1
-11.575922,0
7.314166,0
19.70751,0
49.192265,1
15.26217,0
9.023947,0
45.071766,1
-6.423945,0
4.08464,0
-12.32428,0
16.603548,0
8.116468,0
15.228939,0
-5.867333,0
14.871304,0
-12.284284,0
15.47092,0
37.954674,1
-0.21866855,0
-12.244871,0
26.718208,0
-2.9626212,0
2.0433087,0
3.7955213,0
5.3584037,0
25.726791,0
14.47505,0
17.13286,0
31.756517,1
28.2171,0
-0.33913955,0
2.7223406,0
8.722445,0
19.969276,0
23.288425,0
-4.164945,0
-5.5468497,0
19.896914,0
-3.1996598,0
-4.6028256,0
-12.580643,0
5.137566,0
-2.4304023,0
-19.191244,0
42.832,1
50.014927,1
-9.723789,0
5.7278695,0
-24.26991,0
-3.0494876,0
-5.074968,0
44.46773,1
3.8624444,0
22.147009,0
7.8481774,0
17.749975,0
16.68896,0
11.151478,0
59.25864,1
6.196207,0
-7.8059278,0
13.132416,0
28.58889,0
2.096396,0
26.319843,0
14.2377205,0
-20.732714,0
10.220582,0
3.3537831,0
34.68,1
14.907599,0
53.311687,1
27.354507,0
1.4011062,0
14.985256,0
19.504034,0
7.0432916,0
19.949047,0
-3.6166825,0
7.0595956,0
8.301503,0
-6.7467084,0
29.77133,0
27.879356,0
-3.470899,0
10.585795,0
9.67186,0
-6.7276177,0
-16.467882,0
-9.682687,0
18.368505,0
-15.043797,0
-3.9367976,0
13.546881,0
12.083179,0
4.0937066,0
8.123181,0
-16.981638,0
22.496843,0
-12.013901,0
24.424723,0
36.898285,1
-7.236626,0
64.420616,1
1.6684736,0
-9.818188,0
1.5197319,0
19.802456,0
4.3596044,0
-5.4745193,0
5.378268,0
1.0789922,0
14.9314575,0
-5.3319726,0
10.702209,0
-0.8074528,0
0.5045742,0
7.5073,0
-4.747027,0
1.7104667,0
8.31289,0
3.1987324,0
-4.5181594,0
49.52933,1
6.7328973,0
8.878182,0
31.36053,1
-24.718967,0
22.81592,0
14.70265,0
0.52021444,0
8.924307,0
1.758803,0
-8.588009,0
6.4064803,0
41.60931,1
-0.6560646,0
7.7694745,0
-15.257727,0
1.9470695,0
-11.811412,0
17.196875,0
9.519857,0
-6.297189,0
27.616901,0
11.184799,0
65.66849,1
13.494375,0
13.074112,0
-12.53798,0
7.551429,0
15.409278,0
5.8866935,0
13.5182,0
-14.094471,0
-5.971779,0
12.683206,0
29.858349,0
14.102949,0
46.02956,1
9.181732,0
17.378666,0
13.3664055,0
4.808845,0
58.233025,1
36.014084,1
56.349113,1
-6.520704,0
50.088516,1
3.7742677,0
1.1367,0
17.336403,0
29.107807,0
3.8570747,0
18.19771,0
1.7124761,0
-21.557209,0
-2.1714668,0
29.379368,0
-27.261147,0
-14.11993,0
39.233593,1
11.798695,0
-3.08818,0
33.87788,1
37.786617,1
36.487953,1
-10.677012,0
1.938074,0
22.801147,0
7.4675717,0
2.9836926,0
-3.5175128,0
2.709043,0
-9.239908,0
42.089275,1
60.088413,1
14.398397,0
19.060236,0
-7.6835265,0
-10.484929,0
-14.23498,0
18.838203,0
29.756079,0
43.859653,1
34.756557,1
28.40236,0
9.932766,0
30.857311,1
74.437355,1
-5.315807,0
19.6248,0
89.64159,1
4.9708657,0
8.55854,0
-9.5634365,0
15.623695,0
41.252857,1
56.905117,1
-3.9688373,0
15.046306,0
22.072096,0
5.0177083,0
16.711037,0
-29.039484,0
3.354958,0
-4.2605453,0
20.867695,0
27.717594,0
5.492808,0
1.9482874,0
43.027973,1
5.7296567,0
55.0464,1
22.04101,0
-5.2366986,0
3.6652741,0
4.7177625,0
-3.5820346,0
8.802095,0
28.970499,0
48.48644,1
5.7388215,0
29.059267,0
52.80879,1
5.929458,0
3.1998658,0
18.044085,0
14.583218,0
16.342783,0
-4.019301,0
32.068638,1
0.07586517,0
-6.9926133,0
-2.9998899,0
-3.9614234,0
13.815763,0
30.954184,1
15.966707,0
0.7963904,0
35.010155,1
20.562159,0
0.43223324,0
3.404078,0
26.120453,0
19.228907,0
33.13397,1
13.894586,0
17.695324,0
-11.537877,0
1.7489399,0
3.8370967,0
57.665348,1
52.997482,1
3.4937253,0
13.161237,0
8.885242,0
21.45742,0
5.1719785,0
25.572,0
-1.8220726,0
32.841904,1
39.251183,1
14.351561,0
30.049475,1
7.9436765,0
81.52262,1
27.612425,0
27.528683,0
-4.8626323,0
2.9173799,0
3.1106706,0
32.635796,1
-0.32951126,0
-20.36688,0
59.38196,1
16.208094,0
5.1557927,0
22.277498,0
53.198803,1
-0.8516604,0
4.9985714,0
29.19203,0
37.081287,1
49.645435,1
-2.1203895,0
29.960073,0
17.183155,0
19.473482,0
-2.1825242,0
-0.8667809,0
13.5470295,0
12.497951,0
-7.412907,0
-0.8719498,0
-3.5068955,0
35.419994,1
16.801523,0
1.8904537,0
4.2144322,0
26.546764,0
7.2868752,0
15.025887,0
24.015144,0
23.810001,0
22.112057,0
-1.8364598,0
29.458738,0
25.285275,0
4.440644,0
41.180683,1
8.838855,0
13.066437,0
8.3145275,0
47.078823,1
1.9788507,0
-2.037395,0
9.770211,0
26.363054,0
35.29983,1
7.2552266,0
45.881638,1
4.4161363,0
-16.749514,0
20.486591,0
9.686446,0
-0.98724234,0
-13.547704,0
3.4784608,0
8.5105915,0
-12.038525,0
49.749043,1
-0.39511546,0
-14.1743145,0
0.1485447,0
3.2628846,0
45.0893,1
9.185012,0
24.021336,0
37.696697,1
17.323975,0
-10.455381,0
1.4121836,0
63.621147,1
-6.0267873,0
32.120136,1
62.23423,1
1.6013345,0
-0.2981678,0
36.18188,1
16.022581,0
-6.2820773,0
5.3562922,0
-29.32121,0
-4.423242,0
0.04058399,0
-13.05567,0
2.7426991,0
0.18625489,0
-4.3101745,0
-2.5238442,0
14.603449,0
-7.7227273,0
55.84126,1
14.265068,0
14.9759865,0
11.785408,0
25.824133,0
-6.7977996,0
-6.730375,0
33.114414,1
-5.603747,0
36.734154,1
16.86891,0
13.784466,0
5.165893,0
20.505693,0
-0.972674,0
9.997759,0
25.533857,0
-15.943628,0
-10.438829,0
21.696796,0
1.404425,0
12.199918,0
28.848948,0
2.5002828,0
-3.2022605,0
12.788187,0
23.690119,0
14.134764,0
23.925686,0
64.409904,1
14.407385,0
16.51828,0
10.185099,0
14.673789,0
14.3379135,0
14.926962,0
-2.3425078,0
27.842325,0
39.67273,1
6.471252,0
-2.2910743,0
-11.290571,0
5.0270734,0
7.9963813,0
23.78168,0
2.8145823,0
-16.914951,0
-11.158408,0
-24.510672,0
15.3180065,0
9.161382,0
36.66021,1
21.572254,0
-24.424263,0
19.31883,0
5.9773245,0
7.179106,0
3.5867443,0
15.148743,0
30.282299,1
-9.767563,0
26.900698,0
2.9026976,0
40.21947,1
17.888138,0
5.6031723,0
1.2300133,0
51.93091,1
-4.6879287,0
7.217912,0
-1.4338146,0
31.51895,1
26.392677,0
-11.261122,0
6.2244353,0
9.4834385,0
39.42912,1
10.173677,0
4.264647,0
11.620173,0
0.6391815,0
22.792202,0
10.352818,0
8.920042,0
1.3441337,0
48.19238,1
-8.124231,0
-12.26683,0
3.9950833,0
26.467552,0
-1.1330715,0
-15.74393,0
9.334729,0
10.219277,0
-0.40282306,0
-9.62048,0
-2.8208346,0
11.021091,0
11.584501,0
9.604435,0
43.037453,1
-3.5374255,0
-12.149725,0
17.164106,0
16.757975,0
15.798136,0
52.444874,1
3.6794744,0
16.845945,0
30.21647,1
39.120605,1
36.090878,1
23.420576,0
17.016743,0
-5.831178,0
13.711777,0
8.985422,0
11.445578,0
-17.747263,0
-0.8978659,0
11.988071,0
6.756533,0
-4.543323,0
-5.491276,0
42.97168,1
13.368433,0
1.0558714,0
1.8942045,0
22.644981,0
8.118871,0
12.442467,0
7.814387,0
27.961758,0
0.4700121,0
-12.246202,0
-11.293968,0
13.56918,0
-6.103766,0
-10.972973,0
-3.384234,0
-1.0037171,0
19.499771,0
13.490919,0
9.883186,0
9.1411915,0
-0.031263925,0
64.72514,1
11.115381,0
33.9551,1
-9.731884,0
13.475991,0
-6.475965,0
29.901747,0
-2.09228,0
29.583336,0
7.4455295,0
20.552122,0
4.368082,0
-6.107099,0
1.3174127,0
5.1745496,0
7.51333,0
25.131433,0
-30.974768,0
31.207579,1
33.268665,1
36.292015,1
26.111586,0
6.782479,0
-11.866478,0
8.979346,0
16.143702,0
-0.4774395,0
0.9310669,0
55.68767,1
5.661635,0
19.957405,0
3.6288733,0
6.0909877,0
-6.910417,0
12.14699,0
4.193826,0
6.762317,0
22.720474,0
-1.6164337,0
22.708595,0
-8.12418,0
16.543283,0
40.468952,1
5.080699,0
23.50456,0
14.612778,0
15.9247055,0
22.61794,0
-0.06690369,0
-11.225147,0
0.15797177,0
55.30909,1
-4.8292727,0
10.250952,0
10.349325,0
4.435146,0
63.465015,1
24.52083,0
-9.523599,0
37.119816,1
31.583069,1
-9.381806,0
-2.6226287,0
27.208511,0
-15.656416,0
-0.19105014,0
37.600647,1
15.396685,0
23.294083,0
-8.37461,0
4.3077226,0
-2.8010516,0
-1.6961685,0
-2.0998015,0
48.506683,1
14.366768,0
-14.473708,0
19.76244,0
5.518199,0
-8.87929,0
10.01622,0
12.562786,0
44.0831,1
-6.5047746,0
27.310783,0
-11.325214,0
-4.6238256,0
34.73776,1
6.9171453,0
-6.2653365,0
0.11907806,0
1.5771526,0
-5.8376384,0
0.35159722,0
20.560753,0
3.4595952,0
-6.7798495,0
55.488434,1
-6.8390813,0
15.5753765,0
3.6291928,0
5.4454684,0
19.832972,0
-6.46204,0
-17.911371,0
10.7665415,0
17.194254,0
23.850134,0
9.055052,0
9.099536,0
-5.961427,0
-3.678378,0
18.476257,0
25.90999,0
42.22284,1
19.124683,0
33.430725,1
4.118262,0
4.969258,0
1.1500763,0
-22.685263,0
3.1392941,0
12.124243,0
3.90032,0
9.720535,0
-18.917097,0
24.273588,0
-3.6339593,0
-2.0810094,0
11.225725,0
55.471203,1
3.9268355,0
-3.2228332,0
9.571085,0
-2.614534,0
17.327406,0
7.924336,0
38.76707,1
-7.8736644,0
15.991575,0
2.1009274,0
-1.031551,0
9.277975,0
25.047602,0
44.649906,1
17.383015,0
6.0444636,0
27.339352,0
10.112206,0
-1.8167769,0
20.405638,0
5.4160247,0
-5.6628833,0
4.8116517,0
3.889007,0
-33.92347,0
22.56664,0
-4.3925653,0
-5.3066115,0
-4.1523185,0
2.020966,0
-14.64074,0
-5.584061,0
20.650986,0
7.7017226,0
2.0621161,0
3.8547616,0
-4.052768,0
53.17809,1
21.846184,0
31.322426,1
5.3906827,0
-6.944535,0
0.7150167,0
37.599186,1
41.407543,1
18.448473,0
-5.4650226,0
16.133165,0
15.850185,0
3.5056653,0
8.063406,0
-10.746187,0
-14.362732,0
1.4331192,0
10.417185,0
28.264793,0
-4.9682183,0
12.177261,0
9.082846,0
22.561695,0
58.493595,1
-9.7394,0
-1.0489765,0
1.6798986,0
17.039843,0
1.1708301,0
-7.4709725,0
-5.7057934,0
52.021797,1
8.993263,0
-6.632549,0
21.42831,0
43.881344,1
41.122845,1
7.6121573,0
59.56381,1
17.716703,0
12.986767,0
4.176289,0
-19.302816,0
-12.970167,0
24.598112,0
34.297817,1
17.927513,0
-8.603969,0
59.16915,1
-6.7861466,0
-14.226469,0
44.671387,1
13.262217,0
57.45404,1
-6.0657353,0
-26.30183,0
45.625668,1
35.158787,1
2.8048563,0
15.486746,0
23.91384,0
10.858482,0
-2.1051497,0
1.0363363,0
4.544543,0
24.856363,0
10.592661,0
14.692415,0
15.521863,0
1.4800762,0
-19.50569,0
-1.3519808,0
-16.855171,0
-17.526468,0
20.44199,0
10.871845,0
9.470402,0
24.988037,0
29.243467,0
24.401066,0
0.06257095,0
4.025311,0
18.699404,0
8.5208845,0
-2.627255,0
0.25937787,0
-20.25065,0
53.348858,1
-5.887316,0
23.935488,0
16.792933,0
-10.681715,0
13.908899,0
11.72657,0
7.785668,0
9.426294,0
4.93467,0
-3.3109717,0
21.522058,0
10.79862,0
-2.7879539,0
21.299723,0
-0.56668055,0
13.172974,0
3.2235417,0
7.689532,0
4.672568,0
-6.891129,0
-5.869769,0
9.897843,0
20.841898,0
8.581423,0
2.3535428,0
2.964129,0
2.1228633,0
17.031694,0
-13.356921,0
16.868809,0
10.505318,0
-4.05413,0
8.443624,0
24.400633,0
8.663376,0
52.237446,1
-29.13634,0
4.5387864,0
3.7352204,0
15.447191,0
9.182995,0
13.298668,0
5.1640553,0
27.770678,0
16.531042,0
10.549507,0
49.596745,1
-6.4917283,0
1.5434707,0
-1.104963,0
25.295317,0
9.709341,0
2.116715,0
-16.53572,0
-13.761223,0
30.976706,1
72.279976,1
13.06829,0
20.219456,0
-0.4502569,0
-5.5894184,0
0.1954712,0
5.714195,0
17.843836,0
22.191914,0
-6.984615,0
34.604355,1
16.766891,0
4.9871907,0
8.100411,0
-8.527727,0
21.797928,0
9.498276,0
-13.831451,0
6.966848,0
12.627026,0
14.761479,0
17.63767,0
9.292869,0
5.742294,0
10.331246,0
-19.792974,0
-3.6892056,0
32.733063,1
14.456267,0
36.177753,1
5.837603,0
6.463081,0
6.423905,0
-13.627607,0
15.227983,0
48.212296,1
68.19075,1
-6.513292,0
9.318886,0
44.352367,1
-0.9149672,0
32.583157,1
25.43058,0
-4.435963,0
-6.757055,0
0.8525442,0
35.603985,1
25.829456,0
15.516926,0
-5.193418,0
23.85181,0
-0.47000417,0
15.574368,0
31.185976,1
-2.1721625,0
-5.097465,0
41.698727,1
16.591978,0
2.8143735,0
-10.775787,0
-11.752321,0
33.97792,1
-4.072417,0
3.119575,0
18.978567,0
24.271013,0
7.0711427,0
46.00033,1
-8.067677,0
10.496526,0
25.110601,0
25.571224,0
12.12714,0
-10.398538,0
-8.754109,0
-12.7696495,0
6.262923,0
61.011974,1
38.549534,1
11.469551,0
-0.20753154,0
18.719584,0
30.019056,1
26.46624,0
-4.3270116,0
6.154946,0
-1.0459667,0
-6.4382124,0
-11.231164,0
-2.1083665,0
18.916258,0
54.306934,1
-1.3956949,0
7.1780725,0
8.471981,0
29.209158,0
-17.847773,0
30.915556,1
-7.9164805,0
-6.6794057,0
-13.055635,0
29.383291,0
-2.3437667,0
22.254286,0
8.870246,0
6.131043,0
36.60186,1
-5.2113595,0
7.291125,0
-9.013692,0
7.8983445,0
4.4980264,0
7.8830266,0
14.847745,0
50.04161,1
44.0096,1
2.514649,0
-0.44358215,0
17.283363,0
26.595661,0
9.82314,0
16.110964,0
15.564989,0
16.142456,0
-15.292391,0
-10.341548,0
58.292286,1
19.725733,0
9.653379,0
18.10637,0
1.887379,0
22.088854,0
2.5887074,0
-2.6218987,0
19.037912,0
-6.0202727,0
12.871057,0
43.430153,1
34.899727,1
25.969734,0
10.463627,0
23.086449,0
-5.8830304,0
23.806,0
-13.467621,0
20.482477,0
40.208122,1
13.933687,0
-0.6147629,0
-3.9063582,0
59.436787,1
15.340884,0
6.86358,0
11.656422,0
-1.6732622,0
22.95769,0
0.82605016,0
8.402078,0
13.417308,0
-3.0877976,0
15.550932,0
5.9781117,0
3.8054204,0
-5.0854053,0
16.518217,0
42.129917,1
-2.6321883,0
-2.822657,0
53.623203,1
76.096214,1
-5.7525506,0
-3.4523768,0
-7.633327,0
5.036492,0
-8.619195,0
43.927586,1
3.1104937,0
16.645641,0
8.072714,0
12.872546,0
64.503265,1
-26.165487,0
3.311729,0
19.998116,0
8.904983,0
13.919662,0
37.26411,1
11.602261,0
30.57187,1
8.39385,0
9.202768,0
25.681032,0
13.234774,0
-10.517209,0
23.587185,0
29.28224,0
-4.6217856,0
14.899481,0
10.463959,0
-14.158695,0
-22.73747,0
10.721052,0
15.271244,0
5.6468463,0
3.8591256,0
-3.5051208,0
18.855848,0
6.766918,0
7.667065,0
-17.74383,0
10.307114,0
30.515162,1
4.3016205,0
62.24542,1
28.328556,0
-5.6758866,0
-0.75949347,0
-5.1307406,0
40.201,1
61.279556,1
27.459604,0
21.84822,0
-3.531427,0
4.0058427,0
5.7094865,0
5.7504134,0
-3.8485742,0
8.236593,0
13.381077,0
16.58359,0
-3.315093,0
17.711908,0
-4.11486,0
55.032772,1
70.39882,1
4.7793508,0
2.42491,0
15.103998,0
7.8800216,0
36.24869,1
61.821938,1
6.155007,0
17.638605,0
23.871792,0
11.428127,0
-8.148943,0
2.936687,0
-13.044374,0
18.085596,0
-0.828529,0
-22.85448,0
45.365788,1
-2.7689033,0
12.903947,0
19.556038,0
5.6364856,0
12.66049,0
3.8449655,0
24.264565,0
12.221247,0
9.929083,0
9.790672,0
0.09546318,0
13.32908,0
6.869808,0
31.758032,1
51.098286,1
-32.457436,0
9.157141,0
-3.8494506,0
23.70861,0
11.448455,0
-2.332933,0
-2.9980865,0
-6.0725203,0
33.589466,1
63.88477,1
