synergy,class
-3.6857467,0
19.242676,0
10.358186,0
-8.5289755,0
3.2982564,0
68.751,1
-35.804398,0
5.515574,0
-8.757586,0
-9.343671,0
58.315598,1
-2.3262515,0
-46.502724,0
2.9325433,0
4.468698,0
-38.50736,0
18.647348,0
43.84301,1
13.027295,0
-12.024453,0
-12.199136,0
-14.614643,0
2.4135842,0
-40.024612,0
-4.8422494,0
53.522934,1
15.937423,0
46.514095,1
-11.889618,0
-11.278655,0
-39.182594,0
77.09181,1
0.22519356,0
16.784122,0
39.60293,1
-9.268927,0
0.13596398,0
-5.218142,0
-12.339803,0
45.93042,1
-5.9270587,0
-6.884561,0
30.237011,1
-14.366718,0
-19.471947,0
115.53175,1
30.276764,1
-31.118814,0
109.038086,1
72.066605,1
47.66496,1
47.642353,1
86.55116,1
33.12429,1
-16.761978,0
-34.190838,0
-1.0685401,0
-10.976338,0
-2.4026237,0
-41.155846,0
-0.39616245,0
-11.351841,0
-2.3958507,0
-25.93414,0
63.97992,1
-10.976674,0
-35.050568,0
104.633835,1
-18.926783,0
33.62249,1
8.706037,0
-19.728903,0
-25.167555,0
-8.493557,0
9.410755,0
-30.82491,0
73.95473,1
6.235827,0
-11.631375,0
-11.894521,0
-8.100255,0
76.54344,1
41.27019,1
6.217524,0
-20.705061,0
-18.02214,0
8.724519,0
5.8367295,0
-6.709563,0
-5.957956,0
1.9443421,0
-6.3604283,0
25.808144,0
11.570917,0
-19.547377,0
1.7383423,0
-17.58714,0
16.349174,0
36.947594,1
41.879303,1
-7.6335473,0
-15.200575,0
6.7129445,0
-5.8559985,0
-1.8386612,0
21.63287,0
-6.865332,0
11.550334,0
-11.93078,0
17.56826,0
71.07723,1
70.37082,1
46.064026,1
-7.504353,0
16.172184,0
-4.231006,0
22.362724,0
-7.5058722,0
100.78586,1
-8.951617,0
60.966114,1
1.278667,0
-35.27381,0
43.4011,1
-15.024938,0
1.714808,0
11.130708,0
-24.09491,0
-3.294868,0
-36.530514,0
-4.4221454,0
-18.20436,0
9.369422,0
17.96444,0
-7.396404,0
-7.294576,0
31.099281,1
0.010688841,0
6.215029,0
-1.4204459,0
24.929867,0
-25.523195,0
-17.608984,0
-21.92751,0
-44.244053,0
-12.569208,0
-6.54034,0
-10.69604,0
14.070935,0
-16.047459,0
60.00611,1
55.171673,1
17.244461,0
-12.009091,0
12.844164,0
12.348204,0
36.438057,1
-48.307236,0
9.777659,0
-42.049763,0
-42.045307,0
51.054436,1
7.6654124,0
40.06383,1
34.58561,1
-34.167797,0
98.09181,1
54.79051,1
-17.625065,0
0.8367258,0
-45.77926,0
30.834822,1
10.137991,0
-29.657017,0
1.7778573,0
-17.264648,0
76.44191,1
-13.772176,0
10.240423,0
88.312935,1
22.862274,0
-4.7152267,0
16.437107,0
-12.436723,0
24.946,0
13.329446,0
-28.759647,0
-12.016326,0
-1.7882342,0
13.592805,0
-33.353592,0
-0.991157,0
45.309597,1
50.843864,1
-16.271988,0
-3.6805942,0
-14.53564,0
-13.7107525,0
-0.31106895,0
12.314675,0
-19.39112,0
48.690372,1
-21.643665,0
-8.475278,0
52.26773,1
12.304543,0
-20.129307,0
-13.763133,0
59.989464,1
-12.841497,0
5.7280917,0
15.811412,0
-27.326332,0
-15.4788885,0
9.335763,0
-6.1250987,0
-32.628616,0
-1.7190623,0
-27.431326,0
-24.176804,0
-34.589737,0
8.714656,0
-23.245266,0
-0.19538635,0
-12.115179,0
42.156834,1
-3.507503,0
43.037308,1
39.33876,1
-16.868023,0
-15.254361,0
-9.860665,0
-13.1551895,0
10.339393,0
-11.110088,0
5.5307355,0
41.260483,1
44.0884,1
42.02242,1
67.803185,1
107.91553,1
-4.609568,0
-23.340012,0
56.15048,1
-10.361384,0
-11.838672,0
-16.622074,0
11.622775,0
-15.44715,0
-19.147032,0
-22.06583,0
2.0149999,0
-22.510723,0
17.639122,0
-8.676178,0
-13.706588,0
-21.232067,0
8.184306,0
-18.731186,0
-10.1002245,0
19.91317,0
-1.7684321,0
51.462162,1
-33.620056,0
1.5713563,0
72.59272,1
-14.294911,0
-6.3380675,0
2.9503942,0
7.505833,0
-35.690224,0
-16.733345,0
11.24079,0
-30.59251,0
-15.826705,0
45.247173,1
-3.9557319,0
-2.902122,0
66.46811,1
-30.435368,0
-56.85685,0
-12.320888,0
-33.579464,0
-9.263478,0
-1.4953628,0
-6.673597,0
-15.742923,0
11.755857,0
53.72548,1
27.555725,0
-13.024636,0
19.11979,0
57.43275,1
-6.231685,0
-8.201083,0
-42.406525,0
-5.452293,0
-24.132465,0
13.428486,0
5.2385907,0
-20.530293,0
-13.317091,0
-18.03387,0
69.75184,1
-3.77323,0
-0.23999065,0
1.1151948,0
3.4080443,0
7.9544797,0
18.782982,0
11.067468,0
25.747429,0
3.9051495,0
25.116446,0
70.26882,1
-38.252464,0
12.017974,0
17.718222,0
23.786129,0
-7.27716,0
-2.0193667,0
-3.7717037,0
-8.664287,0
67.01988,1
4.594134,0
-27.02334,0
