synergy,class
1.8531907,0
-8.104185,0
-4.281722,0
-25.650452,0
-16.113003,0
-3.8176877,0
-72.603676,0
-17.72231,0
11.681239,0
7.478791,0
-10.2755785,0
-4.919881,0
-5.679744,0
0.2575867,0
-12.785466,0
15.6916895,0
5.9165144,0
58.68555,1
7.0438814,0
10.204976,0
9.480456,0
19.618525,0
15.769059,0
-35.56757,0
1.0888913,0
-1.1687143,0
3.205476,0
4.8888674,0
-20.803312,0
2.1778986,0
-12.307912,0
11.585069,0
-20.7345,0
13.574584,0
12.403613,0
-4.338731,0
12.674949,0
4.8692617,0
-24.781609,0
-5.4487233,0
-12.267677,0
-11.470454,0
14.357569,0
14.829193,0
-4.4008584,0
27.768028,0
8.260515,0
2.6580317,0
-43.76665,0
23.271482,0
12.330764,0
4.1277933,0
-13.905019,0
-7.457938,0
-4.8701878,0
21.28052,0
1.9205668,0
21.09108,0
-0.22696762,0
18.172493,0
10.628289,0
13.028472,0
-315.09387,0
-1.6177757,0
-60.002495,0
26.999292,0
16.436844,0
29.260603,0
16.746557,0
-10.796135,0
-32.706657,0
74.90226,1
0.32699892,0
-6.746972,0
3.0606778,0
5.8865643,0
1.5333588,0
1.9429386,0
-32.85194,0
-47.41391,0
2.4522297,0
-2.5260856,0
12.162379,0
27.144356,0
-0.20872955,0
28.507755,0
47.101353,1
-63.131283,0
-6.0533504,0
2.999883,0
18.32678,0
-17.94735,0
7.4202228,0
9.006103,0
3.8348057,0
-24.781498,0
7.944131,0
5.053525,0
-10.308322,0
6.092675,0
-22.425045,0
-16.11127,0
-7.8858175,0
-10.137849,0
27.598026,0
-12.362363,0
-1.7679465,0
-1.4163387,0
-7.43876,0
0.12475224,0
26.39767,0
15.432389,0
-13.251542,0
-27.50077,0
3.083789,0
16.570293,0
-0.20827751,0
-47.55356,0
0.18065377,0
-1.7337673,0
-43.519684,0
14.952146,0
-36.571587,0
-4.2877064,0
18.072613,0
-10.95496,0
-57.774532,0
54.84756,1
-12.700431,0
3.7221005,0
32.68446,1
5.722556,0
-6.719219,0
-1.5295837,0
-11.681078,0
3.8025162,0
2.0128338,0
-7.533948,0
3.9661896,0
-2.4602058,0
14.913823,0
-24.655325,0
-12.456276,0
4.474322,0
-26.00492,0
14.388953,0
-3.3084533,0
3.3108447,0
53.67999,1
-20.873346,0
5.092368,0
-26.2522,0
4.6061964,0
-89.18274,0
38.485874,1
-7.698554,0
19.458832,0
-22.875626,0
1.9026635,0
-3.0555913,0
2.3469574,0
-2.2859905,0
-18.383915,0
15.22347,0
1.8457177,0
-5.753604,0
0.39376184,0
-23.935408,0
5.8719254,0
-27.334013,0
-28.515072,0
-23.626835,0
-26.94753,0
17.798916,0
-368.5703,0
4.9235945,0
-10.97255,0
-8.452548,0
-6.757799,0
1.934377,0
-24.740438,0
-23.761154,0
0.59126395,0
5.9698515,0
-17.75053,0
5.1394005,0
-40.74938,0
-66.82818,0
13.080837,0
-12.499269,0
2.5605261,0
-6.5617485,0
-66.316864,0
-35.03979,0
10.023906,0
-27.991653,0
-7.6968393,0
5.745182,0
13.797137,0
-4.094716,0
-15.71632,0
-3.5120342,0
31.752096,1
-16.298475,0
-7.117868,0
-32.217777,0
17.034325,0
-12.491404,0
31.30198,1
13.517788,0
14.231956,0
-17.704975,0
0.15159912,0
-16.291939,0
-42.414997,0
-20.981867,0
0.58789176,0
-4.271617,0
6.613658,0
38.232952,1
-0.30858925,0
8.177964,0
5.786618,0
-24.881197,0
-3.3454807,0
10.66388,0
-5.023653,0
9.847272,0
45.64178,1
-38.97884,0
-3.9777381,0
0.08022614,0
12.177823,0
18.918585,0
-18.832628,0
6.7191,0
-0.65870935,0
10.054031,0
-19.852798,0
-6.559949,0
30.965395,1
-23.428469,0
0.16388722,0
11.759807,0
-1.2842901,0
2.1490185,0
-31.333902,0
33.2987,1
12.947404,0
15.900838,0
-271.53162,0
-16.211407,0
-4.0062265,0
82.45655,1
-19.243385,0
-5.6188765,0
16.758114,0
-3.6455352,0
7.479308,0
-23.361956,0
51.0366,1
3.9523842,0
19.146791,0
11.652173,0
-1.3178012,0
-23.17538,0
5.999481,0
4.1634436,0
24.811958,0
21.911999,0
-177.59244,0
-57.322224,0
-11.456971,0
3.827659,0
-5.077792,0
7.3952026,0
-0.067210004,0
9.507423,0
0.36240885,0
16.951874,0
19.590376,0
-12.69354,0
1.9292176,0
-46.069332,0
32.92437,1
-46.60851,0
5.0323887,0
-30.393724,0
65.78765,1
14.802573,0
-13.696555,0
12.464408,0
-9.65387,0
14.09625,0
-23.6182,0
-12.716226,0
-11.161191,0
4.450616,0
-16.15628,0
-2.7701938,0
-28.883377,0
-3.9375465,0
21.90208,0
53.65768,1
-2.2282388,0
3.3695538,0
-1.9043281,0
-6.178664,0
-216.40782,0
-18.530333,0
43.9305,1
24.287258,0
-2.7719219,0
-3.7409847,0
-3.3817909,0
-7.000967,0
0.028296668,0
-35.456738,0
-8.557614,0
14.266978,0
-25.638943,0
-0.4903572,0
-56.98691,0
-16.285952,0
-23.195614,0
-40.115887,0
-16.349098,0
-13.874114,0
7.7746153,0
32.058376,1
-138.50043,0
-6.4741015,0
-9.017804,0
-4.3712206,0
1.6206658,0
11.473094,0
7.651067,0
17.007072,0
22.822155,0
-6.645095,0
-28.312809,0
-25.984724,0
11.734448,0
-12.462625,0
-0.1660841,0
-3.5251548,0
4.2116394,0
-13.321391,0
-1.5910232,0
6.97301,0
-33.433643,0
1.1602509,0
-20.699848,0
-26.063469,0
-1.888644,0
-13.773169,0
-27.776346,0
14.042542,0
-161.54016,0
12.788148,0
8.342994,0
-14.043376,0
-17.084494,0
-7.479661,0
18.014948,0
1.4901993,0
-8.625443,0
-12.61814,0
-13.301895,0
-30.47796,0
-5.6192017,0
-6.337392,0
-1.2923043,0
-7.362315,0
49.728313,1
60.38018,1
9.093119,0
-27.73254,0
16.91066,0
-29.323067,0
11.035369,0
16.893696,0
29.282518,0
3.834348,0
-12.12284,0
1.9084961,0
70.136696,1
0.5313913,0
14.039767,0
-17.973633,0
-7.128766,0
19.174437,0
13.4189,0
25.699139,0
-21.1785,0
-3.4585578,0
8.460203,0
-3.1092975,0
21.547308,0
30.240086,1
-19.813103,0
24.974,0
-10.026544,0
-13.132108,0
-37.103977,0
-1.5687873,0
-18.219723,0
-2.76391,0
16.202065,0
5.669441,0
-7.798808,0
-13.272244,0
-12.240533,0
-10.594451,0
1.8517921,0
0.21047707,0
6.2315664,0
-12.74149,0
-15.584574,0
-19.90307,0
-25.088455,0
-1.3365514,0
4.3479147,0
-37.780956,0
-2.7092264,0
-35.07939,0
-14.258256,0
-2.1608427,0
-10.963515,0
17.476343,0
2.4210846,0
25.178814,0
-16.003628,0
4.03533,0
-31.418077,0
-1.6324623,0
-10.2956705,0
-3.6021984,0
-19.975979,0
-30.878914,0
41.66141,1
14.983388,0
5.3071537,0
-12.693066,0
-16.582335,0
-6.467738,0
9.5804205,0
-14.7501745,0
-17.716118,0
4.0347605,0
4.8910704,0
-24.532814,0
-2.0834663,0
-12.017241,0
5.354665,0
-8.854878,0
-13.264218,0
-59.06208,0
-1.5679061,0
1.2860405,0
54.064495,1
-1.3535836,0
-6.5340004,0
6.6949043,0
-3.8517747,0
-9.084525,0
2.869344,0
-10.513902,0
-31.564407,0
-0.8939732,0
40.763424,1
-5.875496,0
6.1461554,0
45.62363,1
-3.2477071,0
-27.822453,0
-0.9728058,0
9.78103,0
-28.987156,0
-28.116701,0
-3.9799201,0
-51.650105,0
3.2972424,0
-24.152641,0
20.065567,0
20.287859,0
-2.1201522,0
12.715739,0
1.3890698,0
-29.112724,0
-32.7618,0
-58.671707,0
14.247852,0
-47.24792,0
5.3990865,0
-264.15427,0
-4.0693254,0
-4.5087633,0
-27.960701,0
10.695404,0
-29.02793,0
-214.21103,0
80.49855,1
15.385368,0
40.16933,1
-7.2140284,0
-16.803228,0
-2.4371727,0
-2.5650754,0
6.055249,0
-4.3940763,0
4.853587,0
7.415782,0
4.755172,0
-135.63597,0
-46.75265,0
-2.642104,0
11.7633295,0
-51.13664,0
-4.68394,0
17.588406,0
7.584714,0
-17.858892,0
-1.1869419,0
16.79265,0
14.191636,0
-1.3778198,0
10.289544,0
-19.472818,0
-30.686506,0
5.89005,0
11.350051,0
-0.055659097,0
-22.766544,0
10.533111,0
-7.8565607,0
58.756996,1
15.857652,0
6.7523355,0
-2.1385133,0
1.8674634,0
-8.379463,0
3.3587239,0
-18.222683,0
-40.519436,0
3.3893325,0
23.595898,0
12.217358,0
12.479026,0
-34.14401,0
-13.76138,0
0.50852317,0
15.433179,0
1.6028187,0
1.0616786,0
11.972743,0
12.935592,0
1.7963655,0
18.88345,0
22.090805,0
12.928435,0
31.775879,1
18.128334,0
-37.32597,0
-13.917682,0
-7.2875786,0
-24.01585,0
-8.276294,0
-45.508503,0
-70.30424,0
-5.2147856,0
-24.207043,0
17.695837,0
1.1049683,0
9.428646,0
3.7227228,0
-22.42707,0
-5.841069,0
2.745765,0
13.2202635,0
-220.65933,0
15.325014,0
-7.4454203,0
-2.6890132,0
-13.9019785,0
-30.961452,0
-2.306454,0
-3.5799625,0
26.161549,0
-9.329158,0
2.1735318,0
61.18136,1
-7.7110786,0
17.56402,0
-30.541504,0
-29.173323,0
2.217912,0
40.23085,1
-2.075175,0
-44.070618,0
-6.097252,0
3.7840645,0
-71.31432,0
8.800469,0
10.596557,0
-11.339976,0
-25.82838,0
1.5837281,0
-4.4092393,0
-9.506728,0
8.9388075,0
-8.410058,0
27.594028,0
-9.073888,0
3.7791588,0
15.004964,0
-4.8591623,0
-23.19892,0
20.792274,0
5.7229414,0
12.614048,0
20.928312,0
-8.529984,0
-11.298311,0
4.159919,0
12.118604,0
-11.322192,0
-2.6170852,0
-7.3939953,0
-6.2524204,0
-14.242062,0
-16.314667,0
-3.8810031,0
-3.2017524,0
-28.049427,0
10.738525,0
6.5606623,0
21.679186,0
1.1040967,0
16.576231,0
6.263647,0
7.2195196,0
-3.216768,0
-8.803624,0
-9.952086,0
-45.391525,0
14.3652315,0
9.491885,0
6.9207106,0
13.488563,0
-16.585781,0
-10.128434,0
-35.866,0
43.549335,1
9.770569,0
18.208637,0
18.117386,0
18.433657,0
-14.280686,0
59.084415,1
-6.694947,0
-3.3135097,0
-8.076192,0
2.9456866,0
-2.3564441,0
16.16683,0
0.9339592,0
49.73984,1
-8.843145,0
7.9900312,0
17.916185,0
10.746244,0
-6.7277594,0
17.947102,0
26.018944,0
-6.319126,0
9.575007,0
-20.8806,0
6.989505,0
-10.5355,0
9.611398,0
-9.706355,0
-1.6265094,0
-16.109919,0
1.2001011,0
-5.1974173,0
-153.746,0
43.92616,1
12.758643,0
-18.075003,0
21.655157,0
-2.0435407,0
19.66574,0
-8.516256,0
15.5282545,0
7.5810347,0
36.984135,1
2.128957,0
44.743435,1
0.53674906,0
-62.049114,0
-2.5069015,0
3.1284325,0
20.111603,0
-53.83922,0
-24.410715,0
-0.69387895,0
-25.584373,0
5.0260897,0
-21.47259,0
10.110333,0
-20.889675,0
14.746988,0
1.4773877,0
2.8245766,0
6.012742,0
-23.57225,0
14.023576,0
9.3304205,0
-299.39282,0
-11.44152,0
-15.391347,0
12.708291,0
12.209836,0
-32.37976,0
-11.122524,0
18.722572,0
12.71931,0
-40.418552,0
-12.902489,0
-1.7688987,0
-1.8359234,0
-4.488559,0
-27.7473,0
35.118168,1
-20.623873,0
-0.12100677,0
-4.768526,0
2.133012,0
9.24516,0
39.34197,1
2.2279408,0
4.5566206,0
-16.787937,0
3.4931252,0
53.76308,1
1.4875653,0
-23.728088,0
14.769721,0
14.922155,0
-7.936137,0
23.026016,0
13.200877,0
-46.92224,0
-23.850231,0
18.703447,0
-12.379463,0
12.889789,0
-1.0722835,0
-8.70464,0
28.021763,0
-12.312956,0
17.245863,0
0.7520897,0
12.635398,0
30.635548,1
1.409076,0
-0.29331473,0
5.4666996,0
18.930664,0
1.2405217,0
24.455885,0
10.487859,0
-1.395385,0
12.846625,0
-7.066742,0
-5.696103,0
-0.52787286,0
-9.974257,0
-24.443665,0
-14.201375,0
-41.86279,0
-7.650373,0
-15.931972,0
-12.588673,0
-5.5609903,0
-8.616865,0
-70.00741,0
-3.7250593,0
11.727785,0
3.6627133,0
11.51327,0
-21.83811,0
-45.813038,0
3.1176484,0
-4.3031645,0
37.224777,1
2.9233048,0
11.607734,0
47.85742,1
-16.40013,0
5.2479324,0
-52.304596,0
16.366402,0
93.11571,1
8.9586935,0
-2.4655216,0
12.127444,0
7.316289,0
-6.39441,0
2.5512917,0
-24.505754,0
-25.668139,0
15.7790165,0
-6.8880014,0
6.0532336,0
-21.816813,0
4.247119,0
25.932285,0
14.742183,0
-5.192212,0
5.309165,0
3.4651368,0
6.702112,0
-35.88998,0
-13.464317,0
-3.2099369,0
35.82461,1
-2.975579,0
-26.619596,0
8.352464,0
6.698598,0
9.560113,0
15.126719,0
-4.2575235,0
-13.924467,0
8.227332,0
-24.04034,0
-0.95278627,0
-33.73339,0
-337.5792,0
-1.6870677,0
10.262124,0
-2.4988697,0
-22.807404,0
-25.846933,0
-19.141798,0
91.95733,1
-44.606853,0
17.93453,0
-20.797195,0
6.562314,0
-1.4251859,0
3.580743,0
7.829506,0
3.8930893,0
-39.37361,0
-10.95835,0
-9.164493,0
-12.149314,0
20.004238,0
5.580371,0
5.3833017,0
-8.10938,0
-10.824933,0
-2.0809715,0
-160.86812,0
-8.547416,0
-43.29379,0
-12.661372,0
-25.667038,0
-1.0537078,0
-5.615695,0
6.396573,0
-239.91034,0
1.5858357,0
44.964157,1
9.375693,0
-13.370294,0
-2.2904584,0
-13.3253565,0
25.250467,0
-25.773159,0
-7.4560575,0
-3.0896652,0
5.765214,0
14.411025,0
-1.8135889,0
12.092384,0
14.943939,0
14.076488,0
-13.92007,0
11.461146,0
-7.863985,0
-2.55276,0
-40.699184,0
30.227371,1
-287.53384,0
-11.750257,0
-5.236974,0
-8.834477,0
-4.5909452,0
-22.186,0
25.641613,0
-16.26063,0
31.924885,1
10.16941,0
23.06952,0
15.572026,0
10.438024,0
-15.403474,0
43.38325,1
2.09913,0
11.973044,0
5.912608,0
27.025623,0
10.571164,0
36.62808,1
-3.6192615,0
-2.6252782,0
92.45363,1
38.601395,1
10.937395,0
12.02678,0
-1.7061965,0
-2.4675968,0
5.736026,0
-14.334846,0
-0.3751438,0
-3.4691303,0
0.81580085,0
-18.561474,0
10.294831,0
-27.712877,0
43.131126,1
7.384075,0
-30.41221,0
-15.113802,0
-28.62288,0
-19.777521,0
-2.5005777,0
-328.72186,0
-8.265708,0
3.5830376,0
-15.833787,0
2.3404505,0
-26.022686,0
-57.764206,0
32.888134,1
17.737232,0
4.764571,0
5.7780867,0
-6.0186815,0
-12.206843,0
8.494199,0
-0.57012254,0
-14.704521,0
9.623517,0
7.06005,0
-10.045482,0
12.319875,0
2.6314728,0
5.72009,0
3.5998833,0
6.202937,0
2.605962,0
4.3109474,0
6.05797,0
13.236178,0
-16.281431,0
12.244697,0
0.49630663,0
-14.579082,0
-12.682029,0
13.88514,0
-0.30518606,0
2.6607468,0
-6.3919067,0
-217.33563,0
2.0378716,0
-5.4700046,0
-18.053684,0
23.392237,0
-25.93253,0
-12.588668,0
-5.813528,0
-4.4336615,0
-6.5929112,0
17.937572,0
2.1060135,0
-4.886452,0
3.8637211,0
-2.0765922,0
10.39003,0
6.0678473,0
19.281757,0
11.832634,0
-4.2498083,0
10.036768,0
23.956963,0
-20.838812,0
-3.004114,0
-20.818558,0
-16.865587,0
-6.786146,0
1.6886141,0
