synergy,class
20.176285,0
-1.2254875,0
15.439906,0
49.282364,1
-0.12302655,0
4.04643,0
-3.299834,0
3.5002844,0
45.66625,1
-4.6524653,0
-1.6979339,0
1.4484513,0
1.157882,0
14.236779,0
32.31939,1
18.32901,0
48.84633,1
-1.3818772,0
21.897097,0
10.634849,0
-2.2642963,0
8.230845,0
-1.3528345,0
3.0508397,0
19.192938,0
-0.62080544,0
3.4491017,0
5.755445,0
-8.627284,0
3.2631829,0
29.120106,0
44.98623,1
-0.17067593,0
-1.4880722,0
14.396319,0
27.031826,0
15.077861,0
-0.6581506,0
2.0942814,0
-0.8499753,0
-32.232212,0
6.7957053,0
-12.308504,0
21.181883,0
26.860239,0
4.733027,0
21.46973,0
0.2823785,0
-23.52352,0
4.3674946,0
7.5347514,0
31.734543,1
11.391931,0
7.356338,0
-2.6173797,0
-1.2581604,0
-9.392079,0
6.754291,0
6.019097,0
26.004791,0
-5.954075,0
16.881138,0
-10.330821,0
-7.0868917,0
5.393395,0
0.55838805,0
-9.773036,0
5.9136405,0
22.925394,0
3.1568902,0
41.60517,1
8.562693,0
5.540153,0
3.9596846,0
3.8597882,0
9.344518,0
7.4143243,0
-2.8452308,0
32.483612,1
-2.0805461,0
5.7101884,0
5.3647532,0
29.467115,0
-0.32894582,0
-4.9229608,0
-2.784785,0
-6.113032,0
7.1477933,0
13.019626,0
-11.061454,0
-13.651988,0
-7.879647,0
-33.37258,0
23.226738,0
-0.3649699,0
17.724854,0
-17.768734,0
4.665988,0
35.895546,1
3.2943776,0
13.0535755,0
14.426844,0
16.976711,0
5.832044,0
41.69853,1
-13.136849,0
21.158955,0
-2.9780052,0
34.829712,1
11.079503,0
19.780907,0
10.87354,0
5.2762513,0
-4.821196,0
-13.056855,0
28.31195,0
12.417052,0
26.087944,0
10.1428385,0
8.891356,0
8.306661,0
6.290788,0
4.732021,0
4.3436656,0
-7.336642,0
-4.7556014,0
10.560687,0
1.6797383,0
24.618168,0
25.284382,0
1.0211442,0
26.25822,0
-0.12635773,0
6.0051913,0
21.854778,0
-18.131912,0
4.7313313,0
26.976439,0
20.482758,0
6.4624887,0
45.41447,1
-7.8241754,0
26.150806,0
-73.287704,0
22.762867,0
-6.865352,0
13.978753,0
2.0861216,0
39.874695,1
-5.8081594,0
20.92137,0
24.862345,0
17.498611,0
-4.9276977,0
17.426664,0
34.704884,1
36.074646,1
40.05391,1
12.389985,0
-2.668946,0
2.9557383,0
13.504017,0
2.4783585,0
-17.534208,0
16.834698,0
13.579483,0
-14.181905,0
-6.1219373,0
12.932633,0
-2.2691429,0
47.46949,1
13.216369,0
-13.693788,0
0.2117036,0
10.96002,0
-39.303223,0
21.200838,0
8.449186,0
-0.5928833,0
0.26343995,0
0.19599086,0
3.350382,0
-30.069435,0
3.8979585,0
1.7874129,0
-5.3338532,0
0.19325382,0
14.79246,0
-18.014587,0
55.64952,1
17.41782,0
2.8923867,0
-0.7667834,0
6.946321,0
13.480493,0
-3.0687206,0
15.419337,0
14.468546,0
2.8025043,0
10.271613,0
0.9575022,0
10.561843,0
6.042846,0
32.398476,1
-11.146646,0
10.081969,0
12.374864,0
21.769733,0
-3.5356796,0
1.0997403,0
9.214858,0
-13.984738,0
15.368905,0
-0.93132657,0
-7.1275477,0
-4.38213,0
16.675571,0
0.07460815,0
-7.9354825,0
-7.1393704,0
21.013102,0
-5.9153047,0
25.91477,0
12.590963,0
13.395114,0
8.425361,0
-26.833832,0
-5.714497,0
-8.9301405,0
5.102143,0
6.104667,0
-1.0110033,0
7.7729487,0
15.131996,0
1.8845284,0
-9.538251,0
28.651707,0
19.2415,0
8.017277,0
11.5822115,0
-1.8176205,0
-25.278767,0
9.654339,0
7.996606,0
5.0582204,0
8.782489,0
-7.2382493,0
4.797483,0
-19.606949,0
9.604721,0
23.593243,0
36.049805,1
12.229873,0
25.748466,0
5.2835946,0
9.700056,0
-7.716528,0
-25.799957,0
-0.114340484,0
11.168045,0
0.8206077,0
28.671991,0
0.36607677,0
23.32014,0
21.217337,0
-8.497411,0
22.499557,0
5.5850844,0
3.0089047,0
45.867126,1
26.198027,0
3.806998,0
32.180843,1
9.633132,0
-43.133053,0
-3.7122757,0
2.9288194,0
10.755498,0
16.166702,0
2.6593163,0
-1.5244949,0
3.9061034,0
1.7950013,0
18.38218,0
13.612215,0
9.881552,0
7.7738004,0
9.50567,0
38.80783,1
12.084691,0
16.38418,0
24.223307,0
0.8250249,0
8.324985,0
11.227358,0
3.4938872,0
3.5076277,0
-10.110545,0
7.118425,0
20.21421,0
1.1186402,0
-12.818174,0
13.255321,0
8.624127,0
24.57721,0
-0.8759162,0
2.7637818,0
0.9732521,0
0.32925922,0
8.161298,0
19.00316,0
3.0632622,0
-1.2452667,0
11.40446,0
5.932395,0
12.518841,0
9.361647,0
15.724891,0
-44.408707,0
1.878773,0
4.3741355,0
8.248175,0
19.454641,0
57.266754,1
-15.319413,0
7.604121,0
26.186743,0
-13.03139,0
18.379084,0
-16.68293,0
27.112213,0
7.10659,0
-7.754685,0
-3.919132,0
-2.915467,0
9.566589,0
7.042346,0
21.745363,0
15.433326,0
0.7393659,0
12.080745,0
0.83624774,0
6.0404754,0
-1.6362293,0
-1.4478695,0
22.060024,0
20.675266,0
29.633116,0
13.584716,0
12.359803,0
20.42017,0
5.9957423,0
6.398523,0
-26.965023,0
-11.0276165,0
-11.885173,0
22.454987,0
6.927892,0
-10.276938,0
-9.424167,0
-4.8524976,0
-7.191744,0
9.9553995,0
0.054385006,0
6.688333,0
8.556019,0
-14.224891,0
25.02369,0
8.439465,0
7.0948215,0
5.8674903,0
8.562693,0
13.261336,0
18.407974,0
29.995058,0
-0.45639247,0
-26.24942,0
8.108471,0
14.660783,0
6.668653,0
14.41026,0
-36.107307,0
0.13664562,0
6.9673915,0
12.340201,0
1.5659993,0
16.917664,0
-9.28728,0
4.5772805,0
25.587864,0
12.908926,0
-4.227078,0
20.101652,0
9.694871,0
32.61901,1
4.787639,0
29.440138,0
18.426388,0
38.48798,1
12.776576,0
0.41293555,0
-4.3391633,0
18.850159,0
2.6304781,0
12.058192,0
-4.216311,0
7.660891,0
7.0308175,0
-17.888157,0
-16.701447,0
-8.708592,0
23.719824,0
12.409144,0
-12.397965,0
8.559345,0
10.761837,0
8.232031,0
2.8921854,0
7.783164,0
1.2757294,0
8.280566,0
22.28513,0
15.713574,0
43.984734,1
4.0346465,0
5.3600173,0
25.669273,0
-2.3336265,0
8.117812,0
5.800884,0
19.75235,0
21.654625,0
