synergy,class
-29.069134,0
26.326582,0
13.970527,0
6.3322377,0
-19.244375,0
-23.230318,0
-10.444286,0
-10.974932,0
10.025097,0
-3.409597,0
-12.025548,0
4.677358,0
-28.598207,0
-3.6465368,0
-11.41371,0
-7.1249704,0
-27.345337,0
0.8251639,0
-15.47715,0
15.86887,0
1.2931842,0
3.8572464,0
7.7230225,0
-12.860232,0
-13.19207,0
-24.266344,0
25.886633,0
8.672056,0
19.021114,0
14.470999,0
-27.743666,0
-33.89555,0
-13.068124,0
-1.262163,0
-1.2876877,0
27.464697,0
-15.033322,0
15.1962185,0
8.2286625,0
6.3707943,0
-17.06788,0
16.123516,0
5.497449,0
-1.070217,0
6.3549137,0
19.144201,0
-1.3102721,0
13.785368,0
-5.6364994,0
-16.894903,0
-17.613028,0
15.938591,0
-2.713377,0
-3.6413746,0
21.354475,0
34.175888,1
-4.3991528,0
19.882116,0
-11.0162735,0
-26.92626,0
11.374384,0
-3.9644012,0
2.189695,0
-29.659782,0
11.706282,0
9.26976,0
8.277106,0
13.157919,0
9.606605,0
-6.1977787,0
18.079992,0
-2.032652,0
-8.072529,0
7.8318024,0
14.411232,0
-1.0686034,0
-12.369241,0
-2.523099,0
14.362773,0
18.04371,0
19.45864,0
6.9179316,0
-11.761145,0
-18.026339,0
33.335632,1
-11.107575,0
-18.774122,0
-1.0818433,0
24.273,0
-23.994349,0
14.388006,0
-4.7061296,0
-6.2950954,0
-1.4118565,0
-13.247471,0
-0.53316206,0
4.217431,0
-7.1695523,0
8.944821,0
29.902727,0
-4.109085,0
3.8173504,0
-14.003655,0
7.4247684,0
-36.31062,0
6.621641,0
-21.4298,0
1.5793744,0
13.535903,0
26.512445,0
-15.751854,0
14.7517,0
-13.986691,0
-11.689656,0
11.051975,0
37.84806,1
3.5944128,0
-11.601208,0
5.9536085,0
-26.938925,0
6.0858536,0
-13.553484,0
-25.369104,0
20.04881,0
-12.005564,0
19.048046,0
21.369883,0
-10.353054,0
6.1868043,0
-12.826861,0
-5.990878,0
-25.06211,0
1.7295028,0
-14.428372,0
-5.8673067,0
-19.664932,0
3.3643007,0
12.381123,0
3.3427877,0
10.039664,0
15.399923,0
-22.611914,0
-0.5014872,0
-8.842024,0
-3.8912926,0
-4.668249,0
