synergy,class
-2.3865736,0
19.370285,0
-8.259884,0
7.0129476,0
-12.469063,0
15.433415,0
-3.0193002,0
13.28849,0
-31.102613,0
19.006535,0
-10.988749,0
5.5662017,0
0.68846166,0
18.365808,0
4.4405456,0
1.1360573,0
-45.094017,0
20.367641,0
22.793068,0
7.4616666,0
-9.86221,0
36.05068,1
16.405338,0
-18.91587,0
-15.338211,0
9.266037,0
21.046144,0
-18.992819,0
4.407352,0
7.11466,0
30.684443,1
23.530478,0
12.544941,0
-21.706041,0
3.4787705,0
1.9635595,0
10.82336,0
-11.201207,0
-7.7850785,0
7.4133677,0
6.2841134,0
25.10415,0
-19.743368,0
0.38865694,0
3.932233,0
-12.0371,0
-10.001626,0
-12.579659,0
3.413802,0
11.080218,0
-0.20233694,0
-18.786839,0
0.4225324,0
-15.102553,0
-5.7752013,0
-17.673601,0
-2.611141,0
8.186291,0
-15.940861,0
14.62299,0
16.19844,0
19.353756,0
22.39494,0
26.150883,0
8.663983,0
-8.001724,0
-13.236244,0
-10.062676,0
-4.8252587,0
12.15052,0
-15.05975,0
-5.85667,0
-1.4441048,0
-21.041513,0
9.203093,0
23.034883,0
-25.175512,0
21.21646,0
3.0142386,0
42.490967,1
-12.218771,0
18.254534,0
15.518854,0
16.351912,0
19.676046,0
-9.882811,0
-6.823904,0
-7.6770883,0
21.381626,0
-2.1567724,0
6.7276826,0
-4.2472153,0
-4.511871,0
-2.411372,0
43.35148,1
25.0852,0
-10.769745,0
6.079407,0
7.4727826,0
-6.585795,0
-23.021307,0
7.7025704,0
12.493763,0
-3.257839,0
-2.8604848,0
-7.718982,0
35.509956,1
-23.238295,0
8.325979,0
-1.6670567,0
5.8081527,0
33.37027,1
-1.6260473,0
-2.8043678,0
30.427923,1
1.2860607,0
5.345078,0
4.613929,0
-2.4737327,0
-20.962772,0
21.36486,0
-9.374692,0
0.40033564,0
-3.6790574,0
-13.756372,0
6.076987,0
-9.86184,0
4.4587646,0
-1.7728764,0
16.846586,0
4.2104597,0
-4.5140967,0
15.763143,0
-17.852266,0
5.3187947,0
53.415348,1
-23.492315,0
-20.626787,0
0.912269,0
10.771257,0
41.206707,1
10.410572,0
23.424702,0
12.60985,0
-4.944162,0
30.008093,1
14.15038,0
3.760235,0
-2.1776693,0
17.761116,0
-3.9790714,0
21.851065,0
-6.9370446,0
8.401926,0
26.863808,0
8.654406,0
-18.803173,0
-3.2096941,0
14.049979,0
2.0603974,0
-7.534661,0
14.563772,0
14.470266,0
-12.36043,0
7.0376267,0
-7.2425666,0
-13.263243,0
-17.263931,0
-3.538781,0
12.260562,0
40.250187,1
7.261188,0
7.8603873,0
21.957952,0
-15.939222,0
-0.8568913,0
16.264708,0
-3.483589,0
4.0079103,0
-5.441467,0
23.33678,0
5.900086,0
3.784798,0
9.338834,0
-6.2293506,0
19.032934,0
1.7935547,0
-0.48142496,0
16.194769,0
25.908865,0
20.652018,0
23.92643,0
9.378847,0
5.011932,0
20.812902,0
-15.252026,0
17.205961,0
64.51381,1
4.707848,0
-6.8530965,0
2.7561686,0
-17.991571,0
-0.41633573,0
-0.96900403,0
15.890675,0
-24.730074,0
-10.517149,0
34.913723,1
12.075283,0
4.8646293,0
-7.629218,0
4.7752156,0
13.059504,0
3.562802,0
18.8458,0
-1.7567726,0
-18.54176,0
12.39946,0
39.066612,1
16.683374,0
2.3779738,0
-16.279795,0
-6.0754437,0
-17.15352,0
8.017951,0
-9.818142,0
-2.7867496,0
19.2736,0
6.2805557,0
36.835022,1
16.68995,0
-17.665714,0
32.235413,1
11.817595,0
13.692747,0
-2.9192674,0
-1.492807,0
27.373564,0
18.063684,0
-15.471169,0
-20.100466,0
-12.567156,0
19.420828,0
-6.229009,0
17.575224,0
-1.0693833,0
21.51253,0
104.578636,1
1.7421473,0
24.48724,0
-11.764366,0
4.274606,0
5.7592053,0
-10.293684,0
30.67495,1
-7.399368,0
