cell_line,acc,prec,recall,f1,roc_auc,kappa
A2058,0.9008264462809917,0.6875,0.6111111111111112,0.6470588235294118,0.7812837108953615,0.5895986433013002
A2780,0.9227467811158798,0.76,0.6129032258064516,0.6785714285714285,0.7916001277547109,0.6352409114628631
A375,0.8553719008264463,0.6666666666666666,0.4782608695652174,0.5569620253164557,0.7110692102928128,0.4733242134062927
A427,0.9256198347107438,0.6521739130434783,0.6,0.6250000000000001,0.7815668202764978,0.5837951461876554
CAOV3,0.9008264462809917,0.7352941176470589,0.625,0.6756756756756757,0.7902227722772277,0.6175928364498289
COLO320DM,0.9504132231404959,0.5714285714285714,0.3076923076923077,0.4,0.6472959355055424,0.3765564620008587
DLD1,0.9656652360515021,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.7227682227682227,0.5386138613861386
EFM192B,0.9338842975206612,0.5714285714285714,0.4444444444444444,0.5,0.708829365079365,0.4651933701657458
ES2,0.9338842975206612,0.45454545454545453,0.3333333333333333,0.3846153846153846,0.6534508076358296,0.3505535055350554
HCT116,0.9338842975206612,0.7777777777777778,0.3333333333333333,0.4666666666666666,0.6621417797888386,0.43737285672769555
HT144,0.9570815450643777,0.8333333333333334,0.35714285714285715,0.5,0.6762883235485976,0.481300089047195
HT29,0.9173553719008265,0.8571428571428571,0.5142857142857142,0.6428571428571428,0.7498964803312629,0.5994040721734812
KPL1,0.9613733905579399,0.7916666666666666,0.8260869565217391,0.8085106382978724,0.9011387163561078,0.787041738600589
LNCAP,0.8927038626609443,0.6,0.5806451612903226,0.5901639344262295,0.7606196103481315,0.5284546264065408
LOVO,0.9173553719008265,0.6363636363636364,0.5384615384615384,0.5833333333333334,0.7507122507122507,0.5378151260504203
MDAMB436,0.9356223175965666,0.0,0.0,0.0,0.49321266968325794,-0.02103418054338313
MSTO,0.8583690987124464,0.6274509803921569,0.6956521739130435,0.6597938144329897,0.7970239479190886,0.5706627952426155
NCIH1650,0.8925619834710744,0.5384615384615384,0.5,0.5185185185185186,0.7219626168224298,0.4581467447468136
NCIH2122,0.9462809917355371,0.8888888888888888,0.4,0.5517241379310346,0.6977477477477477,0.5274857314508862
NCIH23,0.9462809917355371,0.7142857142857143,0.3125,0.43478260869565216,0.651825221238938,0.41108199176338445
NCIH460,0.8884120171673819,0.5,0.2692307692307692,0.35000000000000003,0.617707172054998,0.2949255121042831
NCIH520,0.9570815450643777,0.8888888888888888,0.47058823529411764,0.6153846153846153,0.732979302832244,0.594923504867872
OCUBM,0.927038626609442,0.5833333333333334,0.3684210526315789,0.4516129032258065,0.6725282833251353,0.41465937638539974
OV90,0.9699570815450643,0.8333333333333334,0.6666666666666666,0.7407407407407408,0.8287461773700305,0.7250042151407856
OVCAR3,0.9012875536480687,0.6666666666666666,0.6470588235294118,0.6567164179104478,0.795891220809932,0.5990873045559961
PA1,0.9297520661157025,0.6875,0.4782608695652174,0.5641025641025642,0.7277149096684534,0.5272351183635946
RKO,0.9227467811158798,0.631578947368421,0.5217391304347826,0.5714285714285715,0.7442028985507246,0.5293985637342908
RPMI7951,0.9570815450643777,0.5,0.2,0.28571428571428575,0.5955156950672645,0.2677561282212445
SKMEL30,0.9399141630901288,0.6666666666666666,0.5263157894736842,0.5882352941176471,0.7514756517461878,0.5563112078346029
SKMES1,0.9141630901287554,0.25,0.125,0.16666666666666666,0.5486751152073732,0.12668665667166412
SKOV3,0.9098712446351931,0.4444444444444444,0.42105263157894735,0.43243243243243246,0.6871618298081653,0.38352022174625167
SW620,0.9421487603305785,0.8181818181818182,0.42857142857142855,0.5625,0.7097608274078863,0.5347432024169185
SW837,0.9012875536480687,0.5,0.5217391304347826,0.5106382978723404,0.7322981366459628,0.45577333197928305
T47D,0.9313304721030042,0.8,0.5714285714285714,0.6666666666666666,0.7759581881533101,0.629570747217806
UACC62,0.944206008583691,0.0,0.0,0.0,0.497737556561086,-0.00798668885191356
UWB1289,0.944206008583691,0.875,0.56,0.6829268292682927,0.7751923076923077,0.6539472180966526
UWB1289BRCA1,0.9527896995708155,0.75,0.23076923076923078,0.3529411764705882,0.6131118881118882,0.33549390718174743
VCAP,0.8884120171673819,0.4782608695652174,0.44,0.4583333333333333,0.6911538461538461,0.39625274068168226
ZR751,0.944206008583691,0.5833333333333334,0.4666666666666667,0.5185185185185186,0.7218654434250765,0.48929354240431633
